date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,4.86,,,0.14,0.0
2020-03-21,,4.86,,,0.14,0.0
2020-03-22,,4.86,,,0.14,0.0
2020-03-23,,4.86,,,0.14,0.0
2020-03-24,,4.86,,,0.29,0.0
2020-03-25,,4.86,,,0.29,0.0
2020-03-26,,4.86,,,0.57,0.0
2020-03-27,,4.86,,,0.71,0.0
2020-03-28,,4.86,,,0.75,0.0
2020-03-29,,6.29,,,0.89,0.0
2020-03-30,,6.29,,,0.89,0.0
2020-03-31,,6.29,,,1.57,0.03
2020-04-01,,6.29,,,2.0,0.03
2020-04-02,,6.29,,,2.57,0.03
2020-04-03,,6.29,,,2.57,0.03
2020-04-04,,6.29,,,2.43,0.03
2020-04-05,,5.86,,,2.57,0.03
2020-04-06,,5.86,,,2.57,0.03
2020-04-07,,5.86,,,2.14,0.03
2020-04-08,,5.86,,,2.0,0.03
2020-04-09,,5.86,,,2.86,0.03
2020-04-10,,5.86,,,3.25,0.03
2020-04-11,,5.86,,,3.71,0.03
2020-04-12,,3.86,,,3.71,0.03
2020-04-13,,3.86,,,3.0,0.07
2020-04-14,,3.86,,,4.57,0.1
2020-04-15,,3.86,,,4.57,0.1
2020-04-16,,3.86,,,3.0,0.1
2020-04-17,,3.86,,,2.57,0.1
2020-04-18,,3.86,,,2.43,0.13
2020-04-19,,5.86,,,2.38,0.13
2020-04-20,,5.86,,,2.71,0.13
2020-04-21,,5.86,,,2.71,0.13
2020-04-22,,5.86,,,2.75,0.13
2020-04-23,,5.86,,,3.0,0.14
2020-04-24,,5.86,,,2.86,0.17
2020-04-25,,5.86,,,3.14,0.17
2020-04-26,,4.86,,,3.14,0.17
2020-04-27,,4.86,,,3.14,0.17
2020-04-28,,4.86,,,3.0,0.17
2020-04-29,,4.86,,,2.14,0.17
2020-04-30,,4.86,,,2.14,0.17
2020-05-01,,4.86,,,2.14,0.17
2020-05-02,,4.86,,,2.29,0.17
2020-05-03,,4.57,,,2.38,0.17
2020-05-04,,4.57,,,2.38,0.17
2020-05-05,,4.57,,,2.38,0.17
2020-05-06,,4.57,,,2.38,0.17
2020-05-07,,4.57,,,1.43,0.17
2020-05-08,,4.57,,,1.57,0.17
2020-05-09,,4.57,,,1.57,0.17
2020-05-10,,4.86,,,1.43,0.17
2020-05-11,,4.86,,,1.38,0.17
2020-05-12,,4.86,,,1.67,0.14
2020-05-13,,4.86,,,2.4,0.14
2020-05-14,,4.86,,,3.71,0.14
2020-05-15,,4.86,,,3.57,0.14
2020-05-16,,4.86,,,4.86,0.14
2020-05-17,,3.29,,,5.14,0.14
2020-05-18,,3.29,,,5.14,0.14
2020-05-19,,3.29,,,4.71,0.14
2020-05-20,,3.29,,,4.0,0.14
2020-05-21,,3.29,,,3.71,0.14
2020-05-22,,3.29,,,4.14,0.14
2020-05-23,,3.29,,,2.71,0.14
2020-05-24,,4.0,,,2.71,0.14
2020-05-25,,4.0,,,3.29,0.14
2020-05-26,,4.0,,,3.57,0.14
2020-05-27,,4.0,,,3.43,0.14
2020-05-28,,4.0,,,4.0,0.14
2020-05-29,,4.0,,,3.57,0.14
2020-05-30,,4.0,,,3.57,0.14
2020-05-31,,4.29,,,3.43,0.14
2020-06-01,,4.29,,,4.0,0.14
2020-06-02,,4.29,,,3.86,0.14
2020-06-03,,4.29,,,3.71,0.05
2020-06-04,,4.29,,,3.71,0.05
