date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-15,,6.86,,,0.29,0.0
2020-03-16,,6.86,,,0.29,0.0
2020-03-17,,6.86,,,0.29,0.0
2020-03-18,,6.86,,,0.29,0.0
2020-03-19,,6.86,,,0.43,0.0
2020-03-20,,6.86,,,0.86,0.0
2020-03-21,,6.86,,,1.43,0.0
2020-03-22,,6.14,,,1.43,0.0
2020-03-23,,6.14,,,1.63,0.0
2020-03-24,,6.14,,,1.56,0.0
2020-03-25,,6.14,,,1.7,0.0
2020-03-26,,6.14,,,2.57,0.0
2020-03-27,,6.14,,,2.57,0.0
2020-03-28,,6.14,,,2.0,0.0
2020-03-29,,7.0,,,2.38,0.0
2020-03-30,,7.0,,,2.29,0.03
2020-03-31,,7.0,,,3.29,0.03
2020-04-01,,7.0,,,4.0,0.07
2020-04-02,,7.0,,,5.14,0.1
2020-04-03,,7.0,,,5.13,0.1
2020-04-04,,7.0,,,6.29,0.1
2020-04-05,,7.0,,,5.71,0.1
2020-04-06,,7.0,,,5.86,0.13
2020-04-07,,7.0,,,5.14,0.13
2020-04-08,,7.0,,,5.43,0.13
2020-04-09,,7.0,,,5.57,0.17
2020-04-10,,7.0,,,5.43,0.17
2020-04-11,,7.0,,,4.86,0.17
2020-04-12,,6.71,,,5.29,0.17
2020-04-13,,6.71,,,5.29,0.17
2020-04-14,,6.71,,,5.14,0.17
2020-04-15,,6.71,,,4.14,0.17
2020-04-16,,6.71,,,3.29,0.17
2020-04-17,,6.71,,,3.86,0.17
2020-04-18,,6.71,,,4.43,0.17
2020-04-19,,6.43,,,4.43,0.17
2020-04-20,,6.43,,,4.14,0.17
2020-04-21,,6.43,,,4.14,0.17
2020-04-22,,6.43,,,4.14,0.17
2020-04-23,,6.43,,,4.14,0.15
2020-04-24,,6.43,,,4.14,0.15
2020-04-25,,6.43,,,4.14,0.15
2020-04-26,,7.43,,,4.43,0.15
2020-04-27,,7.43,,,3.86,0.15
2020-04-28,,7.43,,,3.43,0.15
2020-04-29,,7.43,,,3.86,0.15
2020-04-30,,7.43,,,3.86,0.23
2020-05-01,,7.43,,,4.14,0.23
2020-05-02,,7.43,,,4.43,0.23
2020-05-03,,7.57,,,3.71,0.23
2020-05-04,,7.57,,,3.71,0.23
2020-05-05,,7.57,,,2.86,0.23
2020-05-06,,7.57,,,2.29,0.23
2020-05-07,,7.57,,,3.14,0.23
2020-05-08,,7.57,,,3.14,0.23
2020-05-09,,7.57,,,3.0,0.23
2020-05-10,,6.86,,,2.43,0.23
2020-05-11,,6.86,,,2.29,0.23
2020-05-12,,6.86,,,2.25,0.23
2020-05-13,,6.86,,,2.86,0.23
2020-05-14,,6.86,,,4.14,0.23
2020-05-15,,6.86,,,3.0,0.23
2020-05-16,,6.86,,,3.14,0.23
2020-05-17,,6.29,,,3.14,0.23
2020-05-18,,6.29,,,3.14,0.23
2020-05-19,,6.29,,,3.71,0.23
2020-05-20,,6.29,,,3.71,0.23
2020-05-21,,6.29,,,3.86,0.23
2020-05-22,,6.29,,,2.71,0.23
2020-05-23,,6.29,,,2.71,0.23
2020-05-24,,5.29,,,2.71,0.23
2020-05-25,,5.29,,,2.71,0.23
2020-05-26,,5.29,,,2.29,0.23
2020-05-27,,5.29,,,1.71,0.23
2020-05-28,,5.29,,,2.0,0.23
2020-05-29,,5.29,,,2.57,0.23
2020-05-30,,5.29,,,2.57,0.23
2020-05-31,,8.29,,,2.63,0.03
2020-06-01,,8.29,,,2.56,0.03
2020-06-02,,8.29,,,3.29,0.03
2020-06-03,,8.29,,,3.57,0.03
2020-06-04,,8.29,,,5.0,0.03
2020-06-05,,8.29,,,4.14,0.03
2020-06-06,,8.29,,,4.38,0.03
2020-06-07,,7.0,,,5.71,0.03
2020-06-08,,7.0,,,5.57,0.03
2020-06-09,,7.0,,,6.43,0.03
2020-06-10,,7.0,,,6.43,0.03
2020-06-11,,7.0,,,7.14,0.03
2020-06-12,,7.0,,,6.71,0.03
2020-06-13,,7.0,,,7.86,0.03
2020-06-14,,6.71,,,10.57,0.03
2020-06-15,,6.71,,,10.0,0.03
2020-06-16,,6.71,,,10.57,0.03
2020-06-17,,6.71,,,10.57,0.04
2020-06-18,,6.71,,,11.43,0.04
2020-06-19,,6.71,,,13.43,0.04
2020-06-20,,6.71,,,15.29,0.04
2020-06-21,,6.86,,,14.29,0.04
2020-06-22,,6.86,,,16.29,0.04
2020-06-23,,6.86,,,18.71,0.04
