date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-14,,4.71,,,0.43,0.0
2020-03-15,,3.71,,,0.43,0.0
2020-03-16,,3.71,,,0.43,0.0
2020-03-17,,3.71,,,0.57,0.0
2020-03-18,,3.71,,,0.86,0.0
2020-03-19,,3.71,,,1.0,0.0
2020-03-20,,3.71,,,1.14,0.0
2020-03-21,,3.71,,,1.29,0.0
2020-03-22,,4.86,,,1.38,0.0
2020-03-23,,4.86,,,2.0,0.0
2020-03-24,,4.86,,,2.57,0.0
2020-03-25,,4.86,,,2.86,0.0
2020-03-26,,4.86,,,3.14,0.0
2020-03-27,,4.86,,,3.86,0.0
2020-03-28,,4.86,,,3.86,0.0
2020-03-29,,5.0,,,5.14,0.0
2020-03-30,,5.0,,,7.57,0.03
2020-03-31,,5.0,,,9.86,0.03
2020-04-01,,5.0,,,10.71,0.07
2020-04-02,,5.0,,,14.43,0.07
2020-04-03,,5.0,,,13.71,0.07
2020-04-04,,5.0,,,15.57,0.1
2020-04-05,,5.43,,,15.14,0.13
2020-04-06,,5.43,,,12.71,0.13
2020-04-07,,5.43,,,11.14,0.13
2020-04-08,,5.43,,,10.43,0.13
2020-04-09,,5.43,,,7.71,0.17
2020-04-10,,5.43,,,7.86,0.17
2020-04-11,,5.43,,,6.14,0.2
2020-04-12,,4.14,,,5.43,0.2
2020-04-13,,4.14,,,5.43,0.23
2020-04-14,,4.14,,,4.14,0.23
2020-04-15,,4.14,,,4.43,0.23
2020-04-16,,4.14,,,3.14,0.23
2020-04-17,,4.14,,,4.0,0.23
2020-04-18,,4.14,,,4.14,0.23
2020-04-19,,4.0,,,4.43,0.23
2020-04-20,,4.0,,,4.43,0.23
2020-04-21,,4.0,,,5.0,0.26
2020-04-22,,4.0,,,4.43,0.26
2020-04-23,,4.0,,,5.0,0.26
2020-04-24,,4.0,,,4.29,0.27
2020-04-25,,4.0,,,4.71,0.27
2020-04-26,,5.86,,,4.29,0.27
2020-04-27,,5.86,,,4.29,0.27
2020-04-28,,5.86,,,4.38,0.27
2020-04-29,,5.86,,,4.29,0.26
2020-04-30,,5.86,,,4.0,0.26
2020-05-01,,5.86,,,4.14,0.26
2020-05-02,,5.86,,,4.14,0.26
2020-05-03,,3.71,,,2.57,0.26
2020-05-04,,3.71,,,2.57,0.26
2020-05-05,,3.71,,,2.43,0.33
2020-05-06,,3.71,,,2.43,0.33
2020-05-07,,3.71,,,2.43,0.33
2020-05-08,,3.71,,,1.86,0.33
2020-05-09,,3.71,,,1.86,0.33
2020-05-10,,5.29,,,1.71,0.33
2020-05-11,,5.29,,,1.63,0.33
2020-05-12,,5.29,,,2.0,0.33
2020-05-13,,5.29,,,2.0,0.33
2020-05-14,,5.29,,,1.88,0.33
2020-05-15,,5.29,,,2.14,0.33
2020-05-16,,5.29,,,2.25,0.33
2020-05-17,,3.0,,,1.86,0.33
2020-05-18,,3.0,,,2.0,0.33
2020-05-19,,3.0,,,2.43,0.33
2020-05-20,,3.0,,,2.75,0.33
2020-05-21,,3.0,,,3.14,0.33
2020-05-22,,3.0,,,3.71,0.33
2020-05-23,,3.0,,,5.86,0.33
2020-05-24,,3.43,,,6.14,0.33
2020-05-25,,3.43,,,6.0,0.33
2020-05-26,,3.43,,,6.14,0.33
2020-05-27,,3.43,,,6.0,0.12
2020-05-28,,3.43,,,6.43,0.12
2020-05-29,,3.43,,,6.71,0.12
2020-05-30,,3.43,,,6.29,0.12
2020-05-31,,6.43,,,7.14,0.12
2020-06-01,,6.43,,,7.57,0.12
2020-06-02,,6.43,,,8.0,0.12
2020-06-03,,6.43,,,7.86,0.12
2020-06-04,,6.43,,,7.86,0.12
2020-06-05,,6.43,,,8.0,0.12
2020-06-06,,6.43,,,6.43,0.12
2020-06-07,,3.29,,,6.43,0.12
2020-06-08,,3.29,,,7.86,0.12
2020-06-09,,3.29,,,9.43,0.12
2020-06-10,,3.29,,,11.71,0.12
2020-06-11,,3.29,,,14.43,0.12
2020-06-12,,3.29,,,17.57,0.12
2020-06-13,,3.29,,,20.71,0.12
2020-06-14,,3.57,,,22.86,0.12
2020-06-15,,3.57,,,24.43,0.12
2020-06-16,,3.57,,,26.14,0.12
2020-06-17,,3.57,,,27.14,0.07
2020-06-18,,3.57,,,30.57,0.07
2020-06-19,,3.57,,,31.43,0.07
2020-06-20,,3.57,,,35.71,0.07
2020-06-21,,5.43,,,38.14,0.07
2020-06-22,,5.43,,,38.57,0.07
2020-06-23,,5.43,,,37.86,0.08
2020-06-24,,5.43,,,39.71,0.1
2020-06-25,,5.43,,,37.43,0.1
2020-06-26,,5.43,,,36.0,0.1
2020-06-27,,5.43,,,35.71,0.1
2020-06-28,,4.86,,,38.29,0.1
2020-06-29,,4.86,,,38.14,0.12
2020-06-30,,4.86,,,44.43,0.12
2020-07-01,,4.86,,,47.29,0.12
2020-07-02,,4.86,,,48.86,0.17
2020-07-03,,4.86,,,52.0,0.19
2020-07-04,,4.86,,,49.57,0.21
2020-07-05,,4.57,,,48.14,0.21
2020-07-06,,4.57,,,51.86,0.23
2020-07-07,,4.57,,,56.71,0.23
2020-07-08,,4.57,,,57.57,0.23
2020-07-09,,4.57,,,56.86,0.23
2020-07-10,,4.57,,,62.57,0.23
2020-07-11,,4.57,,,72.29,0.23
2020-07-12,,6.0,,,74.86,0.23
2020-07-13,,6.0,,,72.14,0.23
2020-07-14,,6.0,,,68.29,0.23
2020-07-15,,6.0,,,70.14,0.23
2020-07-16,,6.0,,,80.29,0.24
2020-07-17,,6.0,,,74.86,0.24
2020-07-18,,6.0,,,68.29,0.24
2020-07-19,,5.29,,,71.71,0.24
2020-07-20,,5.29,,,71.57,0.24
2020-07-21,,5.29,,,69.43,0.41
2020-07-22,,5.29,,,69.57,0.41
2020-07-23,,5.29,,,62.86,0.5
2020-07-24,,5.29,,,68.14,0.53
2020-07-25,,5.29,,,71.29,0.55
2020-07-26,,5.71,,,72.0,0.56
2020-07-27,,5.71,,,82.86,0.56
2020-07-28,,5.71,,,86.29,0.56
2020-07-29,,5.71,,,88.86,0.7
2020-07-30,,5.71,,,96.14,0.84
2020-07-31,,5.71,,,98.29,0.91
2020-08-01,,5.71,,,97.29,0.93
2020-08-02,,5.43,,,91.43,0.97
2020-08-03,,5.43,,,83.0,0.97
2020-08-04,,5.43,,,79.14,0.97
2020-08-05,,5.43,,,80.71,1.03
2020-08-06,,5.43,,,74.71,1.07
2020-08-07,,5.43,,,70.86,1.06
2020-08-08,,5.43,,,67.0,1.06
2020-08-09,,4.0,,,67.57,1.03
2020-08-10,,4.0,,,64.14,1.03
2020-08-11,,4.0,,,64.57,1.0
2020-08-12,,4.0,,,52.0,1.0
2020-08-13,,4.0,,,47.86,1.03
2020-08-14,,4.0,,,42.57,1.03
2020-08-15,,4.0,,,40.71,1.03
2020-08-16,,5.57,,,36.29,1.03
2020-08-17,,5.57,,,34.43,1.03
2020-08-18,,5.57,,,29.0,1.03
2020-08-19,,5.57,,,28.86,1.09
2020-08-20,,5.57,,,28.0,1.09
2020-08-21,,5.57,,,26.57,1.2
2020-08-22,,5.57,,,27.86,1.2
2020-08-23,,4.14,,,28.57,1.2
2020-08-24,,4.14,,,29.71,1.2
2020-08-25,,4.14,,,28.43,1.2
2020-08-26,,4.14,,,30.14,1.2
2020-08-27,,4.14,,,26.14,1.0
2020-08-28,,4.14,,,28.0,1.0
2020-08-29,,4.14,,,28.14,1.0
2020-08-30,,4.86,,,27.14,1.0
2020-08-31,,4.86,,,25.86,0.7
2020-09-01,,4.86,,,27.86,0.7
2020-09-02,,4.86,,,26.14,0.67
2020-09-03,,4.86,,,30.57,0.67
2020-09-04,,4.86,,,30.43,0.6
2020-09-05,,4.86,,,29.29,0.6
2020-09-06,,5.43,,,32.14,0.6
2020-09-07,,5.43,,,32.43,0.55
2020-09-08,,5.43,,,30.43,0.55
2020-09-09,,5.43,,,29.57,0.55
2020-09-10,,5.43,,,26.0,0.55
2020-09-11,,5.43,,,28.71,0.55
2020-09-12,,5.43,,,28.43,0.55
2020-09-13,,4.86,,,31.43,0.45
2020-09-14,,4.86,,,33.43,0.47
2020-09-15,,4.86,,,37.86,0.48
2020-09-16,,4.86,,,38.57,0.48
2020-09-17,,4.86,,,44.43,0.49
2020-09-18,,4.86,,,39.57,0.63
2020-09-19,,4.86,,,39.43,0.63
2020-09-20,,4.0,,,31.14,0.63
2020-09-21,,4.0,,,31.0,0.63
2020-09-22,,4.0,,,31.0,0.63
2020-09-23,,4.0,,,26.0,0.63
2020-09-24,,4.0,,,25.71,0.53
2020-09-25,,4.0,,,28.43,0.53
2020-09-26,,4.0,,,26.71,0.6
2020-09-27,,4.29,,,23.14,0.6
2020-09-28,,4.29,,,25.29,0.6
2020-09-29,,4.29,,,27.0,0.6
2020-09-30,,4.29,,,26.29,0.6
2020-10-01,,4.29,,,25.71,0.6
2020-10-02,,4.29,,,18.0,0.6
2020-10-03,,4.29,,,18.86,0.6
2020-10-04,,5.57,,,19.29,0.43
2020-10-05,,5.57,,,17.86,0.43
2020-10-06,,5.57,,,12.57,0.44
2020-10-07,,5.57,,,14.86,0.47
2020-10-08,,5.57,,,18.0,0.48
2020-10-09,,5.57,,,17.14,0.5
2020-10-10,,5.57,,,16.57,0.5
2020-10-11,,4.14,,,16.86,0.5
2020-10-12,,4.14,,,17.0,0.48
2020-10-13,,4.14,,,18.0,0.53
2020-10-14,,4.14,,,16.14,0.53
2020-10-15,,4.14,,,13.86,0.53
2020-10-16,,4.14,,,14.0,0.53
2020-10-17,,4.14,,,14.0,0.53
2020-10-18,,5.57,,,13.57,0.53
2020-10-19,,5.57,,,12.86,0.53
2020-10-20,,5.57,,,14.71,0.33
2020-10-21,,5.57,,,15.14,0.33
2020-10-22,,5.57,,,16.43,0.33
2020-10-23,,5.57,,,16.71,0.33
2020-10-24,,5.57,,,16.0,0.33
2020-10-25,,4.43,,,19.0,0.33
2020-10-26,,4.43,,,20.43,0.33
2020-10-27,,4.43,,,19.43,0.33
2020-10-28,,4.43,,,19.0,0.33
2020-10-29,,4.43,,,17.29,0.34
2020-10-30,,4.43,,,16.43,0.34
2020-10-31,,4.43,,,16.57,0.34
2020-11-01,,5.29,,,15.86,0.34
2020-11-02,,5.29,,,16.71,0.34
2020-11-03,,5.29,,,17.57,0.34
2020-11-04,,5.29,,,19.86,0.34
2020-11-05,,5.29,,,19.71,0.34
2020-11-06,,5.29,,,22.29,0.34
2020-11-07,,5.29,,,24.86,0.34
2020-11-08,,5.14,,,24.29,0.34
2020-11-09,,5.14,,,22.57,0.34
2020-11-10,,5.14,,,22.57,0.34
2020-11-11,,5.14,,,21.0,0.34
2020-11-12,,5.14,,,25.0,0.34
2020-11-13,,5.14,,,24.57,0.34
2020-11-14,,5.14,,,26.43,0.34
2020-11-15,,6.0,,,28.86,0.34
2020-11-16,,6.0,,,32.71,0.34
2020-11-17,,6.0,,,34.43,0.34
2020-11-18,,6.0,,,37.0,0.14
2020-11-19,,6.0,,,37.57,0.14
2020-11-20,,6.0,,,40.43,0.14
2020-11-21,,6.0,,,45.57,0.14
2020-11-22,,4.14,,,43.57,0.14
2020-11-23,,4.14,,,40.43,0.14
2020-11-24,,4.14,,,42.29,0.14
2020-11-25,,4.14,,,43.43,0.14
2020-11-26,,4.14,,,43.43,0.14
2020-11-27,,4.14,,,36.86,0.14
2020-11-28,,4.14,,,32.86,0.14
2020-11-29,,4.14,,,33.57,0.14
2020-11-30,,4.14,,,32.71,0.14
2020-12-01,,4.14,,,34.14,0.14
2020-12-02,,4.14,,,36.0,0.14
2020-12-03,,4.14,,,37.63,0.14
2020-12-04,,4.14,,,47.0,0.14
2020-12-05,,4.14,,,50.71,0.14
2020-12-06,,5.29,,,56.14,0.14
2020-12-07,,5.29,,,62.29,0.14
2020-12-08,,5.29,,,61.14,0.14
2020-12-09,,5.29,,,64.0,0.14
2020-12-10,,5.29,,,66.86,0.05
2020-12-11,,5.29,,,71.14,0.05
2020-12-12,,5.29,,,71.86,0.07
2020-12-13,,6.14,,,77.14,0.09
2020-12-14,,6.14,,,76.29,0.09
2020-12-15,,6.14,,,79.43,0.09
2020-12-16,,6.14,,,78.14,0.09
2020-12-17,,6.14,,,80.86,0.09
2020-12-18,,6.14,,,84.29,0.13
2020-12-19,,6.14,,,82.57,0.13
2020-12-20,,4.43,,,78.14,0.16
2020-12-21,,4.43,,,76.14,0.16
2020-12-22,,4.43,,,78.86,0.16
2020-12-23,,4.43,,,85.86,0.16
2020-12-24,,4.43,,,88.14,0.16
2020-12-25,,4.43,,,88.14,0.16
2020-12-26,,4.43,,,74.14,0.16
2020-12-27,,6.14,,,88.14,0.15
2020-12-28,,6.14,,,89.14,0.18
2020-12-29,,6.14,,,84.14,0.2
2020-12-30,,6.14,,,83.43,0.24
2020-12-31,,6.14,,,91.0,0.26
2021-01-01,,6.14,,,91.0,0.26
2021-01-02,,6.14,,,98.86,0.27
2021-01-03,,6.71,,,115.0,0.28
2021-01-04,,6.71,,,116.57,0.34
2021-01-05,,6.71,,,113.43,0.34
2021-01-06,,6.71,,,119.14,0.35
2021-01-07,,6.71,,,110.57,0.36
2021-01-08,,6.71,,,130.13,0.36
2021-01-09,,6.71,,,147.0,0.7
2021-01-10,,5.86,,,126.71,0.7
2021-01-11,,5.86,,,125.14,0.77
2021-01-12,,5.86,,,127.29,0.77
2021-01-13,,5.86,,,127.71,0.77
2021-01-14,,5.86,,,139.86,0.77
2021-01-15,,5.86,,,114.71,0.76
2021-01-16,,5.86,,,111.29,0.76
2021-01-17,,7.29,,,110.86,0.93
2021-01-18,,7.29,,,117.57,0.93
2021-01-19,,7.29,,,117.71,0.93
2021-01-20,,7.29,,,138.14,0.93
2021-01-21,,7.29,,,143.86,0.97
2021-01-22,,7.29,,,149.86,0.97
2021-01-23,,7.29,,,149.86,1.03
2021-01-24,,5.86,,,146.29,1.06
2021-01-25,,5.86,,,146.57,1.06
2021-01-26,,5.86,,,147.86,1.33
2021-01-27,,5.86,,,120.71,1.33
2021-01-28,,5.86,,,111.86,1.4
2021-01-29,,5.86,,,108.29,1.37
2021-01-30,,5.86,,,110.86,1.37
2021-01-31,,6.86,,,110.29,1.37
2021-02-01,,6.86,,,111.29,1.53
2021-02-02,,6.86,,,111.43,1.57
2021-02-03,,6.86,,,107.14,1.57
2021-02-04,,6.86,,,92.71,1.45
2021-02-05,,6.86,,,117.86,1.5
2021-02-06,,6.86,,,108.43,1.5
2021-02-07,,6.29,,,104.0,1.48
2021-02-08,,6.29,,,96.86,1.43
2021-02-09,,6.29,,,96.0,1.43
2021-02-10,,6.29,,,93.71,1.37
2021-02-11,,6.29,,,91.14,1.43
2021-02-12,,6.29,,,66.14,1.53
2021-02-13,,6.29,,,64.57,1.53
2021-02-14,,5.71,,,63.43,1.63
2021-02-15,,5.71,,,60.86,1.63
2021-02-16,,5.71,,,60.0,1.53
2021-02-17,,5.71,,,56.57,1.52
2021-02-18,,5.71,,,60.71,1.5
2021-02-19,,5.71,,,53.86,1.5
2021-02-20,,5.71,,,59.57,1.5
2021-02-21,,5.0,,,59.86,1.5
2021-02-22,,5.0,,,60.29,1.5
2021-02-23,,5.0,,,57.86,1.5
2021-02-24,,5.0,,,60.71,1.3
2021-02-25,,5.0,,,60.29,1.27
2021-02-26,,5.0,,,61.71,1.27
2021-02-27,,5.0,,,53.43,1.2
2021-02-28,,5.57,,,51.14,1.27
2021-03-01,,5.57,,,51.14,1.27
2021-03-02,,5.57,,,51.29,1.27
2021-03-03,,5.57,,,47.43,1.27
2021-03-04,,5.57,,,43.0,1.1
2021-03-05,,5.57,,,41.57,1.1
2021-03-06,,5.57,,,40.71,1.13
2021-03-07,,4.14,,,37.86,1.13
2021-03-08,,4.14,,,36.86,1.13
2021-03-09,,4.14,,,34.43,1.13
2021-03-10,,4.14,,,32.86,1.03
2021-03-11,,4.14,,,32.29,1.03
2021-03-12,,4.14,,,27.29,1.03
2021-03-13,,4.14,,,29.57,0.97
2021-03-14,,4.86,,,27.14,0.87
2021-03-15,,4.86,,,25.29,0.87
2021-03-16,,4.86,,,25.71,0.87
2021-03-17,,4.86,,,26.57,0.87
2021-03-18,,4.86,,,26.71,0.73
2021-03-19,,4.86,,,25.71,0.73
2021-03-20,,4.86,,,22.57,0.73
2021-03-21,,3.57,,,24.14,0.68
2021-03-22,,3.57,,,24.14,0.68
2021-03-23,,3.57,,,24.43,0.68
2021-03-24,,3.57,,,25.0,0.66
