date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,4.43,,,0.14,0.0
2020-03-21,,4.43,,,0.14,0.0
2020-03-22,,4.43,,,0.29,0.0
2020-03-23,,4.43,,,0.57,0.0
2020-03-24,,4.43,,,0.57,0.0
2020-03-25,,4.43,,,0.71,0.0
2020-03-26,,4.43,,,1.14,0.0
2020-03-27,,4.43,,,1.29,0.0
2020-03-28,,4.43,,,1.5,0.0
2020-03-29,,5.14,,,1.5,0.0
2020-03-30,,5.14,,,1.43,0.0
2020-03-31,,5.14,,,1.38,0.0
2020-04-01,,5.14,,,1.86,0.0
2020-04-02,,5.14,,,3.57,0.0
2020-04-03,,5.14,,,4.57,0.0
2020-04-04,,5.14,,,4.57,0.0
2020-04-05,,4.57,,,4.13,0.0
2020-04-06,,4.57,,,5.43,0.0
2020-04-07,,4.57,,,5.71,0.0
2020-04-08,,4.57,,,5.43,0.0
2020-04-09,,4.57,,,4.0,0.0
2020-04-10,,4.57,,,3.57,0.03
2020-04-11,,4.57,,,3.57,0.03
2020-04-12,,3.86,,,5.29,0.03
2020-04-13,,3.86,,,5.43,0.03
2020-04-14,,3.86,,,6.14,0.1
2020-04-15,,3.86,,,6.43,0.1
2020-04-16,,3.86,,,7.86,0.1
2020-04-17,,3.86,,,8.0,0.13
2020-04-18,,3.86,,,7.13,0.13
2020-04-19,,4.57,,,7.0,0.13
2020-04-20,,4.57,,,6.86,0.13
2020-04-21,,4.57,,,6.29,0.19
2020-04-22,,4.57,,,6.0,0.21
2020-04-23,,4.57,,,5.14,0.21
2020-04-24,,4.57,,,5.57,0.21
2020-04-25,,4.57,,,8.14,0.25
2020-04-26,,4.57,,,8.14,0.25
2020-04-27,,4.57,,,8.14,0.25
2020-04-28,,4.57,,,7.43,0.26
2020-04-29,,4.57,,,7.43,0.28
2020-04-30,,4.57,,,6.86,0.28
2020-05-01,,4.57,,,7.14,0.28
2020-05-02,,4.57,,,6.14,0.28
2020-05-03,,3.14,,,4.86,0.27
2020-05-04,,3.14,,,2.71,0.27
2020-05-05,,3.14,,,2.71,0.33
2020-05-06,,3.14,,,2.43,0.33
2020-05-07,,3.14,,,2.43,0.33
2020-05-08,,3.14,,,1.86,0.33
2020-05-09,,3.14,,,1.57,0.32
2020-05-10,,3.43,,,1.57,0.32
2020-05-11,,3.43,,,1.57,0.32
2020-05-12,,3.43,,,1.29,0.32
2020-05-13,,3.43,,,1.29,0.32
2020-05-14,,3.43,,,1.25,0.32
2020-05-15,,3.43,,,1.43,0.32
2020-05-16,,3.43,,,1.57,0.32
2020-05-17,,4.14,,,1.57,0.32
2020-05-18,,4.14,,,1.63,0.32
2020-05-19,,4.14,,,1.63,0.32
2020-05-20,,4.14,,,1.43,0.32
2020-05-21,,4.14,,,1.86,0.32
2020-05-22,,4.14,,,2.0,0.32
2020-05-23,,4.14,,,2.14,0.32
2020-05-24,,4.0,,,2.0,0.32
2020-05-25,,4.0,,,2.14,0.32
2020-05-26,,4.0,,,2.0,0.32
2020-05-27,,4.0,,,2.0,0.32
2020-05-28,,4.0,,,2.14,0.32
2020-05-29,,4.0,,,2.43,0.2
2020-05-30,,4.0,,,2.29,0.2
2020-05-31,,3.43,,,2.57,0.2
2020-06-01,,3.43,,,2.43,0.2
2020-06-02,,3.43,,,3.29,0.2
2020-06-03,,3.43,,,3.0,0.19
2020-06-04,,3.43,,,4.14,0.19
2020-06-05,,3.43,,,4.14,0.19
2020-06-06,,3.43,,,4.71,0.19
2020-06-07,,4.29,,,5.71,0.19
2020-06-08,,4.29,,,6.71,0.1
2020-06-09,,4.29,,,7.0,0.13
2020-06-10,,4.29,,,10.29,0.13
2020-06-11,,4.29,,,11.71,0.13
2020-06-12,,4.29,,,12.71,0.13
2020-06-13,,4.29,,,14.43,0.13
2020-06-14,,3.43,,,16.14,0.13
2020-06-15,,3.43,,,17.71,0.13
2020-06-16,,3.43,,,19.43,0.13
2020-06-17,,3.43,,,17.0,0.13
2020-06-18,,3.43,,,17.57,0.13
2020-06-19,,3.43,,,24.14,0.13
2020-06-20,,3.43,,,28.43,0.13
2020-06-21,,4.43,,,30.43,0.13
2020-06-22,,4.43,,,34.0,0.13
2020-06-23,,4.43,,,38.29,0.13
2020-06-24,,4.43,,,43.71,0.13
2020-06-25,,4.43,,,49.57,0.13
2020-06-26,,4.43,,,48.43,0.13
2020-06-27,,4.43,,,47.0,0.13
2020-06-28,,3.71,,,50.0,0.13
2020-06-29,,3.71,,,51.86,0.13
2020-06-30,,3.71,,,53.43,0.19
2020-07-01,,3.71,,,61.43,0.21
2020-07-02,,3.71,,,67.57,0.21
2020-07-03,,3.71,,,76.86,0.21
2020-07-04,,3.71,,,82.14,0.23
2020-07-05,,3.29,,,84.43,0.23
2020-07-06,,3.29,,,92.43,0.23
2020-07-07,,3.29,,,90.57,0.23
2020-07-08,,3.29,,,87.57,0.23
2020-07-09,,3.29,,,90.0,0.23
2020-07-10,,3.29,,,89.57,0.19
2020-07-11,,3.29,,,91.29,0.19
2020-07-12,,4.86,,,94.86,0.19
2020-07-13,,4.86,,,90.86,0.19
2020-07-14,,4.86,,,106.71,0.26
2020-07-15,,4.86,,,104.14,0.26
2020-07-16,,4.86,,,101.43,0.32
2020-07-17,,4.86,,,104.71,0.43
2020-07-18,,4.86,,,103.14,0.52
2020-07-19,,4.29,,,107.14,0.52
2020-07-20,,4.29,,,99.86,0.52
2020-07-21,,4.29,,,91.71,0.5
2020-07-22,,4.29,,,95.0,0.54
2020-07-23,,4.29,,,91.43,0.58
2020-07-24,,4.29,,,82.71,0.68
2020-07-25,,4.29,,,83.43,1.07
2020-07-26,,5.0,,,71.14,1.06
2020-07-27,,5.0,,,71.71,1.06
2020-07-28,,5.0,,,69.14,1.06
2020-07-29,,5.0,,,65.57,1.06
2020-07-30,,5.0,,,67.57,1.17
2020-07-31,,5.0,,,61.29,1.17
2020-08-01,,5.0,,,58.0,1.13
2020-08-02,,4.57,,,57.43,1.13
2020-08-03,,4.57,,,55.57,1.13
2020-08-04,,4.57,,,55.57,1.19
2020-08-05,,4.57,,,54.29,1.19
2020-08-06,,4.57,,,45.43,1.21
2020-08-07,,4.57,,,45.57,1.24
2020-08-08,,4.57,,,45.0,1.24
2020-08-09,,4.14,,,43.43,1.24
2020-08-10,,4.14,,,43.71,1.35
2020-08-11,,4.14,,,43.86,1.34
