date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-06,,17.86,,,0.14,0.0
2020-03-07,,17.86,,,0.14,0.0
2020-03-08,,14.57,,,0.14,0.0
2020-03-09,,14.57,,,0.14,0.0
2020-03-10,,14.57,,,0.14,0.0
2020-03-11,,14.57,,,0.14,0.0
2020-03-12,,14.57,,,0.14,0.0
2020-03-13,,14.57,,,0.14,0.0
2020-03-14,,14.57,,,0.14,0.0
2020-03-15,,15.14,,,0.14,0.0
2020-03-16,,15.14,,,0.14,0.0
2020-03-17,,15.14,,,0.18,0.0
2020-03-18,,15.14,,,0.25,0.0
2020-03-19,,15.14,,,0.31,0.0
2020-03-20,,15.14,,,0.36,0.03
2020-03-21,,15.14,,,0.53,0.03
2020-03-22,,12.0,,,0.75,0.03
2020-03-23,,12.0,,,1.76,0.03
2020-03-24,,12.0,,,4.71,0.03
2020-03-25,,12.0,,,6.86,0.03
2020-03-26,,12.0,,,7.86,0.03
2020-03-27,,12.0,,,12.29,0.03
2020-03-28,,12.0,,,14.14,0.03
2020-03-29,,12.29,,,14.71,0.03
2020-03-30,,12.29,,,13.14,0.03
2020-03-31,,12.29,,,15.14,0.03
2020-04-01,,12.29,,,19.71,0.03
2020-04-02,,12.29,,,24.43,0.03
2020-04-03,,12.29,,,22.14,0.03
2020-04-04,,12.29,,,23.71,0.03
2020-04-05,,12.14,,,23.71,0.03
2020-04-06,,12.14,,,25.29,0.03
2020-04-07,,12.14,,,23.29,0.03
2020-04-08,,12.14,,,16.86,0.03
2020-04-09,,12.14,,,11.71,0.03
2020-04-10,,12.14,,,11.57,0.03
2020-04-11,,12.14,,,8.14,0.03
2020-04-12,,14.57,,,8.13,0.05
2020-04-13,,14.57,,,7.29,0.05
2020-04-14,,14.57,,,6.86,0.05
2020-04-15,,14.57,,,7.43,0.05
2020-04-16,,14.57,,,10.0,0.07
2020-04-17,,14.57,,,8.14,0.07
2020-04-18,,14.57,,,8.14,0.07
2020-04-19,,14.0,,,7.29,0.07
2020-04-20,,14.0,,,5.71,0.07
2020-04-21,,14.0,,,7.14,0.13
2020-04-22,,14.0,,,6.57,0.13
2020-04-23,,14.0,,,4.14,0.13
2020-04-24,,14.0,,,4.43,0.14
2020-04-25,,14.0,,,4.88,0.14
2020-04-26,,11.86,,,6.57,0.14
2020-04-27,,11.86,,,6.57,0.14
2020-04-28,,11.86,,,6.86,0.15
2020-04-29,,11.86,,,5.57,0.15
2020-04-30,,11.86,,,5.57,0.15
2020-05-01,,11.86,,,5.86,0.15
2020-05-02,,11.86,,,5.86,0.15
2020-05-03,,12.14,,,4.86,0.15
2020-05-04,,12.14,,,4.14,0.15
2020-05-05,,12.14,,,4.14,0.15
2020-05-06,,12.14,,,3.86,0.17
2020-05-07,,12.14,,,3.86,0.17
2020-05-08,,12.14,,,5.43,0.17
2020-05-09,,12.14,,,4.43,0.18
2020-05-10,,12.71,,,4.43,0.18
2020-05-11,,12.71,,,5.29,0.19
2020-05-12,,12.71,,,6.0,0.19
2020-05-13,,12.71,,,6.0,0.19
2020-05-14,,12.71,,,6.0,0.19
2020-05-15,,12.71,,,6.29,0.19
2020-05-16,,12.71,,,6.57,0.19
2020-05-17,,12.43,,,4.71,0.19
2020-05-18,,12.43,,,4.86,0.29
2020-05-19,,12.43,,,4.29,0.29
2020-05-20,,12.43,,,4.29,0.29
2020-05-21,,12.43,,,4.0,0.29
2020-05-22,,12.43,,,5.57,0.29
2020-05-23,,12.43,,,6.29,0.29
2020-05-24,,13.43,,,7.29,0.29
2020-05-25,,13.43,,,7.43,0.29
2020-05-26,,13.43,,,7.57,0.29
2020-05-27,,13.43,,,7.63,0.22
2020-05-28,,13.43,,,7.86,0.22
2020-05-29,,13.43,,,6.57,0.22
2020-05-30,,13.43,,,8.43,0.22
2020-05-31,,13.86,,,8.43,0.22
2020-06-01,,13.86,,,10.43,0.22
2020-06-02,,13.86,,,11.14,0.22
2020-06-03,,13.86,,,11.57,0.2
2020-06-04,,13.86,,,15.0,0.2
2020-06-05,,13.86,,,17.57,0.23
2020-06-06,,13.86,,,19.43,0.23
2020-06-07,,9.86,,,22.71,0.23
2020-06-08,,9.86,,,25.29,0.23
2020-06-09,,9.86,,,27.0,0.23
2020-06-10,,9.86,,,30.29,0.23
2020-06-11,,9.86,,,32.43,0.23
2020-06-12,,9.86,,,35.71,0.16
2020-06-13,,9.86,,,38.57,0.16
2020-06-14,,13.43,,,45.14,0.16
2020-06-15,,13.43,,,50.57,0.18
2020-06-16,,13.43,,,56.43,0.18
2020-06-17,,13.43,,,56.43,0.2
2020-06-18,,13.43,,,70.43,0.2
2020-06-19,,13.43,,,85.0,0.25
2020-06-20,,13.43,,,101.86,0.25
2020-06-21,,17.71,,,106.29,0.25
2020-06-22,,17.71,,,125.57,0.25
2020-06-23,,17.71,,,146.0,0.25
2020-06-24,,17.71,,,164.71,0.27
2020-06-25,,17.71,,,175.14,0.29
2020-06-26,,17.71,,,186.71,0.29
2020-06-27,,17.71,,,202.0,0.29
2020-06-28,,16.57,,,220.71,0.34
2020-06-29,,16.57,,,230.0,0.34
2020-06-30,,16.57,,,253.57,0.41
2020-07-01,,16.57,,,267.43,0.6
2020-07-02,,16.57,,,283.71,0.61
2020-07-03,,16.57,,,310.29,0.61
2020-07-04,,16.57,,,319.14,0.71
2020-07-05,,19.86,,,324.29,0.73
2020-07-06,,19.86,,,332.14,0.73
2020-07-07,,19.86,,,292.29,0.84
2020-07-08,,19.86,,,292.57,1.0
2020-07-09,,19.86,,,297.71,1.09
2020-07-10,,19.86,,,275.43,1.09
2020-07-11,,19.86,,,270.86,1.25
2020-07-12,,20.14,,,272.0,1.5
2020-07-13,,20.14,,,265.14,1.48
2020-07-14,,20.14,,,311.0,1.63
2020-07-15,,20.14,,,304.14,1.77
2020-07-16,,20.14,,,282.57,2.1
2020-07-17,,20.14,,,287.14,2.1
2020-07-18,,20.14,,,260.86,2.33
2020-07-19,,22.0,,,268.86,2.29
2020-07-20,,22.0,,,255.43,2.33
2020-07-21,,22.0,,,219.29,2.74
2020-07-22,,22.0,,,214.57,3.09
2020-07-23,,22.0,,,208.14,3.09
2020-07-24,,22.0,,,197.71,3.09
2020-07-25,,22.0,,,200.71,3.73
2020-07-26,,17.71,,,169.71,3.8
2020-07-27,,17.71,,,159.57,3.8
2020-07-28,,17.71,,,162.14,3.84
2020-07-29,,17.71,,,165.29,4.4
2020-07-30,,17.71,,,160.86,4.39
2020-07-31,,17.71,,,141.43,4.57
2020-08-01,,17.71,,,138.29,4.43
2020-08-02,,21.0,,,138.43,4.5
2020-08-03,,21.0,,,139.14,4.45
2020-08-04,,21.0,,,127.71,4.8
2020-08-05,,21.0,,,114.43,4.9
2020-08-06,,21.0,,,108.43,5.0
2020-08-07,,21.0,,,110.43,5.0
2020-08-08,,21.0,,,106.0,5.17
2020-08-09,,20.0,,,104.29,5.17
2020-08-10,,20.0,,,94.71,4.9
2020-08-11,,20.0,,,91.43,5.1
2020-08-12,,20.0,,,89.86,4.97
2020-08-13,,20.0,,,87.43,5.03
2020-08-14,,20.0,,,86.86,5.03
2020-08-15,,20.0,,,86.86,4.93
2020-08-16,,15.43,,,79.29,4.9
2020-08-17,,15.43,,,76.29,4.9
2020-08-18,,15.43,,,71.71,4.4
2020-08-19,,15.43,,,72.43,4.4
2020-08-20,,15.43,,,68.57,4.4
2020-08-21,,15.43,,,61.43,3.97
2020-08-22,,15.43,,,62.29,3.67
2020-08-23,,14.86,,,63.0,3.67
2020-08-24,,14.86,,,70.57,3.67
2020-08-25,,14.86,,,69.14,3.23
2020-08-26,,14.86,,,59.43,3.2
