date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-04-02,,1.43,,,0.14,0.0
2020-04-03,,1.43,,,0.14,0.0
2020-04-04,,1.43,,,0.29,0.0
2020-04-05,,1.71,,,0.29,0.0
2020-04-06,,1.71,,,0.57,0.0
2020-04-07,,1.71,,,0.57,0.0
2020-04-08,,1.71,,,0.57,0.0
2020-04-09,,1.71,,,0.57,0.0
2020-04-10,,1.71,,,0.88,0.0
2020-04-11,,1.71,,,0.88,0.0
2020-04-12,,1.71,,,0.88,0.0
2020-04-13,,1.71,,,0.88,0.0
2020-04-14,,1.71,,,0.88,0.0
2020-04-15,,1.71,,,0.88,0.0
2020-04-16,,1.71,,,1.0,0.0
2020-04-17,,1.71,,,0.71,0.0
2020-04-18,,1.71,,,0.71,0.0
2020-04-19,,1.71,,,0.71,0.0
2020-04-20,,1.71,,,0.6,0.0
2020-04-21,,1.71,,,0.6,0.0
2020-04-22,,1.71,,,0.6,0.0
2020-04-23,,1.71,,,0.6,0.0
2020-04-24,,1.71,,,0.6,0.0
2020-04-25,,1.71,,,0.29,0.0
2020-04-26,,1.71,,,0.29,0.0
2020-04-27,,1.71,,,0.33,0.0
2020-04-28,,1.71,,,0.33,0.0
2020-04-29,,1.71,,,0.33,0.0
2020-04-30,,1.71,,,0.44,0.0
2020-05-01,,1.71,,,0.44,0.0
2020-05-02,,1.71,,,0.44,0.0
2020-05-03,,2.43,,,0.44,0.0
2020-05-04,,2.43,,,0.43,0.0
2020-05-05,,2.43,,,0.43,0.0
2020-05-06,,2.43,,,0.44,0.0
2020-05-07,,2.43,,,0.57,0.0
2020-05-08,,2.43,,,0.57,0.0
2020-05-09,,2.43,,,0.56,0.0
2020-05-10,,2.43,,,0.56,0.0
2020-05-11,,2.43,,,0.56,0.0
2020-05-12,,2.43,,,0.56,0.0
2020-05-13,,2.43,,,0.56,0.0
