date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-24,,1.57,,,0.14,0.0
2020-03-25,,1.57,,,0.43,0.0
2020-03-26,,1.57,,,0.43,0.0
2020-03-27,,1.57,,,0.57,0.0
2020-03-28,,1.57,,,0.57,0.0
2020-03-29,,1.57,,,0.57,0.0
2020-03-30,,1.57,,,0.86,0.0
2020-03-31,,1.57,,,0.86,0.0
2020-04-01,,1.57,,,0.86,0.0
2020-04-02,,1.57,,,0.88,0.0
2020-04-03,,1.57,,,0.88,0.0
2020-04-04,,1.57,,,1.13,0.0
2020-04-05,,1.57,,,1.13,0.0
2020-04-06,,1.57,,,1.29,0.0
2020-04-07,,1.57,,,1.25,0.0
2020-04-08,,1.57,,,1.57,0.0
2020-04-09,,1.57,,,1.57,0.0
2020-04-10,,1.57,,,1.5,0.0
2020-04-11,,1.57,,,1.5,0.0
2020-04-12,,1.57,,,1.5,0.0
2020-04-13,,1.57,,,1.14,0.0
2020-04-14,,1.57,,,1.57,0.0
2020-04-15,,1.57,,,1.14,0.0
2020-04-16,,1.57,,,1.14,0.0
2020-04-17,,1.57,,,1.29,0.0
2020-04-18,,1.57,,,1.63,0.0
2020-04-19,,1.57,,,1.56,0.0
2020-04-20,,1.57,,,1.56,0.0
2020-04-21,,1.57,,,1.43,0.0
2020-04-22,,1.57,,,1.43,0.0
2020-04-23,,1.57,,,1.43,0.0
2020-04-24,,1.57,,,1.29,0.0
2020-04-25,,1.57,,,1.29,0.0
2020-04-26,,1.57,,,1.29,0.0
2020-04-27,,1.57,,,1.25,0.0
2020-04-28,,1.57,,,1.43,0.0
2020-04-29,,1.57,,,1.38,0.0
2020-04-30,,1.57,,,1.71,0.03
2020-05-01,,1.57,,,2.57,0.03
2020-05-02,,1.57,,,2.14,0.03
2020-05-03,,1.71,,,2.14,0.03
2020-05-04,,1.71,,,2.0,0.03
2020-05-05,,1.71,,,2.0,0.03
2020-05-06,,1.71,,,2.43,0.03
2020-05-07,,1.71,,,2.57,0.03
2020-05-08,,1.71,,,2.0,0.03
2020-05-09,,1.71,,,2.29,0.03
2020-05-10,,2.57,,,2.5,0.03
2020-05-11,,2.57,,,2.86,0.03
2020-05-12,,2.57,,,2.86,0.03
2020-05-13,,2.57,,,2.86,0.03
2020-05-14,,2.57,,,3.0,0.03
2020-05-15,,2.57,,,3.0,0.03
2020-05-16,,2.57,,,2.71,0.03
2020-05-17,,2.57,,,2.43,0.03
2020-05-18,,2.57,,,2.57,0.03
2020-05-19,,2.57,,,2.63,0.03
2020-05-20,,2.57,,,2.86,0.03
2020-05-21,,2.57,,,2.57,0.03
2020-05-22,,2.57,,,3.57,0.03
2020-05-23,,2.57,,,5.0,0.03
2020-05-24,,2.57,,,5.0,0.03
2020-05-25,,2.57,,,4.86,0.05
2020-05-26,,2.57,,,5.71,0.05
