date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,1.71,,,0.14,0.0
2020-03-21,,1.71,,,0.14,0.0
2020-03-22,,1.71,,,0.14,0.0
2020-03-23,,1.71,,,0.57,0.03
2020-03-24,,1.71,,,0.71,0.03
2020-03-25,,1.71,,,0.71,0.03
2020-03-26,,1.71,,,0.71,0.03
2020-03-27,,1.71,,,0.71,0.03
2020-03-28,,1.71,,,0.75,0.03
2020-03-29,,1.71,,,1.67,0.03
2020-03-30,,1.71,,,2.0,0.03
2020-03-31,,1.71,,,2.86,0.03
2020-04-01,,1.71,,,2.88,0.03
2020-04-02,,1.71,,,2.89,0.03
2020-04-03,,1.71,,,4.0,0.03
2020-04-04,,1.71,,,5.43,0.03
2020-04-05,,1.71,,,5.43,0.07
2020-04-06,,1.71,,,5.71,0.07
2020-04-07,,1.71,,,6.14,0.07
2020-04-08,,1.71,,,6.29,0.1
2020-04-09,,1.71,,,6.29,0.1
2020-04-10,,1.71,,,6.57,0.1
2020-04-11,,1.71,,,5.71,0.13
2020-04-12,,1.43,,,5.71,0.13
2020-04-13,,1.43,,,4.0,0.13
2020-04-14,,1.43,,,3.0,0.2
2020-04-15,,1.43,,,2.57,0.2
2020-04-16,,1.43,,,3.29,0.2
2020-04-17,,1.43,,,3.71,0.2
2020-04-18,,1.43,,,3.43,0.2
2020-04-19,,1.43,,,3.38,0.2
2020-04-20,,1.43,,,4.86,0.22
2020-04-21,,1.43,,,5.29,0.24
2020-04-22,,1.43,,,6.86,0.27
2020-04-23,,1.43,,,7.57,0.27
2020-04-24,,1.43,,,8.14,0.27
2020-04-25,,1.43,,,9.0,0.27
2020-04-26,,1.43,,,9.86,0.29
2020-04-27,,1.43,,,9.29,0.31
2020-04-28,,1.43,,,9.71,0.36
2020-04-29,,1.43,,,9.0,0.43
2020-04-30,,1.43,,,8.43,0.45
2020-05-01,,1.43,,,7.29,0.51
2020-05-02,,1.43,,,6.57,0.51
2020-05-03,,1.43,,,6.86,0.51
2020-05-04,,1.43,,,6.71,0.55
2020-05-05,,1.43,,,6.14,0.55
2020-05-06,,1.43,,,6.71,0.55
2020-05-07,,1.43,,,6.14,0.55
2020-05-08,,1.43,,,6.29,0.73
2020-05-09,,1.43,,,6.29,0.74
2020-05-10,,1.71,,,4.86,0.74
2020-05-11,,1.71,,,4.71,0.77
2020-05-12,,1.71,,,4.29,0.77
2020-05-13,,1.71,,,4.29,0.78
2020-05-14,,1.71,,,4.29,0.83
2020-05-15,,1.71,,,3.14,0.87
2020-05-16,,1.71,,,3.14,0.87
2020-05-17,,1.43,,,3.57,0.87
2020-05-18,,1.43,,,4.0,0.88
2020-05-19,,1.43,,,4.14,0.88
2020-05-20,,1.43,,,4.14,0.86
2020-05-21,,1.43,,,4.14,1.0
2020-05-22,,1.43,,,4.0,1.0
2020-05-23,,1.43,,,4.0,0.97
2020-05-24,,1.57,,,3.43,0.97
2020-05-25,,1.57,,,3.43,0.97
2020-05-26,,1.57,,,1.86,0.97
2020-05-27,,1.57,,,1.43,0.97
2020-05-28,,1.57,,,1.14,0.97
2020-05-29,,1.57,,,1.14,0.97
2020-05-30,,1.57,,,1.5,0.77
2020-05-31,,1.57,,,1.5,0.77
2020-06-01,,1.57,,,1.5,0.77
