date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-22,,1.57,,,0.14,0.0
2020-03-23,,1.57,,,0.14,0.0
2020-03-24,,1.57,,,0.14,0.0
2020-03-25,,1.57,,,0.14,0.0
2020-03-26,,1.57,,,0.14,0.0
2020-03-27,,1.57,,,0.29,0.0
2020-03-28,,1.57,,,0.57,0.0
2020-03-29,,1.57,,,0.57,0.0
2020-03-30,,1.57,,,0.5,0.0
2020-03-31,,1.57,,,0.5,0.0
2020-04-01,,1.57,,,0.5,0.0
2020-04-02,,1.57,,,0.45,0.0
2020-04-03,,1.57,,,0.45,0.0
2020-04-04,,1.57,,,0.71,0.0
2020-04-05,,1.57,,,0.71,0.0
2020-04-06,,1.57,,,0.88,0.0
2020-04-07,,1.57,,,0.88,0.0
2020-04-08,,1.57,,,1.0,0.0
2020-04-09,,1.57,,,1.22,0.0
2020-04-10,,1.57,,,1.22,0.0
2020-04-11,,1.57,,,1.22,0.0
2020-04-12,,1.57,,,1.14,0.0
2020-04-13,,1.57,,,1.0,0.0
2020-04-14,,1.57,,,1.0,0.0
2020-04-15,,1.57,,,1.29,0.03
2020-04-16,,1.57,,,1.29,0.03
2020-04-17,,1.57,,,1.29,0.03
2020-04-18,,1.57,,,0.89,0.03
2020-04-19,,1.71,,,0.89,0.03
2020-04-20,,1.71,,,0.89,0.03
2020-04-21,,1.71,,,0.89,0.06
2020-04-22,,1.71,,,0.89,0.06
2020-04-23,,1.71,,,0.89,0.06
2020-04-24,,1.71,,,0.33,0.06
2020-04-25,,1.71,,,0.43,0.09
2020-04-26,,2.43,,,0.43,0.11
2020-04-27,,2.43,,,0.43,0.11
2020-04-28,,2.43,,,0.43,0.11
2020-04-29,,2.43,,,0.43,0.11
2020-04-30,,2.43,,,0.33,0.11
2020-05-01,,2.43,,,1.29,0.11
2020-05-02,,2.43,,,1.29,0.11
2020-05-03,,2.43,,,1.29,0.11
2020-05-04,,2.43,,,1.29,0.11
2020-05-05,,2.43,,,1.29,0.11
2020-05-06,,2.43,,,1.29,0.11
2020-05-07,,2.43,,,1.29,0.11
2020-05-08,,2.43,,,1.29,0.11
2020-05-09,,2.43,,,1.29,0.11
2020-05-10,,2.14,,,1.29,0.11
2020-05-11,,2.14,,,1.29,0.11
2020-05-12,,2.14,,,1.29,0.11
2020-05-13,,2.14,,,0.09,0.11
2020-05-14,,2.14,,,0.75,0.11
2020-05-15,,2.14,,,1.23,0.11
2020-05-16,,2.14,,,1.36,0.11
2020-05-17,,2.14,,,1.33,0.11
2020-05-18,,2.14,,,1.63,0.11
2020-05-19,,2.14,,,1.63,0.11
2020-05-20,,2.14,,,3.86,0.2
2020-05-21,,2.14,,,3.14,0.2
2020-05-22,,2.14,,,2.57,0.2
2020-05-23,,2.14,,,2.57,0.2
2020-05-24,,1.57,,,3.29,0.2
2020-05-25,,1.57,,,3.29,0.2
2020-05-26,,1.57,,,2.71,0.2
2020-05-27,,1.57,,,2.71,0.23
2020-05-28,,1.57,,,3.86,0.23
2020-05-29,,1.57,,,4.29,0.23
2020-05-30,,1.57,,,5.14,0.23
2020-05-31,,2.71,,,5.29,0.23
2020-06-01,,2.71,,,5.14,0.28
2020-06-02,,2.71,,,5.43,0.28
2020-06-03,,2.71,,,5.13,0.28
2020-06-04,,2.71,,,5.14,0.28
2020-06-05,,2.71,,,5.14,0.28
2020-06-06,,2.71,,,4.43,0.28
2020-06-07,,1.71,,,5.29,0.28
2020-06-08,,1.71,,,4.86,0.28
2020-06-09,,1.71,,,4.86,0.28
2020-06-10,,1.71,,,6.0,0.28
2020-06-11,,1.71,,,6.14,0.26
2020-06-12,,1.71,,,7.0,0.26
2020-06-13,,1.71,,,8.29,0.26
2020-06-14,,1.86,,,8.0,0.26
2020-06-15,,1.86,,,8.14,0.26
2020-06-16,,1.86,,,8.71,0.25
2020-06-17,,1.86,,,7.43,0.27
2020-06-18,,1.86,,,7.0,0.27
2020-06-19,,1.86,,,5.71,0.37
2020-06-20,,1.86,,,6.29,0.37
2020-06-21,,2.0,,,6.71,0.38
2020-06-22,,2.0,,,6.43,0.38
2020-06-23,,2.0,,,6.29,0.38
2020-06-24,,2.0,,,6.71,0.38
2020-06-25,,2.0,,,8.43,0.36
2020-06-26,,2.0,,,9.57,0.36
2020-06-27,,2.0,,,8.71,0.36
2020-06-28,,2.29,,,8.86,0.36
2020-06-29,,2.29,,,11.14,0.36
2020-06-30,,2.29,,,10.86,0.36
2020-07-01,,2.29,,,10.71,0.36
2020-07-02,,2.29,,,10.0,0.26
2020-07-03,,2.29,,,9.71,0.26
2020-07-04,,2.29,,,9.86,0.26
2020-07-05,,2.29,,,10.14,0.26
2020-07-06,,2.29,,,8.57,0.26
2020-07-07,,2.29,,,10.29,0.26
2020-07-08,,2.29,,,11.14,0.26
2020-07-09,,2.29,,,11.43,0.26
2020-07-10,,2.29,,,11.43,0.26
2020-07-11,,2.29,,,13.43,0.26
2020-07-12,,2.29,,,13.57,0.26
2020-07-13,,2.29,,,13.0,0.26
2020-07-14,,2.29,,,15.29,0.21
2020-07-15,,2.29,,,15.57,0.21
2020-07-16,,2.29,,,15.71,0.3
2020-07-17,,2.29,,,16.86,0.3
2020-07-18,,2.29,,,14.29,0.32
2020-07-19,,1.71,,,13.57,0.32
2020-07-20,,1.71,,,14.0,0.32
2020-07-21,,1.71,,,12.14,0.3
2020-07-22,,1.71,,,13.86,0.3
2020-07-23,,1.71,,,13.57,0.3
2020-07-24,,1.71,,,13.0,0.3
2020-07-25,,1.71,,,14.14,0.3
2020-07-26,,2.43,,,13.71,0.3
2020-07-27,,2.43,,,14.57,0.28
2020-07-28,,2.43,,,12.71,0.28
2020-07-29,,2.43,,,12.29,0.28
2020-07-30,,2.43,,,14.14,0.29
