date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,2.14,,,0.14,0.0
2020-03-21,,2.14,,,0.29,0.0
2020-03-22,,2.14,,,0.43,0.0
2020-03-23,,2.14,,,1.0,0.0
2020-03-24,,2.14,,,1.14,0.0
2020-03-25,,2.14,,,1.14,0.0
2020-03-26,,2.14,,,1.14,0.0
2020-03-27,,2.14,,,1.14,0.0
2020-03-28,,2.14,,,1.14,0.0
2020-03-29,,2.14,,,1.0,0.0
2020-03-30,,2.14,,,0.57,0.0
2020-03-31,,2.14,,,0.57,0.0
2020-04-01,,2.14,,,0.57,0.0
2020-04-02,,2.14,,,0.78,0.0
2020-04-03,,2.14,,,0.78,0.0
2020-04-04,,2.14,,,1.0,0.0
2020-04-05,,2.29,,,1.0,0.0
2020-04-06,,2.29,,,2.29,0.0
2020-04-07,,2.29,,,2.25,0.0
2020-04-08,,2.29,,,2.25,0.0
2020-04-09,,2.29,,,2.33,0.0
2020-04-10,,2.29,,,2.71,0.0
2020-04-11,,2.29,,,2.88,0.0
2020-04-12,,1.43,,,3.0,0.0
2020-04-13,,1.43,,,3.13,0.0
2020-04-14,,1.43,,,2.57,0.0
2020-04-15,,1.43,,,2.57,0.0
2020-04-16,,1.43,,,2.57,0.0
2020-04-17,,1.43,,,2.71,0.0
2020-04-18,,1.43,,,3.14,0.0
2020-04-19,,2.14,,,3.57,0.0
2020-04-20,,2.14,,,3.71,0.0
2020-04-21,,2.14,,,4.71,0.0
2020-04-22,,2.14,,,5.13,0.0
2020-04-23,,2.14,,,6.14,0.0
2020-04-24,,2.14,,,6.71,0.0
2020-04-25,,2.14,,,6.29,0.0
2020-04-26,,2.14,,,5.71,0.03
2020-04-27,,2.14,,,5.43,0.03
2020-04-28,,2.14,,,4.71,0.05
2020-04-29,,2.14,,,4.14,0.05
2020-04-30,,2.14,,,4.86,0.05
2020-05-01,,2.14,,,4.43,0.05
2020-05-02,,2.14,,,4.57,0.05
2020-05-03,,1.43,,,5.14,0.05
2020-05-04,,1.43,,,5.29,0.05
2020-05-05,,1.43,,,5.57,0.05
2020-05-06,,1.43,,,5.29,0.05
