date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-19,,3.71,,,0.14,0.0
2020-03-20,,3.71,,,0.14,0.0
2020-03-21,,3.71,,,0.14,0.0
2020-03-22,,2.71,,,0.14,0.0
2020-03-23,,2.71,,,0.29,0.0
2020-03-24,,2.71,,,0.43,0.0
2020-03-25,,2.71,,,0.57,0.0
2020-03-26,,2.71,,,0.57,0.0
2020-03-27,,2.71,,,1.0,0.0
2020-03-28,,2.71,,,1.0,0.0
2020-03-29,,2.57,,,1.0,0.0
2020-03-30,,2.57,,,1.43,0.0
2020-03-31,,2.57,,,2.0,0.0
2020-04-01,,2.57,,,3.29,0.0
2020-04-02,,2.57,,,3.88,0.0
2020-04-03,,2.57,,,3.86,0.0
2020-04-04,,2.57,,,5.0,0.0
2020-04-05,,3.0,,,5.0,0.0
2020-04-06,,3.0,,,5.38,0.0
2020-04-07,,3.0,,,5.38,0.0
2020-04-08,,3.0,,,6.29,0.0
2020-04-09,,3.0,,,6.14,0.0
2020-04-10,,3.0,,,5.71,0.0
2020-04-11,,3.0,,,4.86,0.03
2020-04-12,,3.86,,,5.29,0.03
2020-04-13,,3.86,,,4.29,0.03
2020-04-14,,3.86,,,4.29,0.03
2020-04-15,,3.86,,,3.43,0.03
2020-04-16,,3.86,,,3.43,0.03
2020-04-17,,3.86,,,2.57,0.03
2020-04-18,,3.86,,,2.43,0.03
2020-04-19,,1.57,,,2.43,0.03
2020-04-20,,1.57,,,2.43,0.03
2020-04-21,,1.57,,,2.43,0.03
2020-04-22,,1.57,,,2.43,0.03
2020-04-23,,1.57,,,2.43,0.03
2020-04-24,,1.57,,,2.43,0.05
2020-04-25,,1.57,,,1.75,0.05
2020-04-26,,2.43,,,1.86,0.05
2020-04-27,,2.43,,,2.0,0.05
2020-04-28,,2.43,,,2.0,0.05
2020-04-29,,2.43,,,1.86,0.07
2020-04-30,,2.43,,,2.0,0.07
2020-05-01,,2.43,,,2.13,0.07
2020-05-02,,2.43,,,2.13,0.07
2020-05-03,,2.43,,,2.29,0.07
2020-05-04,,2.43,,,2.29,0.07
2020-05-05,,2.43,,,1.86,0.07
2020-05-06,,2.43,,,1.86,0.07
2020-05-07,,2.43,,,1.57,0.07
2020-05-08,,2.43,,,1.29,0.07
2020-05-09,,2.43,,,1.29,0.07
2020-05-10,,2.43,,,0.88,0.07
2020-05-11,,2.43,,,1.14,0.07
2020-05-12,,2.43,,,1.14,0.07
2020-05-13,,2.43,,,1.14,0.07
2020-05-14,,2.43,,,0.86,0.07
2020-05-15,,2.43,,,0.86,0.07
2020-05-16,,2.43,,,0.75,0.07
2020-05-17,,2.43,,,1.0,0.07
2020-05-18,,2.43,,,0.86,0.07
2020-05-19,,2.43,,,0.86,0.07
2020-05-20,,2.43,,,1.13,0.07
2020-05-21,,2.43,,,1.43,0.07
2020-05-22,,2.43,,,2.0,0.07
2020-05-23,,2.43,,,3.71,0.07
2020-05-24,,2.0,,,4.14,0.07
2020-05-25,,2.0,,,4.14,0.07
2020-05-26,,2.0,,,4.29,0.07
2020-05-27,,2.0,,,4.88,0.07
2020-05-28,,2.0,,,4.88,0.07
2020-05-29,,2.0,,,6.57,0.07
2020-05-30,,2.0,,,6.71,0.07
2020-05-31,,2.71,,,6.14,0.07
2020-06-01,,2.71,,,5.0,0.07
2020-06-02,,2.71,,,5.0,0.07
2020-06-03,,2.71,,,4.71,0.07
2020-06-04,,2.71,,,5.57,0.07
2020-06-05,,2.71,,,6.14,0.07
2020-06-06,,2.71,,,5.86,0.07
2020-06-07,,2.71,,,6.57,0.07
2020-06-08,,2.71,,,7.71,0.07
2020-06-09,,2.71,,,7.71,0.07
2020-06-10,,2.71,,,7.71,0.07
2020-06-11,,2.71,,,8.57,0.07
2020-06-12,,2.71,,,8.43,0.07
2020-06-13,,2.71,,,8.71,0.07
2020-06-14,,3.57,,,10.29,0.07
2020-06-15,,3.57,,,10.71,0.07
2020-06-16,,3.57,,,9.43,0.07
2020-06-17,,3.57,,,10.29,0.07
2020-06-18,,3.57,,,12.0,0.07
2020-06-19,,3.57,,,13.29,0.07
2020-06-20,,3.57,,,15.43,0.07
2020-06-21,,2.14,,,17.43,0.07
2020-06-22,,2.14,,,16.29,0.07
2020-06-23,,2.14,,,20.86,0.07
2020-06-24,,2.14,,,23.71,0.07
2020-06-25,,2.14,,,25.14,0.07
2020-06-26,,2.14,,,25.14,0.07
2020-06-27,,2.14,,,28.29,0.07
2020-06-28,,4.14,,,29.57,0.0
2020-06-29,,4.14,,,33.86,0.0
2020-06-30,,4.14,,,41.29,0.0
2020-07-01,,4.14,,,45.86,0.0
2020-07-02,,4.14,,,51.57,0.0
2020-07-03,,4.14,,,61.29,0.0
2020-07-04,,4.14,,,64.71,0.03
2020-07-05,,4.29,,,68.57,0.07
2020-07-06,,4.29,,,72.29,0.07
2020-07-07,,4.29,,,63.29,0.07
2020-07-08,,4.29,,,65.29,0.1
2020-07-09,,4.29,,,64.43,0.13
2020-07-10,,4.29,,,61.29,0.17
2020-07-11,,4.29,,,62.57,0.17
2020-07-12,,2.86,,,64.71,0.17
2020-07-13,,2.86,,,68.14,0.17
2020-07-14,,2.86,,,73.43,0.17
2020-07-15,,2.86,,,69.14,0.17
2020-07-16,,2.86,,,67.86,0.17
2020-07-17,,2.86,,,73.57,0.23
2020-07-18,,2.86,,,69.71,0.33
2020-07-19,,4.0,,,79.14,0.33
2020-07-20,,4.0,,,77.71,0.33
2020-07-21,,4.0,,,70.86,0.5
2020-07-22,,4.0,,,76.0,0.7
2020-07-23,,4.0,,,73.86,0.73
2020-07-24,,4.0,,,71.86,0.87
2020-07-25,,4.0,,,69.57,0.97
2020-07-26,,3.14,,,52.71,0.97
2020-07-27,,3.14,,,46.71,1.0
2020-07-28,,3.14,,,49.29,1.07
2020-07-29,,3.14,,,59.14,1.06
2020-07-30,,3.14,,,59.14,1.06
2020-07-31,,3.14,,,60.29,1.09
2020-08-01,,3.14,,,53.71,1.09
2020-08-02,,3.71,,,52.86,1.09
2020-08-03,,3.71,,,56.57,1.2
2020-08-04,,3.71,,,54.43,1.2
2020-08-05,,3.71,,,58.14,1.23
2020-08-06,,3.71,,,45.0,1.31
2020-08-07,,3.71,,,45.57,1.31
2020-08-08,,3.71,,,46.57,1.31
2020-08-09,,4.43,,,47.57,1.31
2020-08-10,,4.43,,,42.29,1.31
2020-08-11,,4.43,,,42.29,1.31
2020-08-12,,4.43,,,44.86,1.3
2020-08-13,,4.43,,,41.14,1.32
2020-08-14,,4.43,,,36.71,1.32
2020-08-15,,4.43,,,34.71,1.39
2020-08-16,,3.14,,,31.86,1.39
2020-08-17,,3.14,,,27.29,1.39
2020-08-18,,3.14,,,26.71,1.48
2020-08-19,,3.14,,,25.43,1.47
2020-08-20,,3.14,,,25.29,1.47
2020-08-21,,3.14,,,25.14,1.43
2020-08-22,,3.14,,,26.57,1.43
2020-08-23,,3.29,,,24.14,1.43
2020-08-24,,3.29,,,24.14,1.43
2020-08-25,,3.29,,,23.29,1.43
2020-08-26,,3.29,,,20.86,1.27
2020-08-27,,3.29,,,18.71,1.23
2020-08-28,,3.29,,,19.86,1.23
2020-08-29,,3.29,,,24.57,1.23
2020-08-30,,2.71,,,26.43,1.23
2020-08-31,,2.71,,,26.43,1.23
2020-09-01,,2.71,,,28.14,1.19
2020-09-02,,2.71,,,26.71,1.3
2020-09-03,,2.71,,,29.43,1.29
2020-09-04,,2.71,,,30.29,1.29
2020-09-05,,2.71,,,26.0,1.17
2020-09-06,,3.0,,,17.0,1.16
2020-09-07,,3.0,,,15.71,1.16
2020-09-08,,3.0,,,14.57,1.16
2020-09-09,,3.0,,,15.29,1.16
2020-09-10,,3.0,,,15.29,1.17
2020-09-11,,3.0,,,19.0,1.2
2020-09-12,,3.0,,,17.0,1.2
2020-09-13,,2.57,,,33.43,1.13
2020-09-14,,2.57,,,35.86,1.13
2020-09-15,,2.57,,,35.86,1.13
2020-09-16,,2.57,,,35.57,1.13
2020-09-17,,2.57,,,37.14,1.13
2020-09-18,,2.57,,,37.0,1.13
2020-09-19,,2.57,,,33.29,1.13
2020-09-20,,3.14,,,34.43,1.13
2020-09-21,,3.14,,,18.0,1.13
2020-09-22,,3.14,,,18.0,1.13
2020-09-23,,3.14,,,14.14,0.68
2020-09-24,,3.14,,,15.57,0.68
2020-09-25,,3.14,,,15.14,0.67
2020-09-26,,3.14,,,21.57,0.7
2020-09-27,,2.71,,,19.14,0.7
2020-09-28,,2.71,,,19.0,0.7
2020-09-29,,2.71,,,19.57,0.7
2020-09-30,,2.71,,,18.86,0.7
2020-10-01,,2.71,,,16.0,0.7
2020-10-02,,2.71,,,16.14,0.7
2020-10-03,,2.71,,,11.71,0.7
2020-10-04,,3.57,,,13.0,0.7
2020-10-05,,3.57,,,14.29,0.7
2020-10-06,,3.57,,,16.43,0.7
2020-10-07,,3.57,,,17.71,0.37
2020-10-08,,3.57,,,21.57,0.37
2020-10-09,,3.57,,,21.43,0.37
2020-10-10,,3.57,,,22.14,0.37
2020-10-11,,2.14,,,21.29,0.37
2020-10-12,,2.14,,,20.86,0.37
2020-10-13,,2.14,,,22.43,0.37
2020-10-14,,2.14,,,23.43,0.37
2020-10-15,,2.14,,,25.14,0.37
2020-10-16,,2.14,,,25.57,0.19
2020-10-17,,2.14,,,25.29,0.25
2020-10-18,,2.29,,,26.14,0.25
2020-10-19,,2.29,,,24.71,0.25
2020-10-20,,2.29,,,22.86,0.29
2020-10-21,,2.29,,,24.29,0.29
2020-10-22,,2.29,,,22.43,0.32
2020-10-23,,2.29,,,21.57,0.32
2020-10-24,,2.29,,,21.71,0.43
2020-10-25,,2.43,,,22.86,0.43
2020-10-26,,2.43,,,23.71,0.43
2020-10-27,,2.43,,,23.14,0.43
2020-10-28,,2.43,,,23.29,0.43
2020-10-29,,2.43,,,23.29,0.43
2020-10-30,,2.43,,,22.14,0.43
2020-10-31,,2.43,,,22.57,0.35
2020-11-01,,2.86,,,23.14,0.35
2020-11-02,,2.86,,,22.71,0.35
2020-11-03,,2.86,,,22.71,0.35
2020-11-04,,2.86,,,21.29,0.35
2020-11-05,,2.86,,,20.57,0.36
2020-11-06,,2.86,,,21.29,0.36
2020-11-07,,2.86,,,23.14,0.36
2020-11-08,,3.14,,,23.0,0.44
2020-11-09,,3.14,,,24.14,0.44
2020-11-10,,3.14,,,24.71,0.44
2020-11-11,,3.14,,,25.29,0.46
2020-11-12,,3.14,,,26.0,0.46
2020-11-13,,3.14,,,31.86,0.46
2020-11-14,,3.14,,,32.71,0.46
2020-11-15,,2.71,,,33.57,0.46
2020-11-16,,2.71,,,34.29,0.46
2020-11-17,,2.71,,,35.0,0.46
2020-11-18,,2.71,,,36.71,0.47
2020-11-19,,2.71,,,36.0,0.47
2020-11-20,,2.71,,,34.57,0.47
2020-11-21,,2.71,,,35.57,0.47
2020-11-22,,2.86,,,35.0,0.47
2020-11-23,,2.86,,,35.86,0.47
2020-11-24,,2.86,,,39.14,0.47
2020-11-25,,2.86,,,42.86,0.47
2020-11-26,,2.86,,,42.86,0.47
2020-11-27,,2.86,,,41.71,0.47
2020-11-28,,2.86,,,38.14,0.47
2020-11-29,,3.86,,,37.43,0.47
2020-11-30,,3.86,,,37.0,0.3
2020-12-01,,3.86,,,38.86,0.35
2020-12-02,,3.86,,,35.0,0.35
2020-12-03,,3.86,,,38.25,0.35
2020-12-04,,3.86,,,46.86,0.35
2020-12-05,,3.86,,,57.86,0.33
2020-12-06,,2.86,,,64.0,0.35
2020-12-07,,2.86,,,70.86,0.35
2020-12-08,,2.86,,,70.29,0.35
2020-12-09,,2.86,,,70.14,0.35
2020-12-10,,2.86,,,72.57,0.35
2020-12-11,,2.86,,,70.29,0.33
2020-12-12,,2.86,,,71.57,0.35
2020-12-13,,3.57,,,72.29,0.35
2020-12-14,,3.57,,,69.86,0.35
2020-12-15,,3.57,,,69.86,0.35
2020-12-16,,3.57,,,72.71,0.34
2020-12-17,,3.57,,,77.0,0.34
2020-12-18,,3.57,,,82.43,0.34
2020-12-19,,3.57,,,81.29,0.34
2020-12-20,,3.0,,,80.57,0.38
2020-12-21,,3.0,,,80.29,0.39
2020-12-22,,3.0,,,76.86,0.39
2020-12-23,,3.0,,,78.43,0.39
2020-12-24,,3.0,,,75.29,0.39
2020-12-25,,3.0,,,75.29,0.39
2020-12-26,,3.0,,,70.29,0.42
2020-12-27,,2.71,,,88.43,0.42
2020-12-28,,2.71,,,90.29,0.42
2020-12-29,,2.71,,,98.86,0.41
2020-12-30,,2.71,,,98.0,0.53
2020-12-31,,2.71,,,110.43,0.5
2021-01-01,,2.71,,,110.43,0.5
2021-01-02,,2.71,,,103.14,0.5
2021-01-03,,2.14,,,101.0,0.5
2021-01-04,,2.14,,,96.86,0.5
2021-01-05,,2.14,,,92.57,0.5
2021-01-06,,2.14,,,107.29,0.5
2021-01-07,,2.14,,,109.71,0.52
2021-01-08,,2.14,,,126.13,0.53
2021-01-09,,2.14,,,160.86,0.53
2021-01-10,,1.43,,,149.57,0.53
2021-01-11,,1.43,,,160.86,0.53
2021-01-12,,1.43,,,162.14,0.53
2021-01-13,,1.43,,,168.43,0.53
2021-01-14,,1.43,,,160.14,0.53
2021-01-15,,1.43,,,150.71,0.53
2021-01-16,,1.43,,,148.71,0.53
2021-01-17,,2.86,,,155.57,0.45
2021-01-18,,2.86,,,151.57,0.47
2021-01-19,,2.86,,,159.57,0.47
2021-01-20,,2.86,,,145.14,0.5
2021-01-21,,2.86,,,149.71,0.57
2021-01-22,,2.86,,,159.29,0.57
2021-01-23,,2.86,,,152.57,0.56
2021-01-24,,3.57,,,150.43,0.61
2021-01-25,,3.57,,,144.86,0.61
2021-01-26,,3.57,,,133.29,0.61
2021-01-27,,3.57,,,137.57,0.58
2021-01-28,,3.57,,,132.86,0.63
2021-01-29,,3.57,,,119.43,0.63
2021-01-30,,3.57,,,117.71,0.67
2021-01-31,,3.14,,,113.86,0.7
2021-02-01,,3.14,,,120.29,0.84
2021-02-02,,3.14,,,126.29,0.87
2021-02-03,,3.14,,,120.71,0.9
2021-02-04,,3.14,,,117.57,0.9
2021-02-05,,3.14,,,122.0,0.88
2021-02-06,,3.14,,,114.86,0.93
2021-02-07,,3.29,,,121.29,0.97
2021-02-08,,3.29,,,117.57,0.97
2021-02-09,,3.29,,,113.57,0.97
2021-02-10,,3.29,,,120.29,0.97
2021-02-11,,3.29,,,115.43,1.0
2021-02-12,,3.29,,,107.29,1.0
2021-02-13,,3.29,,,103.43,1.0
2021-02-14,,2.71,,,99.57,1.08
2021-02-15,,2.71,,,98.57,1.08
2021-02-16,,2.71,,,98.57,1.08
2021-02-17,,2.71,,,90.29,1.37
2021-02-18,,2.71,,,88.43,1.37
2021-02-19,,2.71,,,80.57,1.39
2021-02-20,,2.71,,,77.0,1.39
2021-02-21,,3.43,,,68.86,1.4
2021-02-22,,3.43,,,66.71,1.42
2021-02-23,,3.43,,,61.57,1.42
2021-02-24,,3.43,,,60.86,1.43
2021-02-25,,3.43,,,65.29,1.45
2021-02-26,,3.43,,,66.57,1.45
2021-02-27,,3.43,,,63.0,1.45
2021-02-28,,2.86,,,64.43,1.45
2021-03-01,,2.86,,,65.29,1.45
2021-03-02,,2.86,,,67.57,1.45
2021-03-03,,2.86,,,62.86,1.3
2021-03-04,,2.86,,,57.71,1.3
2021-03-05,,2.86,,,53.0,1.17
2021-03-06,,2.86,,,51.43,1.13
2021-03-07,,2.29,,,47.71,1.13
2021-03-08,,2.29,,,45.57,1.13
2021-03-09,,2.29,,,41.71,1.13
2021-03-10,,2.29,,,40.14,1.07
2021-03-11,,2.29,,,36.0,1.1
2021-03-12,,2.29,,,32.57,1.1
2021-03-13,,2.29,,,34.71,1.13
2021-03-14,,2.29,,,31.71,1.13
2021-03-15,,2.29,,,28.86,1.13
2021-03-16,,2.29,,,30.43,1.13
2021-03-17,,2.29,,,29.0,0.93
2021-03-18,,2.29,,,28.57,0.93
2021-03-19,,2.29,,,34.29,0.93
2021-03-20,,2.29,,,38.0,0.93
2021-03-21,,2.71,,,40.71,0.93
2021-03-22,,2.71,,,40.43,0.93
2021-03-23,,2.71,,,39.86,0.93
2021-03-24,,2.71,,,41.29,0.7
2021-03-25,,2.71,,,45.14,0.74
2021-03-26,,2.71,,,44.71,0.73
2021-03-27,,2.71,,,43.57,0.73
2021-03-28,,2.43,,,39.86,0.68
2021-03-29,,2.43,,,41.43,0.68
2021-03-30,,2.43,,,41.86,0.68
2021-03-31,,2.43,,,40.71,0.68
2021-04-01,,2.43,,,38.14,0.68
2021-04-02,,2.43,,,35.86,0.68
2021-04-03,,2.43,,,31.14,0.68
2021-04-04,,3.57,,,31.14,0.68
2021-04-05,,3.57,,,30.43,0.63
2021-04-06,,3.57,,,35.71,0.63
2021-04-07,,3.57,,,34.71,0.61
2021-04-08,,3.57,,,37.71,0.61
2021-04-09,,3.57,,,38.29,0.63
2021-04-10,,3.57,,,41.57,0.63
2021-04-11,,2.0,,,40.88,0.63
2021-04-12,,2.0,,,46.14,0.63
2021-04-13,,2.0,,,42.43,0.63
2021-04-14,,2.0,,,43.29,0.63
2021-04-15,,2.0,,,48.0,0.63
2021-04-16,,2.0,,,48.57,0.63
2021-04-17,,2.0,,,44.71,0.63
2021-04-18,,2.43,,,49.0,0.63
2021-04-19,,2.43,,,46.0,0.4
2021-04-20,,2.43,,,46.14,0.4
2021-04-21,,2.43,,,46.86,0.4
2021-04-22,,2.43,,,41.0,0.4
2021-04-23,,2.43,,,42.43,0.4
2021-04-24,,2.43,,,43.86,0.4
2021-04-25,,2.57,,,40.43,0.4
2021-04-26,,2.57,,,40.43,0.4
2021-04-27,,2.57,,,37.0,0.4
2021-04-28,,2.57,,,34.71,0.32
2021-04-29,,2.57,,,34.86,0.34
2021-04-30,,2.57,,,41.43,0.34
2021-05-01,,2.57,,,39.43,0.34
2021-05-02,,3.14,,,36.86,0.34
2021-05-03,,3.14,,,35.43,0.34
2021-05-04,,3.14,,,34.57,0.34
2021-05-05,,3.14,,,34.86,0.34
2021-05-06,,3.14,,,31.29,0.33
2021-05-07,,3.14,,,20.57,0.33
2021-05-08,,3.14,,,20.14,0.33
2021-05-09,,3.29,,,19.0,0.33
2021-05-10,,3.29,,,18.57,0.33
2021-05-11,,3.29,,,19.43,0.33
2021-05-12,,3.29,,,19.43,0.33
2021-05-13,,3.29,,,19.86,0.3
2021-05-14,,3.29,,,19.86,0.3
2021-05-15,,3.29,,,31.14,0.3
2021-05-16,,2.29,,,31.29,0.33
2021-05-17,,2.29,,,32.14,0.33
2021-05-18,,2.29,,,30.71,0.33
2021-05-19,,2.29,,,30.29,0.33
2021-05-20,,2.29,,,28.86,0.33
2021-05-21,,2.29,,,28.14,0.33
2021-05-22,,2.29,,,14.86,0.33
2021-05-23,,3.14,,,14.57,0.33
2021-05-24,,3.14,,,14.29,0.33
2021-05-25,,3.14,,,15.43,0.33
2021-05-26,,3.14,,,15.29,0.33
2021-05-27,,3.14,,,16.0,0.33
2021-05-28,,3.14,,,15.29,0.26
2021-05-29,,3.14,,,15.43,0.26
2021-05-30,,2.29,,,14.0,0.26
2021-05-31,,2.29,,,11.86,0.26
2021-06-01,,2.29,,,11.86,0.26
2021-06-02,,2.29,,,9.29,0.26
2021-06-03,,2.29,,,7.29,0.26
2021-06-04,,2.29,,,5.29,0.26
2021-06-05,,2.29,,,4.86,0.26
2021-06-06,,2.57,,,5.57,0.26
2021-06-07,,2.57,,,5.57,0.26
2021-06-08,,2.57,,,5.63,0.26
2021-06-09,,2.57,,,6.43,0.26
2021-06-10,,2.57,,,6.0,0.26
2021-06-11,,2.57,,,6.57,0.17
2021-06-12,,2.57,,,6.57,0.17
2021-06-13,,2.57,,,6.71,0.17
2021-06-14,,2.57,,,8.86,0.17
2021-06-15,,2.57,,,8.71,0.17
2021-06-16,,2.57,,,7.86,0.17
2021-06-17,,2.57,,,7.86,0.17
2021-06-18,,2.57,,,7.86,0.17
2021-06-19,,2.57,,,7.86,0.17
2021-06-20,,1.43,,,7.86,0.17
2021-06-21,,1.43,,,4.29,0.17
2021-06-22,,1.43,,,4.14,0.17
2021-06-23,,1.43,,,4.14,0.17
2021-06-24,,1.43,,,5.71,0.17
2021-06-25,,1.43,,,6.14,0.17
2021-06-26,,1.43,,,6.14,0.17
2021-06-27,,2.29,,,6.14,0.17
2021-06-28,,2.29,,,7.0,0.17
2021-06-29,,2.29,,,7.71,0.17
2021-06-30,,2.29,,,8.71,0.17
2021-07-01,,2.29,,,8.43,0.06
2021-07-02,,2.29,,,10.14,0.06
2021-07-03,,2.29,,,10.14,0.06
2021-07-04,,2.57,,,10.14,0.06
2021-07-05,,2.57,,,12.29,0.06
2021-07-06,,2.57,,,13.29,0.06
2021-07-07,,2.57,,,13.0,0.06
2021-07-08,,2.57,,,12.29,0.06
2021-07-09,,2.57,,,13.71,0.06
2021-07-10,,2.57,,,13.71,0.06
2021-07-11,,2.29,,,13.71,0.06
2021-07-12,,2.29,,,16.29,0.06
2021-07-13,,2.29,,,15.71,0.06
2021-07-14,,2.29,,,16.71,0.06
2021-07-15,,2.29,,,22.43,0.06
2021-07-16,,2.29,,,22.57,0.09
2021-07-17,,2.29,,,22.57,0.09
2021-07-18,,2.43,,,22.57,0.09
2021-07-19,,2.43,,,28.0,0.09
2021-07-20,,2.43,,,29.43,0.09
2021-07-21,,2.43,,,31.86,0.1
2021-07-22,,2.43,,,32.0,0.1
2021-07-23,,2.43,,,36.86,0.1
2021-07-24,,2.43,,,36.86,0.1
2021-07-25,,4.14,,,36.86,0.1
2021-07-26,,4.14,,,41.57,0.1
2021-07-27,,4.14,,,47.0,0.1
2021-07-28,,4.14,,,52.29,0.11
2021-07-29,,4.14,,,56.0,0.13
2021-07-30,,4.14,,,70.0,0.13
2021-07-31,,4.14,,,70.0,0.13
2021-08-01,,2.71,,,70.0,0.13
2021-08-02,,2.71,,,101.0,0.13
2021-08-03,,2.71,,,115.29,0.13
2021-08-04,,2.71,,,122.43,0.13
2021-08-05,,2.71,,,133.29,0.13
2021-08-06,,2.71,,,126.0,0.17
2021-08-07,,2.71,,,126.0,0.17
2021-08-08,,3.0,,,126.0,0.17
2021-08-09,,3.0,,,142.29,0.21
2021-08-10,,3.0,,,132.86,0.23
2021-08-11,,3.0,,,139.43,0.23
2021-08-12,,3.0,,,151.57,0.26
2021-08-13,,3.0,,,168.0,0.3
2021-08-14,,3.0,,,168.0,0.3
2021-08-15,,3.86,,,168.0,0.3
2021-08-16,19.0,3.86,,,187.57,0.39
2021-08-17,18.37,3.86,,,183.0,0.39
2021-08-18,18.62,3.86,,,185.0,0.39
2021-08-19,19.48,3.86,,,182.29,0.39
2021-08-20,19.82,3.86,,,196.71,0.39
2021-08-21,20.52,3.86,,,196.71,0.39
2021-08-22,19.49,3.86,,,196.71,0.39
2021-08-23,20.08,3.86,,,212.43,0.52
2021-08-24,20.63,3.86,,,236.29,0.52
2021-08-25,20.49,3.86,,,247.14,0.51
2021-08-26,20.15,3.86,,,247.14,0.69
2021-08-27,21.08,3.86,,,279.71,0.83
2021-08-28,20.76,3.86,,,279.71,0.83
2021-08-29,20.78,4.29,,,279.71,0.83
2021-08-30,19.52,4.29,,,307.71,0.88
2021-08-31,20.01,4.29,,,326.0,0.91
2021-09-01,20.04,4.29,,,349.14,0.94
2021-09-02,19.64,4.29,,,371.71,0.94
2021-09-03,20.25,4.29,,,349.86,1.0
2021-09-04,19.17,4.29,,,349.86,1.0
2021-09-05,19.31,4.43,,,349.86,1.0
2021-09-06,18.5,4.43,,,370.29,1.23
2021-09-07,18.21,4.43,,,348.29,1.22
2021-09-08,18.76,4.43,,,326.14,1.22
2021-09-09,18.51,4.43,,,298.43,1.33
2021-09-10,18.73,4.43,,,268.29,1.42
2021-09-11,18.91,4.43,,,268.29,1.42
2021-09-12,20.08,4.86,,,268.29,1.42
2021-09-13,20.3,4.86,,,235.57,1.45
2021-09-14,20.27,4.86,,,253.29,1.47
2021-09-15,20.15,4.86,,,236.14,1.77
2021-09-16,19.24,4.86,,,249.71,1.74
2021-09-17,19.68,4.86,,,255.43,1.88
2021-09-18,19.94,4.86,,,255.43,1.88
2021-09-19,18.0,3.86,,,255.43,1.88
2021-09-20,18.22,3.86,,,199.14,1.91
2021-09-21,18.2,3.86,,,171.29,2.03
2021-09-22,17.66,3.86,,,163.57,2.33
2021-09-23,16.78,3.86,,,140.43,2.48
2021-09-24,15.99,3.86,,,123.86,2.6
2021-09-25,16.14,3.86,,,123.86,2.6
2021-09-26,14.85,3.86,,,123.86,2.6
2021-09-27,14.75,3.86,,,114.43,2.35
2021-09-28,14.41,3.86,,,108.14,2.41
2021-09-29,13.91,3.86,,,109.14,2.6
2021-09-30,14.0,3.86,,,104.14,2.67
2021-10-01,13.73,3.86,,,105.43,2.73
2021-10-02,12.35,3.86,,,105.43,2.73
2021-10-03,11.46,3.71,,,105.43,2.73
2021-10-04,10.95,3.71,,,86.86,2.68
