date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-16,,0.0,,,0.14,0.0
2020-03-17,,0.0,,,0.14,0.0
2020-03-18,,0.0,,,0.14,0.0
2020-03-19,,0.0,,,0.14,0.0
2020-03-20,,0.0,,,0.14,0.0
2020-03-21,,0.0,,,0.14,0.0
2020-03-22,,0.0,,,0.14,0.0
2020-03-23,,0.0,,,0.14,0.0
2020-03-24,,0.0,,,0.14,0.0
2020-03-25,,0.0,,,0.22,0.0
2020-03-26,,0.0,,,0.3,0.0
2020-03-27,,0.0,,,0.3,0.0
2020-03-28,,0.0,,,0.3,0.0
2020-03-29,,0.0,,,0.3,0.0
2020-03-30,,0.0,,,0.43,0.0
2020-03-31,,0.0,,,0.5,0.0
2020-04-01,,0.0,,,0.57,0.0
2020-04-02,,0.0,,,0.57,0.0
2020-04-03,,0.0,,,0.57,0.0
2020-04-04,,0.0,,,0.89,0.0
2020-04-05,,0.0,,,1.0,0.0
2020-04-06,,0.0,,,1.57,0.0
2020-04-07,,0.0,,,1.57,0.0
2020-04-08,,0.0,,,1.57,0.0
2020-04-09,,0.0,,,1.57,0.0
2020-04-10,,0.0,,,1.57,0.0
2020-04-11,,0.0,,,1.75,0.0
2020-04-12,,0.0,,,1.75,0.0
2020-04-13,,0.0,,,1.43,0.0
2020-04-14,,0.0,,,1.29,0.0
2020-04-15,,0.0,,,1.29,0.0
2020-04-16,,0.0,,,1.14,0.0
2020-04-17,,0.0,,,1.14,0.0
2020-04-18,,0.0,,,1.14,0.0
2020-04-19,,0.0,,,1.14,0.0
2020-04-20,,0.0,,,1.14,0.0
2020-04-21,,0.0,,,0.29,0.0
2020-04-22,,0.0,,,0.29,0.0
2020-04-23,,0.0,,,0.29,0.05
2020-04-24,,0.0,,,0.38,0.05
2020-04-25,,0.0,,,0.44,0.05
2020-04-26,,0.0,,,0.8,0.05
2020-04-27,,0.0,,,0.8,0.05
2020-04-28,,0.0,,,0.8,0.05
2020-04-29,,0.0,,,1.0,0.05
2020-04-30,,0.0,,,1.29,0.05
2020-05-01,,0.0,,,1.29,0.05
2020-05-02,,0.0,,,1.86,0.05
2020-05-03,,0.0,,,5.0,0.05
2020-05-04,,0.0,,,5.0,0.05
2020-05-05,,0.0,,,4.22,0.05
2020-05-06,,0.0,,,5.71,0.05
2020-05-07,,0.0,,,5.57,0.06
2020-05-08,,0.0,,,5.0,0.06
2020-05-09,,0.0,,,5.43,0.07
2020-05-10,,0.0,,,5.43,0.07
2020-05-11,,0.0,,,1.63,0.09
2020-05-12,,0.0,,,1.57,0.09
2020-05-13,,0.0,,,1.29,0.09
2020-05-14,,0.0,,,3.0,0.12
2020-05-15,,0.0,,,4.57,0.13
2020-05-16,,0.0,,,5.71,0.13
2020-05-17,,0.0,,,5.25,0.13
2020-05-18,,0.0,,,6.71,0.13
2020-05-19,,0.0,,,7.43,0.13
2020-05-20,,0.0,,,8.0,0.14
2020-05-21,,0.0,,,8.0,0.14
2020-05-22,,0.0,,,6.71,0.14
2020-05-23,,0.0,,,5.43,0.14
2020-05-24,,0.0,,,5.29,0.14
2020-05-25,,0.0,,,4.57,0.14
2020-05-26,,0.0,,,4.57,0.24
2020-05-27,,0.0,,,3.43,0.32
2020-05-28,,0.0,,,3.43,0.34
2020-05-29,,0.0,,,1.86,0.36
2020-05-30,,0.0,,,2.29,0.36
2020-05-31,,0.0,,,2.86,0.36
2020-06-01,,0.0,,,3.0,0.38
2020-06-02,,0.0,,,3.0,0.38
2020-06-03,,0.0,,,3.14,0.38
2020-06-04,,0.0,,,3.88,0.38
2020-06-05,,0.0,,,5.0,0.38
2020-06-06,,0.0,,,4.86,0.38
2020-06-07,,1.43,,,4.86,0.38
2020-06-08,,1.43,,,4.86,0.38
2020-06-09,,1.43,,,5.29,0.48
2020-06-10,,1.43,,,5.0,0.48
2020-06-11,,1.43,,,5.86,0.48
2020-06-12,,1.43,,,5.86,0.48
2020-06-13,,1.43,,,4.86,0.48
2020-06-14,,1.43,,,3.86,0.48
2020-06-15,,1.43,,,3.71,0.48
2020-06-16,,1.43,,,3.14,0.48
2020-06-17,,1.43,,,2.57,0.48
2020-06-18,,1.43,,,2.86,0.48
2020-06-19,,1.43,,,3.29,0.48
2020-06-20,,1.43,,,4.0,0.48
2020-06-21,,1.43,,,4.29,0.48
2020-06-22,,1.43,,,4.0,0.48
2020-06-23,,1.43,,,4.86,0.35
2020-06-24,,1.43,,,5.14,0.35
2020-06-25,,1.43,,,4.71,0.35
2020-06-26,,1.43,,,3.71,0.35
2020-06-27,,1.43,,,3.71,0.35
2020-06-28,,1.43,,,3.29,0.35
2020-06-29,,1.43,,,4.14,0.35
2020-06-30,,1.43,,,4.57,0.35
2020-07-01,,1.43,,,4.71,0.17
2020-07-02,,1.43,,,4.57,0.17
2020-07-03,,1.43,,,4.71,0.17
2020-07-04,,1.43,,,4.57,0.17
2020-07-05,,1.43,,,4.71,0.17
2020-07-06,,1.43,,,4.0,0.17
2020-07-07,,1.43,,,3.0,0.17
2020-07-08,,1.43,,,3.29,0.17
2020-07-09,,1.43,,,4.0,0.17
2020-07-10,,1.43,,,4.29,0.17
2020-07-11,,1.43,,,7.0,0.17
2020-07-12,,1.43,,,8.0,0.17
2020-07-13,,1.43,,,8.71,0.17
2020-07-14,,1.43,,,9.0,0.17
2020-07-15,,1.43,,,8.57,0.17
2020-07-16,,1.43,,,11.71,0.17
2020-07-17,,1.43,,,11.71,0.17
2020-07-18,,1.43,,,8.86,0.17
2020-07-19,,1.43,,,8.57,0.08
2020-07-20,,1.43,,,8.71,0.08
2020-07-21,,1.43,,,10.71,0.08
2020-07-22,,1.43,,,10.71,0.08
2020-07-23,,1.43,,,6.86,0.08
2020-07-24,,1.43,,,7.29,0.08
2020-07-25,,1.43,,,7.43,0.08
2020-07-26,,1.43,,,7.14,0.08
2020-07-27,,1.43,,,6.86,0.08
2020-07-28,,1.43,,,6.43,0.08
2020-07-29,,1.43,,,6.38,0.08
2020-07-30,,1.43,,,8.0,0.08
2020-07-31,,1.43,,,8.14,0.08
2020-08-01,,1.43,,,8.14,0.08
2020-08-02,,1.43,,,8.14,0.08
2020-08-03,,1.43,,,7.57,0.08
2020-08-04,,1.43,,,5.43,0.08
2020-08-05,,1.43,,,5.71,0.08
2020-08-06,,1.43,,,5.29,0.08
2020-08-07,,1.43,,,4.57,0.08
2020-08-08,,1.43,,,4.71,0.08
2020-08-09,,1.43,,,4.43,0.08
2020-08-10,,1.43,,,4.86,0.08
2020-08-11,,1.43,,,4.86,0.05
2020-08-12,,1.43,,,5.0,0.05
2020-08-13,,1.43,,,4.43,0.05
2020-08-14,,1.43,,,4.43,0.05
2020-08-15,,1.43,,,3.86,0.05
2020-08-16,,1.43,,,3.14,0.05
2020-08-17,,1.43,,,3.0,0.05
2020-08-18,,1.43,,,2.43,0.07
2020-08-19,,1.43,,,2.57,0.07
2020-08-20,,1.43,,,2.71,0.07
2020-08-21,,1.43,,,2.75,0.09
2020-08-22,,1.43,,,4.14,0.09
2020-08-23,,1.43,,,4.29,0.09
2020-08-24,,1.43,,,4.43,0.09
2020-08-25,,1.43,,,4.43,0.09
2020-08-26,,1.43,,,4.0,0.09
2020-08-27,,1.43,,,3.71,0.13
2020-08-28,,1.43,,,5.14,0.13
2020-08-29,,1.43,,,4.0,0.13
2020-08-30,,1.43,,,4.14,0.13
2020-08-31,,1.43,,,4.14,0.13
2020-09-01,,1.43,,,4.29,0.14
2020-09-02,,1.43,,,4.13,0.14
2020-09-03,,1.43,,,6.71,0.14
2020-09-04,,1.43,,,8.29,0.14
2020-09-05,,1.43,,,6.71,0.14
2020-09-06,,1.43,,,6.71,0.14
2020-09-07,,1.43,,,6.86,0.14
2020-09-08,,1.43,,,6.86,0.14
2020-09-09,,1.43,,,6.0,0.14
2020-09-10,,1.43,,,4.0,0.2
2020-09-11,,1.43,,,3.0,0.26
2020-09-12,,1.43,,,3.43,0.26
2020-09-13,,1.43,,,4.43,0.26
2020-09-14,,1.43,,,3.86,0.26
2020-09-15,,1.43,,,3.5,0.26
2020-09-16,,1.43,,,4.71,0.26
2020-09-17,,1.43,,,5.43,0.26
2020-09-18,,1.43,,,5.14,0.29
2020-09-19,,1.43,,,5.0,0.29
2020-09-20,,0.0,,,3.57,0.29
2020-09-21,,0.0,,,3.71,0.29
2020-09-22,,0.0,,,3.71,0.29
2020-09-23,,0.0,,,3.71,0.29
2020-09-24,,0.0,,,3.29,0.29
2020-09-25,,0.0,,,2.57,0.29
2020-09-26,,0.0,,,2.14,0.23
2020-09-27,,0.0,,,1.86,0.23
2020-09-28,,0.0,,,2.29,0.23
2020-09-29,,0.0,,,2.43,0.23
2020-09-30,,0.0,,,2.43,0.24
2020-10-01,,0.0,,,2.14,0.24
2020-10-02,,0.0,,,2.57,0.24
2020-10-03,,0.0,,,2.71,0.25
2020-10-04,,1.43,,,3.0,0.25
2020-10-05,,1.43,,,3.0,0.25
2020-10-06,,1.43,,,3.86,0.25
2020-10-07,,1.43,,,3.75,0.25
2020-10-08,,1.43,,,4.86,0.25
2020-10-09,,1.43,,,4.43,0.25
2020-10-10,,1.43,,,4.57,0.25
2020-10-11,,1.43,,,4.57,0.25
2020-10-12,,1.43,,,4.29,0.25
2020-10-13,,1.43,,,3.29,0.25
2020-10-14,,1.43,,,3.14,0.25
2020-10-15,,1.43,,,2.86,0.25
2020-10-16,,1.43,,,3.29,0.25
2020-10-17,,1.43,,,3.0,0.25
2020-10-18,,1.43,,,2.86,0.25
2020-10-19,,1.43,,,2.86,0.25
2020-10-20,,1.43,,,3.14,0.13
2020-10-21,,1.43,,,3.14,0.13
2020-10-22,,1.43,,,2.86,0.13
2020-10-23,,1.43,,,3.29,0.13
2020-10-24,,1.43,,,3.14,0.13
2020-10-25,,1.43,,,3.57,0.13
2020-10-26,,1.43,,,3.43,0.13
2020-10-27,,1.43,,,3.29,0.16
2020-10-28,,1.43,,,3.43,0.16
2020-10-29,,1.43,,,3.43,0.16
2020-10-30,,1.43,,,3.29,0.16
2020-10-31,,1.43,,,2.43,0.16
2020-11-01,,1.43,,,2.86,0.16
2020-11-02,,1.43,,,2.71,0.16
2020-11-03,,1.43,,,3.43,0.16
2020-11-04,,1.43,,,3.57,0.16
2020-11-05,,1.43,,,3.57,0.16
2020-11-06,,1.43,,,3.71,0.16
2020-11-07,,1.43,,,4.29,0.16
2020-11-08,,1.43,,,5.14,0.16
2020-11-09,,1.43,,,4.57,0.16
2020-11-10,,1.43,,,5.0,0.16
2020-11-11,,1.43,,,5.43,0.16
2020-11-12,,1.43,,,5.71,0.16
2020-11-13,,1.43,,,7.71,0.16
2020-11-14,,1.43,,,8.71,0.16
2020-11-15,,1.43,,,8.71,0.16
2020-11-16,,1.43,,,9.43,0.09
2020-11-17,,1.43,,,8.57,0.09
2020-11-18,,1.43,,,8.43,0.09
2020-11-19,,1.43,,,8.14,0.13
2020-11-20,,1.43,,,7.0,0.13
2020-11-21,,1.43,,,5.71,0.13
2020-11-22,,1.43,,,5.14,0.15
2020-11-23,,1.43,,,6.0,0.15
2020-11-24,,1.43,,,5.86,0.15
2020-11-25,,1.43,,,5.43,0.15
2020-11-26,,1.43,,,5.43,0.15
2020-11-27,,1.43,,,5.29,0.13
2020-11-28,,1.43,,,5.43,0.13
2020-11-29,,1.43,,,4.86,0.15
2020-11-30,,1.43,,,3.71,0.15
2020-12-01,,1.43,,,4.14,0.15
2020-12-02,,1.43,,,5.0,0.15
2020-12-03,,1.43,,,4.88,0.15
2020-12-04,,1.43,,,5.14,0.15
2020-12-05,,1.43,,,5.43,0.15
2020-12-06,,1.43,,,6.86,0.15
2020-12-07,,1.43,,,7.14,0.15
2020-12-08,,1.43,,,8.86,0.15
2020-12-09,,1.43,,,9.0,0.15
2020-12-10,,1.43,,,9.14,0.15
2020-12-11,,1.43,,,9.86,0.16
2020-12-12,,1.43,,,11.14,0.16
2020-12-13,,1.43,,,10.43,0.16
2020-12-14,,1.43,,,10.0,0.17
2020-12-15,,1.43,,,9.86,0.17
2020-12-16,,1.43,,,11.57,0.17
2020-12-17,,1.43,,,12.29,0.29
2020-12-18,,1.43,,,13.14,0.29
2020-12-19,,1.43,,,12.86,0.29
2020-12-20,,1.43,,,13.14,0.29
2020-12-21,,1.43,,,13.57,0.29
2020-12-22,,1.43,,,12.43,0.29
2020-12-23,,1.43,,,12.14,0.29
2020-12-24,,1.43,,,12.14,0.29
2020-12-25,,1.43,,,12.14,0.29
2020-12-26,,1.43,,,9.0,0.27
2020-12-27,,1.43,,,11.14,0.29
2020-12-28,,1.43,,,11.14,0.29
2020-12-29,,1.43,,,10.14,0.29
2020-12-30,,1.43,,,9.43,0.3
2020-12-31,,1.43,,,9.29,0.3
2021-01-01,,1.43,,,9.29,0.3
2021-01-02,,1.43,,,8.57,0.3
2021-01-03,,1.43,,,8.0,0.3
2021-01-04,,1.43,,,8.43,0.3
2021-01-05,,1.43,,,9.29,0.3
2021-01-06,,1.43,,,10.57,0.3
2021-01-07,,1.43,,,13.57,0.3
2021-01-08,,1.43,,,14.75,0.3
2021-01-09,,1.43,,,19.14,0.3
2021-01-10,,1.43,,,18.86,0.26
2021-01-11,,1.43,,,19.71,0.26
2021-01-12,,1.43,,,19.71,0.29
2021-01-13,,1.43,,,19.29,0.31
2021-01-14,,1.43,,,21.86,0.31
2021-01-15,,1.43,,,21.0,0.31
2021-01-16,,1.43,,,20.71,0.31
2021-01-17,,1.43,,,21.43,0.3
2021-01-18,,1.43,,,20.0,0.3
2021-01-19,,1.43,,,21.0,0.3
2021-01-20,,1.43,,,22.57,0.3
2021-01-21,,1.43,,,18.57,0.3
2021-01-22,,1.43,,,18.71,0.3
2021-01-23,,1.43,,,18.43,0.3
2021-01-24,,1.43,,,16.86,0.3
2021-01-25,,1.43,,,17.43,0.3
2021-01-26,,1.43,,,16.57,0.3
2021-01-27,,1.43,,,14.0,0.3
2021-01-28,,1.43,,,12.86,0.25
2021-01-29,,1.43,,,11.0,0.25
2021-01-30,,1.43,,,11.14,0.25
2021-01-31,,1.43,,,11.57,0.25
2021-02-01,,1.43,,,12.14,0.24
2021-02-02,,1.43,,,12.43,0.26
2021-02-03,,1.43,,,11.57,0.26
2021-02-04,,1.43,,,11.29,0.26
2021-02-05,,1.43,,,15.14,0.27
2021-02-06,,1.43,,,14.0,0.27
2021-02-07,,1.43,,,12.86,0.27
2021-02-08,,1.43,,,12.0,0.27
2021-02-09,,1.43,,,11.71,0.27
2021-02-10,,1.43,,,11.71,0.27
2021-02-11,,1.43,,,11.14,0.3
