date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,8.14,,,0.14,0.03
2020-03-21,,8.14,,,0.14,0.03
2020-03-22,,8.0,,,0.14,0.03
2020-03-23,,8.0,,,0.43,0.03
2020-03-24,,8.0,,,0.71,0.07
2020-03-25,,8.0,,,0.71,0.07
2020-03-26,,8.0,,,0.71,0.07
2020-03-27,,8.0,,,1.43,0.1
2020-03-28,,8.0,,,1.38,0.1
2020-03-29,,5.71,,,1.33,0.1
2020-03-30,,5.71,,,1.71,0.1
2020-03-31,,5.71,,,2.0,0.1
2020-04-01,,5.71,,,2.0,0.1
2020-04-02,,5.71,,,2.33,0.17
2020-04-03,,5.71,,,2.57,0.17
2020-04-04,,5.71,,,3.29,0.17
2020-04-05,,8.0,,,3.29,0.17
2020-04-06,,8.0,,,3.43,0.17
2020-04-07,,8.0,,,3.71,0.17
2020-04-08,,8.0,,,3.71,0.17
2020-04-09,,8.0,,,3.86,0.17
2020-04-10,,8.0,,,5.0,0.2
2020-04-11,,8.0,,,4.43,0.23
2020-04-12,,6.14,,,5.14,0.23
2020-04-13,,6.14,,,5.71,0.23
2020-04-14,,6.14,,,5.29,0.23
2020-04-15,,6.14,,,5.71,0.23
2020-04-16,,6.14,,,7.14,0.23
2020-04-17,,6.14,,,8.14,0.27
2020-04-18,,6.14,,,8.86,0.27
2020-04-19,,9.86,,,11.14,0.27
2020-04-20,,9.86,,,10.57,0.27
2020-04-21,,9.86,,,12.29,0.27
2020-04-22,,9.86,,,12.71,0.27
2020-04-23,,9.86,,,13.14,0.27
2020-04-24,,9.86,,,14.86,0.27
2020-04-25,,9.86,,,16.29,0.26
2020-04-26,,10.86,,,16.43,0.26
2020-04-27,,10.86,,,16.43,0.27
2020-04-28,,10.86,,,15.0,0.27
2020-04-29,,10.86,,,16.0,0.34
2020-04-30,,10.86,,,15.57,0.36
2020-05-01,,10.86,,,14.29,0.38
2020-05-02,,10.86,,,12.43,0.4
2020-05-03,,9.14,,,10.14,0.4
2020-05-04,,9.14,,,11.43,0.4
2020-05-05,,9.14,,,11.43,0.41
2020-05-06,,9.14,,,10.0,0.45
2020-05-07,,9.14,,,9.43,0.45
2020-05-08,,9.14,,,10.57,0.46
2020-05-09,,9.14,,,11.86,0.46
2020-05-10,,8.0,,,12.57,0.46
2020-05-11,,8.0,,,13.71,0.6
2020-05-12,,8.0,,,14.57,0.6
2020-05-13,,8.0,,,15.86,0.65
2020-05-14,,8.0,,,16.71,0.65
2020-05-15,,8.0,,,15.14,0.64
2020-05-16,,8.0,,,15.29,0.64
2020-05-17,,9.14,,,14.29,0.63
2020-05-18,,9.14,,,13.71,0.73
2020-05-19,,9.14,,,13.14,0.73
2020-05-20,,9.14,,,11.57,0.73
2020-05-21,,9.14,,,10.86,0.7
2020-05-22,,9.14,,,9.86,0.7
2020-05-23,,9.14,,,9.86,0.69
2020-05-24,,9.43,,,11.29,0.69
2020-05-25,,9.43,,,11.29,0.77
2020-05-26,,9.43,,,9.43,0.77
2020-05-27,,9.43,,,9.43,0.8
2020-05-28,,9.43,,,10.43,0.8
2020-05-29,,9.43,,,10.71,0.8
2020-05-30,,9.43,,,10.0,0.8
2020-05-31,,7.86,,,9.71,0.8
2020-06-01,,7.86,,,10.43,0.8
2020-06-02,,7.86,,,10.43,0.8
2020-06-03,,7.86,,,10.29,0.8
2020-06-04,,7.86,,,9.86,0.73
2020-06-05,,7.86,,,10.0,0.73
2020-06-06,,7.86,,,9.71,0.68
2020-06-07,,11.0,,,8.86,0.68
2020-06-08,,11.0,,,7.0,0.68
2020-06-09,,11.0,,,7.0,0.66
2020-06-10,,11.0,,,6.57,0.63
2020-06-11,,11.0,,,8.57,0.63
2020-06-12,,11.0,,,9.0,0.63
2020-06-13,,11.0,,,11.71,0.63
2020-06-14,,8.71,,,13.86,0.63
2020-06-15,,8.71,,,14.57,0.63
2020-06-16,,8.71,,,15.14,0.63
2020-06-17,,8.71,,,17.86,0.63
2020-06-18,,8.71,,,17.14,0.48
