date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-23,,2.29,,,0.29,0.0
2020-03-24,,2.29,,,0.29,0.0
2020-03-25,,2.29,,,0.29,0.0
2020-03-26,,2.29,,,0.43,0.0
2020-03-27,,2.29,,,0.43,0.0
2020-03-28,,2.29,,,0.86,0.0
2020-03-29,,2.14,,,1.43,0.0
2020-03-30,,2.14,,,1.29,0.0
2020-03-31,,2.14,,,1.38,0.0
2020-04-01,,2.14,,,1.33,0.0
2020-04-02,,2.14,,,1.71,0.0
2020-04-03,,2.14,,,1.63,0.0
2020-04-04,,2.14,,,1.57,0.03
2020-04-05,,2.43,,,1.14,0.03
2020-04-06,,2.43,,,1.43,0.03
2020-04-07,,2.43,,,1.29,0.03
2020-04-08,,2.43,,,1.43,0.03
2020-04-09,,2.43,,,1.43,0.03
2020-04-10,,2.43,,,1.71,0.03
2020-04-11,,2.43,,,2.14,0.03
2020-04-12,,1.86,,,2.14,0.03
2020-04-13,,1.86,,,2.14,0.03
2020-04-14,,1.86,,,1.86,0.03
2020-04-15,,1.86,,,1.86,0.07
2020-04-16,,1.86,,,1.57,0.07
2020-04-17,,1.86,,,1.57,0.07
2020-04-18,,1.86,,,1.57,0.07
2020-04-19,,1.43,,,1.14,0.07
2020-04-20,,1.43,,,0.71,0.07
2020-04-21,,1.43,,,0.71,0.07
2020-04-22,,1.43,,,0.88,0.07
2020-04-23,,1.43,,,0.86,0.07
2020-04-24,,1.43,,,0.88,0.07
2020-04-25,,1.43,,,1.14,0.07
2020-04-26,,2.43,,,1.14,0.07
2020-04-27,,2.43,,,1.14,0.07
2020-04-28,,2.43,,,1.0,0.07
2020-04-29,,2.43,,,1.0,0.08
2020-04-30,,2.43,,,1.0,0.08
2020-05-01,,2.43,,,1.0,0.08
2020-05-02,,2.43,,,0.71,0.08
2020-05-03,,3.43,,,0.75,0.08
2020-05-04,,3.43,,,0.78,0.08
2020-05-05,,3.43,,,0.78,0.08
2020-05-06,,3.43,,,1.0,0.08
2020-05-07,,3.43,,,1.0,0.08
2020-05-08,,3.43,,,1.0,0.08
2020-05-09,,3.43,,,1.0,0.08
2020-05-10,,3.57,,,1.0,0.08
