date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-15,,15.29,,,0.14,0.0
2020-03-16,,15.29,,,0.14,0.0
2020-03-17,,15.29,,,0.29,0.0
2020-03-18,,15.29,,,0.43,0.0
2020-03-19,,15.29,,,1.0,0.0
2020-03-20,,15.29,,,1.71,0.0
2020-03-21,,15.29,,,2.43,0.0
2020-03-22,,16.14,,,2.57,0.0
2020-03-23,,16.14,,,3.75,0.0
2020-03-24,,16.14,,,5.29,0.0
2020-03-25,,16.14,,,6.71,0.0
2020-03-26,,16.14,,,6.29,0.0
2020-03-27,,16.14,,,6.29,0.03
2020-03-28,,16.14,,,5.71,0.03
2020-03-29,,17.29,,,7.43,0.03
2020-03-30,,17.29,,,8.14,0.03
2020-03-31,,17.29,,,9.57,0.03
2020-04-01,,17.29,,,11.29,0.03
2020-04-02,,17.29,,,14.71,0.03
2020-04-03,,17.29,,,15.38,0.07
2020-04-04,,17.29,,,18.0,0.07
2020-04-05,,18.0,,,16.43,0.07
2020-04-06,,18.0,,,16.57,0.07
2020-04-07,,18.0,,,15.43,0.1
2020-04-08,,18.0,,,13.43,0.1
2020-04-09,,18.0,,,14.29,0.1
2020-04-10,,18.0,,,19.14,0.2
2020-04-11,,18.0,,,20.29,0.23
2020-04-12,,15.57,,,21.86,0.27
2020-04-13,,15.57,,,20.29,0.33
2020-04-14,,15.57,,,22.71,0.33
2020-04-15,,15.57,,,25.29,0.34
2020-04-16,,15.57,,,26.0,0.34
2020-04-17,,15.57,,,19.86,0.34
2020-04-18,,15.57,,,23.0,0.34
2020-04-19,,17.57,,,21.86,0.34
2020-04-20,,17.57,,,21.71,0.34
2020-04-21,,17.57,,,20.57,0.32
2020-04-22,,17.57,,,19.43,0.33
2020-04-23,,17.57,,,17.43,0.33
2020-04-24,,17.57,,,17.43,0.37
2020-04-25,,17.57,,,16.86,0.38
2020-04-26,,15.29,,,17.71,0.6
2020-04-27,,15.29,,,22.57,0.61
2020-04-28,,15.29,,,23.43,0.66
2020-04-29,,15.29,,,24.71,1.0
2020-04-30,,15.29,,,26.71,1.06
2020-05-01,,15.29,,,24.71,1.06
2020-05-02,,15.29,,,26.43,1.06
2020-05-03,,15.86,,,21.14,1.27
2020-05-04,,15.86,,,19.86,1.29
2020-05-05,,15.86,,,19.29,1.29
2020-05-06,,15.86,,,16.29,1.29
2020-05-07,,15.86,,,16.14,1.29
2020-05-08,,15.86,,,19.86,1.32
2020-05-09,,15.86,,,23.29,1.31
2020-05-10,,13.0,,,25.14,1.31
2020-05-11,,13.0,,,22.57,1.31
2020-05-12,,13.0,,,25.0,1.31
2020-05-13,,13.0,,,25.43,1.2
2020-05-14,,13.0,,,23.0,1.2
2020-05-15,,13.0,,,21.71,1.2
2020-05-16,,13.0,,,20.86,1.2
2020-05-17,,13.43,,,23.14,1.2
2020-05-18,,13.43,,,24.29,1.2
2020-05-19,,13.43,,,24.86,1.15
2020-05-20,,13.43,,,24.86,1.15
2020-05-21,,13.43,,,26.29,1.15
2020-05-22,,13.43,,,25.57,1.15
2020-05-23,,13.43,,,24.71,1.15
2020-05-24,,15.29,,,27.29,1.27
2020-05-25,,15.29,,,26.29,1.27
2020-05-26,,15.29,,,28.43,1.2
2020-05-27,,15.29,,,29.86,1.2
2020-05-28,,15.29,,,28.86,1.13
2020-05-29,,15.29,,,37.29,0.77
2020-05-30,,15.29,,,34.0,0.77
2020-05-31,,13.43,,,47.57,0.77
2020-06-01,,13.43,,,55.71,0.77
2020-06-02,,13.43,,,58.14,0.77
2020-06-03,,13.43,,,62.14,0.77
2020-06-04,,13.43,,,67.43,0.52
2020-06-05,,13.43,,,67.57,0.53
2020-06-06,,13.43,,,77.57,0.53
2020-06-07,,17.86,,,63.0,0.53
2020-06-08,,17.86,,,69.29,0.5
2020-06-09,,17.86,,,67.29,0.55
2020-06-10,,17.86,,,81.71,0.63
2020-06-11,,17.86,,,91.14,0.67
2020-06-12,,17.86,,,98.57,0.67
2020-06-13,,17.86,,,109.57,0.74
2020-06-14,,15.71,,,122.86,0.74
2020-06-15,,15.71,,,119.43,0.74
2020-06-16,,15.71,,,121.43,0.74
2020-06-17,,15.71,,,110.29,0.69
2020-06-18,,15.71,,,116.57,0.69
2020-06-19,,15.71,,,113.14,0.74
2020-06-20,,15.71,,,108.86,0.74
2020-06-21,,15.0,,,107.86,0.74
2020-06-22,,15.0,,,108.86,0.71
2020-06-23,,15.0,,,107.86,0.73
2020-06-24,,15.0,,,132.71,0.77
2020-06-25,,15.0,,,127.14,0.77
2020-06-26,,15.0,,,139.29,0.74
2020-06-27,,15.0,,,143.57,0.8
2020-06-28,,17.0,,,152.29,0.8
2020-06-29,,17.0,,,160.29,0.8
2020-06-30,,17.0,,,168.86,0.75
2020-07-01,,17.0,,,149.43,0.79
2020-07-02,,17.0,,,167.57,0.79
2020-07-03,,17.0,,,158.0,0.83
2020-07-04,,17.0,,,164.29,0.83
2020-07-05,,18.86,,,160.43,0.93
2020-07-06,,18.86,,,160.57,0.93
2020-07-07,,18.86,,,151.29,0.97
2020-07-08,,18.86,,,159.57,1.2
2020-07-09,,18.86,,,153.14,1.3
2020-07-10,,18.86,,,165.14,1.27
2020-07-11,,18.86,,,176.14,1.27
2020-07-12,,20.71,,,183.0,1.23
2020-07-13,,20.71,,,177.43,1.23
2020-07-14,,20.71,,,199.43,1.23
2020-07-15,,20.71,,,199.71,1.19
2020-07-16,,20.71,,,201.86,1.64
2020-07-17,,20.71,,,196.14,1.83
2020-07-18,,20.71,,,183.71,1.94
2020-07-19,,18.86,,,180.43,1.97
2020-07-20,,18.86,,,188.86,1.94
2020-07-21,,18.86,,,180.57,1.97
2020-07-22,,18.86,,,171.29,2.1
2020-07-23,,18.86,,,158.43,2.23
2020-07-24,,18.86,,,158.43,2.47
2020-07-25,,18.86,,,150.14,2.52
2020-07-26,,19.29,,,136.14,2.63
2020-07-27,,19.29,,,128.29,2.63
2020-07-28,,19.29,,,128.14,2.74
2020-07-29,,19.29,,,129.29,2.78
2020-07-30,,19.29,,,130.14,3.13
2020-07-31,,19.29,,,128.43,3.37
2020-08-01,,19.29,,,124.71,3.35
2020-08-02,,18.86,,,121.43,3.4
2020-08-03,,18.86,,,117.86,3.32
2020-08-04,,18.86,,,116.71,3.63
2020-08-05,,18.86,,,108.29,3.58
2020-08-06,,18.86,,,108.43,3.7
2020-08-07,,18.86,,,101.57,3.6
2020-08-08,,18.86,,,97.14,3.5
2020-08-09,,18.0,,,100.71,3.5
2020-08-10,,18.0,,,99.29,3.5
2020-08-11,,18.0,,,83.71,3.6
2020-08-12,,18.0,,,80.14,3.73
2020-08-13,,18.0,,,67.71,3.74
2020-08-14,,18.0,,,63.0,3.74
2020-08-15,,18.0,,,59.86,3.47
2020-08-16,,16.57,,,48.0,3.47
2020-08-17,,16.57,,,39.43,3.3
2020-08-18,,16.57,,,42.71,3.43
2020-08-19,,16.57,,,42.0,3.47
2020-08-20,,16.57,,,39.86,3.47
2020-08-21,,16.57,,,42.29,3.53
2020-08-22,,16.57,,,40.71,3.53
2020-08-23,,18.71,,,46.0,3.53
2020-08-24,,18.71,,,49.0,2.97
2020-08-25,,18.71,,,68.14,2.93
2020-08-26,,18.71,,,69.29,2.94
2020-08-27,,18.71,,,66.14,2.93
2020-08-28,,18.71,,,68.57,2.87
2020-08-29,,18.71,,,73.57,2.7
2020-08-30,,13.57,,,73.57,2.7
2020-08-31,,13.57,,,73.86,2.7
2020-09-01,,13.57,,,53.0,2.37
2020-09-02,,13.57,,,53.86,2.5
2020-09-03,,13.57,,,68.14,2.33
2020-09-04,,13.57,,,69.29,2.33
2020-09-05,,13.57,,,69.43,2.2
2020-09-06,,18.29,,,71.43,2.2
2020-09-07,,18.29,,,73.29,2.13
2020-09-08,,18.29,,,73.86,2.13
2020-09-09,,18.29,,,72.71,2.16
2020-09-10,,18.29,,,57.0,2.1
2020-09-11,,18.29,,,81.29,1.97
2020-09-12,,18.29,,,84.43,1.9
2020-09-13,,16.86,,,91.71,1.9
2020-09-14,,16.86,,,96.86,1.87
2020-09-15,,16.86,,,100.86,1.87
2020-09-16,,16.86,,,104.0,1.9
2020-09-17,,16.86,,,118.71,1.9
2020-09-18,,16.86,,,88.29,1.77
2020-09-19,,16.86,,,85.0,1.73
2020-09-20,,14.57,,,74.29,1.67
2020-09-21,,14.57,,,65.43,1.67
2020-09-22,,14.57,,,65.43,1.71
2020-09-23,,14.57,,,69.43,1.75
2020-09-24,,14.57,,,79.14,1.87
2020-09-25,,14.57,,,81.71,1.87
2020-09-26,,14.57,,,87.29,1.87
2020-09-27,,18.57,,,81.86,1.87
2020-09-28,,18.57,,,85.57,1.63
2020-09-29,,18.57,,,96.86,1.73
2020-09-30,,18.57,,,84.71,1.73
2020-10-01,,18.57,,,71.57,1.71
2020-10-02,,18.57,,,68.71,1.69
2020-10-03,,18.57,,,79.0,1.77
2020-10-04,,16.0,,,86.0,1.7
2020-10-05,,16.0,,,86.29,1.7
2020-10-06,,16.0,,,78.86,1.7
2020-10-07,,16.0,,,83.71,1.8
2020-10-08,,16.0,,,95.43,1.8
2020-10-09,,16.0,,,101.57,1.83
2020-10-10,,16.0,,,90.57,1.87
2020-10-11,,16.57,,,92.43,1.87
2020-10-12,,16.57,,,95.14,1.87
2020-10-13,,16.57,,,98.71,1.77
2020-10-14,,16.57,,,101.43,1.77
2020-10-15,,16.57,,,107.0,1.77
2020-10-16,,16.57,,,112.71,1.77
2020-10-17,,16.57,,,112.0,1.77
2020-10-18,,14.43,,,111.29,1.57
2020-10-19,,14.43,,,110.86,1.53
2020-10-20,,14.43,,,111.43,1.57
2020-10-21,,14.43,,,116.14,1.57
2020-10-22,,14.43,,,115.0,1.57
2020-10-23,,14.43,,,107.71,1.43
2020-10-24,,14.43,,,102.86,1.43
2020-10-25,,20.43,,,117.43,1.47
2020-10-26,,20.43,,,125.71,1.47
2020-10-27,,20.43,,,131.71,1.42
2020-10-28,,20.43,,,135.29,1.6
2020-10-29,,20.43,,,134.29,1.5
2020-10-30,,20.43,,,136.57,1.5
2020-10-31,,20.43,,,144.57,1.53
2020-11-01,,16.14,,,143.0,1.53
2020-11-02,,16.14,,,142.29,1.5
2020-11-03,,16.14,,,136.43,1.53
2020-11-04,,16.14,,,142.14,1.52
2020-11-05,,16.14,,,132.14,1.52
2020-11-06,,16.14,,,132.71,1.4
2020-11-07,,16.14,,,157.29,1.39
2020-11-08,,16.71,,,148.0,1.5
2020-11-09,,16.71,,,143.57,1.43
2020-11-10,,16.71,,,159.0,1.48
2020-11-11,,16.71,,,160.86,1.48
2020-11-12,,16.71,,,189.14,1.48
2020-11-13,,16.71,,,201.86,1.5
2020-11-14,,16.71,,,200.29,1.48
2020-11-15,,18.14,,,216.57,1.48
2020-11-16,,18.14,,,229.0,1.45
2020-11-17,,18.14,,,225.0,1.45
