date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-21,,2.71,,,0.29,0.0
2020-03-22,,2.29,,,0.29,0.0
2020-03-23,,2.29,,,0.29,0.0
2020-03-24,,2.29,,,0.29,0.0
2020-03-25,,2.29,,,0.29,0.0
2020-03-26,,2.29,,,0.29,0.0
2020-03-27,,2.29,,,0.29,0.0
2020-03-28,,2.29,,,0.14,0.0
2020-03-29,,2.43,,,0.14,0.0
2020-03-30,,2.43,,,0.14,0.0
2020-03-31,,2.43,,,0.3,0.0
2020-04-01,,2.43,,,0.36,0.0
2020-04-02,,2.43,,,0.5,0.0
2020-04-03,,2.43,,,0.54,0.0
2020-04-04,,2.43,,,1.0,0.0
2020-04-05,,3.0,,,1.0,0.0
2020-04-06,,3.0,,,0.89,0.0
2020-04-07,,3.0,,,1.0,0.0
2020-04-08,,3.0,,,1.14,0.0
2020-04-09,,3.0,,,1.0,0.0
2020-04-10,,3.0,,,1.0,0.0
2020-04-11,,3.0,,,1.0,0.0
2020-04-12,,3.29,,,1.0,0.0
2020-04-13,,3.29,,,1.0,0.0
2020-04-14,,3.29,,,1.0,0.0
2020-04-15,,3.29,,,0.71,0.0
2020-04-16,,3.29,,,2.29,0.0
2020-04-17,,3.29,,,2.29,0.0
2020-04-18,,3.29,,,2.43,0.0
2020-04-19,,2.71,,,2.38,0.0
2020-04-20,,2.71,,,2.71,0.0
2020-04-21,,2.71,,,2.75,0.0
2020-04-22,,2.71,,,3.14,0.0
2020-04-23,,2.71,,,3.14,0.0
2020-04-24,,2.71,,,1.43,0.0
2020-04-25,,2.71,,,1.29,0.0
2020-04-26,,2.71,,,1.14,0.0
2020-04-27,,2.71,,,1.14,0.0
2020-04-28,,2.71,,,0.86,0.0
2020-04-29,,2.71,,,0.86,0.0
2020-04-30,,2.71,,,1.0,0.0
2020-05-01,,2.71,,,1.0,0.0
2020-05-02,,2.71,,,1.43,0.0
2020-05-03,,2.43,,,1.57,0.0
2020-05-04,,2.43,,,1.57,0.0
2020-05-05,,2.43,,,1.57,0.0
2020-05-06,,2.43,,,1.88,0.0
2020-05-07,,2.43,,,1.88,0.0
2020-05-08,,2.43,,,1.63,0.0
2020-05-09,,2.43,,,1.63,0.0
2020-05-10,,3.0,,,1.63,0.0
2020-05-11,,3.0,,,1.0,0.0
2020-05-12,,3.0,,,1.0,0.0
2020-05-13,,3.0,,,0.86,0.0
2020-05-14,,3.0,,,0.88,0.02
2020-05-15,,3.0,,,1.0,0.02
2020-05-16,,3.0,,,1.0,0.02
2020-05-17,,2.71,,,1.0,0.02
2020-05-18,,2.71,,,1.14,0.02
2020-05-19,,2.71,,,1.13,0.02
2020-05-20,,2.71,,,1.13,0.02
2020-05-21,,2.71,,,1.14,0.02
2020-05-22,,2.71,,,1.43,0.02
2020-05-23,,2.71,,,1.63,0.02
2020-05-24,,2.14,,,1.63,0.02
2020-05-25,,2.14,,,1.63,0.02
2020-05-26,,2.14,,,2.86,0.02
2020-05-27,,2.14,,,3.88,0.02
2020-05-28,,2.14,,,6.43,0.02
2020-05-29,,2.14,,,7.0,0.02
2020-05-30,,2.14,,,6.71,0.02
2020-05-31,,3.43,,,7.5,0.02
2020-06-01,,3.43,,,7.22,0.02
2020-06-02,,3.43,,,8.0,0.02
2020-06-03,,3.43,,,6.71,0.03
2020-06-04,,3.43,,,5.43,0.03
2020-06-05,,3.43,,,4.57,0.03
2020-06-06,,3.43,,,6.14,0.04
2020-06-07,,3.0,,,6.14,0.04
2020-06-08,,3.0,,,5.14,0.04
2020-06-09,,3.0,,,7.14,0.05
2020-06-10,,3.0,,,7.0,0.05
2020-06-11,,3.0,,,10.86,0.06
2020-06-12,,3.0,,,14.14,0.06
2020-06-13,,3.0,,,14.43,0.06
2020-06-14,,2.86,,,16.5,0.06
2020-06-15,,2.86,,,18.43,0.06
2020-06-16,,2.86,,,16.71,0.06
2020-06-17,,2.86,,,17.29,0.06
2020-06-18,,2.86,,,12.43,0.06
2020-06-19,,2.86,,,12.29,0.06
2020-06-20,,2.86,,,11.43,0.06
2020-06-21,,3.86,,,9.57,0.06
2020-06-22,,3.86,,,8.86,0.06
2020-06-23,,3.86,,,9.57,0.13
2020-06-24,,3.86,,,10.29,0.13
2020-06-25,,3.86,,,11.43,0.13
2020-06-26,,3.86,,,8.57,0.13
2020-06-27,,3.86,,,13.57,0.14
2020-06-28,,3.0,,,12.43,0.14
2020-06-29,,3.0,,,13.29,0.14
2020-06-30,,3.0,,,15.86,0.14
2020-07-01,,3.0,,,16.29,0.14
2020-07-02,,3.0,,,17.86,0.14
2020-07-03,,3.0,,,17.57,0.14
2020-07-04,,3.0,,,12.29,0.14
2020-07-05,,3.29,,,14.71,0.14
2020-07-06,,3.29,,,18.29,0.14
2020-07-07,,3.29,,,15.14,0.14
2020-07-08,,3.29,,,20.43,0.14
2020-07-09,,3.29,,,20.29,0.14
2020-07-10,,3.29,,,24.14,0.14
2020-07-11,,3.29,,,33.29,0.14
2020-07-12,,4.57,,,34.0,0.14
2020-07-13,,4.57,,,32.71,0.14
2020-07-14,,4.57,,,35.14,0.14
2020-07-15,,4.57,,,31.14,0.14
2020-07-16,,4.57,,,30.86,0.11
2020-07-17,,4.57,,,35.14,0.14
2020-07-18,,4.57,,,28.71,0.14
2020-07-19,,4.0,,,27.14,0.14
2020-07-20,,4.0,,,27.0,0.14
2020-07-21,,4.0,,,28.71,0.15
2020-07-22,,4.0,,,27.0,0.2
2020-07-23,,4.0,,,27.14,0.27
2020-07-24,,4.0,,,21.86,0.27
2020-07-25,,4.0,,,21.0,0.27
2020-07-26,,3.86,,,20.14,0.27
2020-07-27,,3.86,,,17.0,0.27
2020-07-28,,3.86,,,15.57,0.27
2020-07-29,,3.86,,,16.29,0.27
2020-07-30,,3.86,,,14.14,0.24
2020-07-31,,3.86,,,14.43,0.24
2020-08-01,,3.86,,,17.43,0.24
2020-08-02,,3.71,,,18.29,0.24
2020-08-03,,3.71,,,20.43,0.24
2020-08-04,,3.71,,,21.14,0.24
2020-08-05,,3.71,,,20.57,0.24
2020-08-06,,3.71,,,23.14,0.25
2020-08-07,,3.71,,,22.57,0.27
2020-08-08,,3.71,,,19.71,0.27
2020-08-09,,3.57,,,18.86,0.27
