date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-15,,12.57,,,0.43,0.0
2020-03-16,,12.57,,,0.43,0.0
2020-03-17,,12.57,,,0.57,0.0
2020-03-18,,12.57,,,0.71,0.0
2020-03-19,,12.57,,,0.86,0.0
2020-03-20,,12.57,,,1.14,0.0
2020-03-21,,12.57,,,1.29,0.0
2020-03-22,,13.0,,,1.14,0.0
2020-03-23,,13.0,,,1.63,0.0
2020-03-24,,13.0,,,2.14,0.03
2020-03-25,,13.0,,,2.14,0.03
2020-03-26,,13.0,,,2.14,0.03
2020-03-27,,13.0,,,2.29,0.03
2020-03-28,,13.0,,,2.71,0.07
2020-03-29,,11.57,,,2.86,0.1
2020-03-30,,11.57,,,2.29,0.1
2020-03-31,,11.57,,,2.57,0.1
2020-04-01,,11.57,,,3.14,0.1
2020-04-02,,11.57,,,4.14,0.13
2020-04-03,,11.57,,,3.86,0.13
2020-04-04,,11.57,,,5.0,0.13
2020-04-05,,14.0,,,4.71,0.17
2020-04-06,,14.0,,,6.29,0.2
2020-04-07,,14.0,,,7.71,0.2
2020-04-08,,14.0,,,8.0,0.23
2020-04-09,,14.0,,,8.0,0.23
2020-04-10,,14.0,,,10.43,0.23
2020-04-11,,14.0,,,9.86,0.23
2020-04-12,,11.14,,,10.0,0.23
2020-04-13,,11.14,,,10.14,0.23
2020-04-14,,11.14,,,8.57,0.26
2020-04-15,,11.14,,,8.57,0.26
2020-04-16,,11.14,,,8.29,0.27
2020-04-17,,11.14,,,8.86,0.29
2020-04-18,,11.14,,,7.57,0.34
2020-04-19,,9.29,,,7.71,0.34
2020-04-20,,9.29,,,7.71,0.34
2020-04-21,,9.29,,,6.14,0.34
2020-04-22,,9.29,,,5.71,0.34
2020-04-23,,9.29,,,5.86,0.34
2020-04-24,,9.29,,,4.43,0.34
2020-04-25,,9.29,,,3.57,0.34
2020-04-26,,9.43,,,2.57,0.34
2020-04-27,,9.43,,,3.0,0.34
2020-04-28,,9.43,,,3.14,0.4
2020-04-29,,9.43,,,3.14,0.4
2020-04-30,,9.43,,,2.71,0.4
2020-05-01,,9.43,,,3.57,0.39
2020-05-02,,9.43,,,3.57,0.39
2020-05-03,,10.29,,,3.29,0.42
