date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-06,,2.14,,,0.14,0.0
2020-03-07,,2.14,,,0.14,0.0
2020-03-08,,2.86,,,0.57,0.0
2020-03-09,,2.86,,,0.71,0.0
2020-03-10,,2.86,,,1.0,0.0
2020-03-11,,2.86,,,1.0,0.0
2020-03-12,,2.86,,,1.14,0.0
2020-03-13,,2.86,,,1.14,0.0
2020-03-14,,2.86,,,1.25,0.0
2020-03-15,,1.86,,,1.43,0.0
2020-03-16,,1.86,,,1.71,0.0
2020-03-17,,1.86,,,2.14,0.0
2020-03-18,,1.86,,,2.25,0.0
2020-03-19,,1.86,,,3.0,0.0
2020-03-20,,1.86,,,3.86,0.0
2020-03-21,,1.86,,,4.43,0.0
2020-03-22,,2.14,,,4.29,0.0
2020-03-23,,2.14,,,5.29,0.03
2020-03-24,,2.14,,,5.14,0.03
2020-03-25,,2.14,,,5.43,0.03
2020-03-26,,2.14,,,5.0,0.03
2020-03-27,,2.14,,,4.86,0.07
2020-03-28,,2.14,,,5.0,0.07
2020-03-29,,2.14,,,5.57,0.07
2020-03-30,,2.14,,,6.43,0.07
2020-03-31,,2.14,,,6.71,0.07
2020-04-01,,2.14,,,7.57,0.07
2020-04-02,,2.14,,,9.29,0.07
2020-04-03,,2.14,,,9.43,0.07
2020-04-04,,2.14,,,9.14,0.07
2020-04-05,,2.0,,,9.29,0.07
2020-04-06,,2.0,,,7.57,0.07
2020-04-07,,2.0,,,7.71,0.07
2020-04-08,,2.0,,,7.0,0.09
2020-04-09,,2.0,,,5.86,0.09
2020-04-10,,2.0,,,5.86,0.09
2020-04-11,,2.0,,,5.29,0.11
2020-04-12,,1.86,,,4.43,0.11
2020-04-13,,1.86,,,4.14,0.13
2020-04-14,,1.86,,,4.0,0.13
2020-04-15,,1.86,,,4.0,0.17
2020-04-16,,1.86,,,2.71,0.19
2020-04-17,,1.86,,,1.86,0.19
2020-04-18,,1.86,,,2.43,0.19
2020-04-19,,1.86,,,2.57,0.19
2020-04-20,,1.86,,,2.86,0.2
2020-04-21,,1.86,,,2.29,0.2
