date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-11,,1.86,,,0.14,0.0
2020-03-12,,1.86,,,0.29,0.0
2020-03-13,,1.86,,,0.29,0.0
2020-03-14,,1.86,,,0.29,0.0
2020-03-15,,2.43,,,0.29,0.0
2020-03-16,,2.43,,,0.29,0.0
2020-03-17,,2.43,,,0.29,0.0
2020-03-18,,2.43,,,0.29,0.0
2020-03-19,,2.43,,,0.14,0.0
2020-03-20,,2.43,,,0.14,0.0
2020-03-21,,2.43,,,0.14,0.0
2020-03-22,,3.86,,,0.3,0.0
2020-03-23,,3.86,,,0.45,0.0
2020-03-24,,3.86,,,0.45,0.0
2020-03-25,,3.86,,,0.45,0.0
2020-03-26,,3.86,,,0.45,0.0
2020-03-27,,3.86,,,0.63,0.0
2020-03-28,,3.86,,,0.67,0.0
2020-03-29,,2.29,,,1.14,0.0
2020-03-30,,2.29,,,1.0,0.0
2020-03-31,,2.29,,,1.0,0.0
2020-04-01,,2.29,,,1.11,0.0
2020-04-02,,2.29,,,1.9,0.0
2020-04-03,,2.29,,,3.29,0.0
2020-04-04,,2.29,,,4.29,0.0
2020-04-05,,1.86,,,4.0,0.0
2020-04-06,,1.86,,,4.14,0.0
2020-04-07,,1.86,,,4.43,0.0
2020-04-08,,1.86,,,4.43,0.0
2020-04-09,,1.86,,,3.57,0.0
2020-04-10,,1.86,,,4.29,0.0
2020-04-11,,1.86,,,3.29,0.0
2020-04-12,,3.86,,,3.43,0.0
2020-04-13,,3.86,,,3.29,0.0
2020-04-14,,3.86,,,3.0,0.03
2020-04-15,,3.86,,,2.86,0.06
2020-04-16,,3.86,,,2.86,0.06
2020-04-17,,3.86,,,1.71,0.06
2020-04-18,,3.86,,,1.71,0.06
2020-04-19,,1.71,,,2.0,0.06
2020-04-20,,1.71,,,2.0,0.07
2020-04-21,,1.71,,,2.0,0.07
2020-04-22,,1.71,,,1.71,0.07
2020-04-23,,1.71,,,1.71,0.07
2020-04-24,,1.71,,,1.43,0.07
2020-04-25,,1.71,,,1.86,0.07
2020-04-26,,1.57,,,1.88,0.07
2020-04-27,,1.57,,,1.43,0.07
2020-04-28,,1.57,,,1.5,0.08
2020-04-29,,1.57,,,1.67,0.08
2020-04-30,,1.57,,,2.43,0.08
2020-05-01,,1.57,,,2.71,0.08
2020-05-02,,1.57,,,2.14,0.08
2020-05-03,,3.0,,,2.0,0.08
2020-05-04,,3.0,,,2.0,0.08
2020-05-05,,3.0,,,2.0,0.08
2020-05-06,,3.0,,,2.29,0.08
2020-05-07,,3.0,,,2.29,0.08
2020-05-08,,3.0,,,2.14,0.08
2020-05-09,,3.0,,,1.86,0.08
2020-05-10,,3.71,,,2.29,0.08
2020-05-11,,3.71,,,2.29,0.08
2020-05-12,,3.71,,,2.71,0.08
2020-05-13,,3.71,,,2.71,0.08
2020-05-14,,3.71,,,2.71,0.08
2020-05-15,,3.71,,,2.57,0.08
2020-05-16,,3.71,,,2.57,0.08
2020-05-17,,3.71,,,2.57,0.08
2020-05-18,,3.71,,,2.57,0.08
2020-05-19,,3.71,,,2.57,0.08
2020-05-20,,3.71,,,2.57,0.08
2020-05-21,,3.71,,,2.43,0.08
2020-05-22,,3.71,,,2.86,0.08
2020-05-23,,3.71,,,2.43,0.08
2020-05-24,,1.57,,,2.43,0.08
2020-05-25,,1.57,,,2.43,0.08
2020-05-26,,1.57,,,1.75,0.08
2020-05-27,,1.57,,,1.78,0.08
2020-05-28,,1.57,,,1.43,0.08
2020-05-29,,1.57,,,1.29,0.08
2020-05-30,,1.57,,,1.29,0.08
2020-05-31,,2.0,,,1.75,0.08
2020-06-01,,2.0,,,2.11,0.08
2020-06-02,,2.0,,,6.29,0.08
2020-06-03,,2.0,,,8.0,0.06
2020-06-04,,2.0,,,8.0,0.06
2020-06-05,,2.0,,,8.57,0.06
2020-06-06,,2.0,,,9.86,0.06
2020-06-07,,3.0,,,9.43,0.06
2020-06-08,,3.0,,,9.0,0.06
2020-06-09,,3.0,,,6.86,0.06
2020-06-10,,3.0,,,5.71,0.06
2020-06-11,,3.0,,,7.14,0.06
2020-06-12,,3.0,,,7.14,0.06
2020-06-13,,3.0,,,7.43,0.06
2020-06-14,,2.43,,,7.0,0.06
2020-06-15,,2.43,,,7.0,0.06
2020-06-16,,2.43,,,8.29,0.06
2020-06-17,,2.43,,,8.29,0.05
2020-06-18,,2.43,,,8.43,0.11
2020-06-19,,2.43,,,10.0,0.13
2020-06-20,,2.43,,,10.86,0.13
2020-06-21,,2.43,,,11.14,0.13
2020-06-22,,2.43,,,12.71,0.14
2020-06-23,,2.43,,,12.43,0.14
2020-06-24,,2.43,,,11.71,0.14
2020-06-25,,2.43,,,15.14,0.16
2020-06-26,,2.43,,,13.43,0.16
2020-06-27,,2.43,,,13.86,0.17
2020-06-28,,1.57,,,13.86,0.17
2020-06-29,,1.57,,,15.71,0.17
2020-06-30,,1.57,,,18.43,0.17
2020-07-01,,1.57,,,20.14,0.18
2020-07-02,,1.57,,,17.57,0.18
2020-07-03,,1.57,,,17.86,0.18
2020-07-04,,1.57,,,19.29,0.18
2020-07-05,,2.71,,,19.14,0.29
2020-07-06,,2.71,,,17.71,0.29
2020-07-07,,2.71,,,14.14,0.29
2020-07-08,,2.71,,,12.29,0.29
2020-07-09,,2.71,,,12.57,0.29
2020-07-10,,2.71,,,13.29,0.29
2020-07-11,,2.71,,,12.43,0.27
2020-07-12,,1.57,,,14.57,0.27
2020-07-13,,1.57,,,12.57,0.27
2020-07-14,,1.57,,,14.0,0.28
2020-07-15,,1.57,,,15.0,0.29
2020-07-16,,1.57,,,16.14,0.31
2020-07-17,,1.57,,,16.57,0.31
2020-07-18,,1.57,,,14.86,0.31
2020-07-19,,2.43,,,15.0,0.31
2020-07-20,,2.43,,,16.57,0.31
2020-07-21,,2.43,,,17.86,0.31
2020-07-22,,2.43,,,19.86,0.31
2020-07-23,,2.43,,,19.29,0.31
2020-07-24,,2.43,,,20.0,0.32
2020-07-25,,2.43,,,22.0,0.32
2020-07-26,,2.71,,,22.29,0.32
2020-07-27,,2.71,,,21.43,0.32
2020-07-28,,2.71,,,24.57,0.29
2020-07-29,,2.71,,,23.0,0.29
2020-07-30,,2.71,,,23.0,0.29
2020-07-31,,2.71,,,21.43,0.29
2020-08-01,,2.71,,,21.0,0.29
2020-08-02,,2.29,,,20.71,0.29
2020-08-03,,2.29,,,22.86,0.29
2020-08-04,,2.29,,,18.86,0.27
2020-08-05,,2.29,,,17.86,0.29
2020-08-06,,2.29,,,19.29,0.29
2020-08-07,,2.29,,,20.43,0.29
2020-08-08,,2.29,,,20.29,0.29
2020-08-09,,2.86,,,20.86,0.31
2020-08-10,,2.86,,,20.29,0.37
2020-08-11,,2.86,,,20.86,0.37
2020-08-12,,2.86,,,22.29,0.37
2020-08-13,,2.86,,,22.71,0.37
2020-08-14,,2.86,,,23.0,0.37
2020-08-15,,2.86,,,24.57,0.37
2020-08-16,,2.86,,,23.71,0.37
2020-08-17,,2.86,,,23.57,0.37
2020-08-18,,2.86,,,22.57,0.37
2020-08-19,,2.86,,,21.86,0.37
2020-08-20,,2.86,,,21.86,0.37
2020-08-21,,2.86,,,22.14,0.3
2020-08-22,,2.86,,,23.43,0.35
2020-08-23,,1.43,,,23.14,0.37
2020-08-24,,1.43,,,23.14,0.37
2020-08-25,,1.43,,,22.57,0.37
2020-08-26,,1.43,,,21.43,0.45
2020-08-27,,1.43,,,18.86,0.45
2020-08-28,,1.43,,,18.43,0.45
2020-08-29,,1.43,,,15.86,0.56
2020-08-30,,3.43,,,14.57,0.56
2020-08-31,,3.43,,,14.86,0.56
2020-09-01,,3.43,,,16.14,0.54
2020-09-02,,3.43,,,16.71,0.54
2020-09-03,,3.43,,,16.71,0.63
2020-09-04,,3.43,,,17.43,0.67
2020-09-05,,3.43,,,17.0,0.67
2020-09-06,,2.71,,,18.29,0.67
2020-09-07,,2.71,,,18.57,0.67
2020-09-08,,2.71,,,17.14,0.67
2020-09-09,,2.71,,,16.71,0.67
2020-09-10,,2.71,,,16.71,0.67
2020-09-11,,2.71,,,20.0,0.67
2020-09-12,,2.71,,,21.29,0.67
2020-09-13,,3.29,,,22.71,0.6
2020-09-14,,3.29,,,24.29,0.6
2020-09-15,,3.29,,,25.0,0.59
2020-09-16,,3.29,,,25.43,0.59
2020-09-17,,3.29,,,28.57,0.59
2020-09-18,,3.29,,,25.29,0.59
2020-09-19,,3.29,,,22.71,0.59
2020-09-20,,2.14,,,19.29,0.54
2020-09-21,,2.14,,,17.71,0.67
2020-09-22,,2.14,,,17.71,0.67
2020-09-23,,2.14,,,16.0,0.6
2020-09-24,,2.14,,,18.0,0.61
2020-09-25,,2.14,,,17.29,0.69
2020-09-26,,2.14,,,18.29,0.69
2020-09-27,,3.29,,,17.14,0.69
2020-09-28,,3.29,,,16.57,0.69
2020-09-29,,3.29,,,15.14,0.69
2020-09-30,,3.29,,,13.71,0.69
2020-10-01,,3.29,,,10.57,0.47
2020-10-02,,3.29,,,9.0,0.47
2020-10-03,,3.29,,,11.0,0.47
2020-10-04,,1.86,,,10.71,0.47
2020-10-05,,1.86,,,11.71,0.47
2020-10-06,,1.86,,,11.43,0.47
2020-10-07,,1.86,,,12.29,0.41
2020-10-08,,1.86,,,14.71,0.42
2020-10-09,,1.86,,,15.29,0.42
2020-10-10,,1.86,,,12.0,0.42
2020-10-11,,1.86,,,12.57,0.42
2020-10-12,,1.86,,,13.14,0.42
2020-10-13,,1.86,,,13.86,0.42
2020-10-14,,1.86,,,14.14,0.42
2020-10-15,,1.86,,,14.57,0.42
2020-10-16,,1.86,,,14.57,0.42
2020-10-17,,1.86,,,15.14,0.42
2020-10-18,,1.43,,,15.14,0.42
2020-10-19,,1.43,,,13.71,0.35
2020-10-20,,1.43,,,13.57,0.35
2020-10-21,,1.43,,,13.43,0.35
2020-10-22,,1.43,,,11.71,0.45
2020-10-23,,1.43,,,11.43,0.45
2020-10-24,,1.43,,,12.0,0.45
2020-10-25,,2.57,,,12.57,0.45
2020-10-26,,2.57,,,14.14,0.45
2020-10-27,,2.57,,,15.57,0.31
2020-10-28,,2.57,,,17.0,0.31
2020-10-29,,2.57,,,18.14,0.31
2020-10-30,,2.57,,,17.71,0.31
2020-10-31,,2.57,,,16.57,0.31
2020-11-01,,3.43,,,19.14,0.31
2020-11-02,,3.43,,,20.29,0.31
2020-11-03,,3.43,,,19.14,0.31
2020-11-04,,3.43,,,19.57,0.31
2020-11-05,,3.43,,,18.14,0.31
2020-11-06,,3.43,,,19.14,0.31
2020-11-07,,3.43,,,22.86,0.31
2020-11-08,,2.14,,,21.14,0.23
2020-11-09,,2.14,,,20.71,0.23
2020-11-10,,2.14,,,24.43,0.23
2020-11-11,,2.14,,,24.71,0.23
2020-11-12,,2.14,,,26.43,0.23
2020-11-13,,2.14,,,29.71,0.23
2020-11-14,,2.14,,,32.43,0.23
2020-11-15,,2.0,,,32.86,0.23
2020-11-16,,2.0,,,33.0,0.24
2020-11-17,,2.0,,,33.0,0.24
2020-11-18,,2.0,,,36.14,0.24
2020-11-19,,2.0,,,38.0,0.24
2020-11-20,,2.0,,,41.43,0.24
2020-11-21,,2.0,,,38.29,0.24
2020-11-22,,2.86,,,37.71,0.24
2020-11-23,,2.86,,,39.29,0.24
2020-11-24,,2.86,,,37.14,0.24
2020-11-25,,2.86,,,34.71,0.24
2020-11-26,,2.86,,,34.71,0.24
2020-11-27,,2.86,,,29.29,0.24
2020-11-28,,2.86,,,28.14,0.24
2020-11-29,,1.71,,,28.29,0.24
2020-11-30,,1.71,,,29.14,0.12
2020-12-01,,1.71,,,29.14,0.12
2020-12-02,,1.71,,,28.29,0.12
2020-12-03,,1.71,,,27.25,0.12
2020-12-04,,1.71,,,27.14,0.16
2020-12-05,,1.71,,,28.86,0.16
2020-12-06,,2.29,,,31.86,0.23
2020-12-07,,2.29,,,32.71,0.23
2020-12-08,,2.29,,,38.0,0.23
2020-12-09,,2.29,,,41.43,0.23
2020-12-10,,2.29,,,43.14,0.23
