date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-28,,2.86,,,0.29,0.0
2020-03-29,,1.86,,,0.43,0.0
2020-03-30,,1.86,,,0.43,0.0
2020-03-31,,1.86,,,0.43,0.0
2020-04-01,,1.86,,,0.57,0.0
2020-04-02,,1.86,,,0.57,0.0
2020-04-03,,1.86,,,0.86,0.0
2020-04-04,,1.86,,,0.86,0.0
2020-04-05,,2.86,,,0.86,0.0
2020-04-06,,2.86,,,0.86,0.0
2020-04-07,,2.86,,,0.86,0.0
2020-04-08,,2.86,,,0.57,0.03
2020-04-09,,2.86,,,0.63,0.03
2020-04-10,,2.86,,,0.71,0.03
2020-04-11,,2.86,,,0.88,0.03
2020-04-12,,1.57,,,0.89,0.03
2020-04-13,,1.57,,,0.89,0.03
2020-04-14,,1.57,,,0.89,0.03
2020-04-15,,1.57,,,0.89,0.03
2020-04-16,,1.57,,,1.29,0.03
2020-04-17,,1.57,,,1.14,0.03
2020-04-18,,1.57,,,1.14,0.03
2020-04-19,,1.57,,,0.86,0.03
2020-04-20,,1.57,,,0.86,0.03
2020-04-21,,1.57,,,0.78,0.03
2020-04-22,,1.57,,,0.78,0.03
2020-04-23,,1.57,,,0.78,0.03
2020-04-24,,1.57,,,0.78,0.03
2020-04-25,,1.57,,,0.38,0.03
2020-04-26,,1.43,,,1.29,0.03
2020-04-27,,1.43,,,1.88,0.03
2020-04-28,,1.43,,,2.43,0.03
2020-04-29,,1.43,,,2.43,0.03
2020-04-30,,1.43,,,2.0,0.03
2020-05-01,,1.43,,,1.9,0.03
2020-05-02,,1.43,,,1.9,0.06
2020-05-03,,2.0,,,1.9,0.06
2020-05-04,,2.0,,,0.86,0.06
2020-05-05,,2.0,,,0.57,0.06
2020-05-06,,2.0,,,0.57,0.06
2020-05-07,,2.0,,,0.71,0.06
2020-05-08,,2.0,,,0.86,0.06
2020-05-09,,2.0,,,0.86,0.06
2020-05-10,,2.0,,,0.78,0.06
2020-05-11,,2.0,,,1.0,0.06
2020-05-12,,2.0,,,1.0,0.06
2020-05-13,,2.0,,,1.0,0.06
2020-05-14,,2.0,,,1.13,0.06
2020-05-15,,2.0,,,2.0,0.06
2020-05-16,,2.0,,,2.0,0.06
2020-05-17,,2.71,,,2.0,0.06
2020-05-18,,2.71,,,2.0,0.06
2020-05-19,,2.71,,,2.0,0.06
2020-05-20,,2.71,,,2.0,0.06
2020-05-21,,2.71,,,2.0,0.06
2020-05-22,,2.71,,,2.0,0.06
2020-05-23,,2.71,,,2.0,0.06
2020-05-24,,1.43,,,0.11,0.06
2020-05-25,,1.43,,,0.11,0.06
2020-05-26,,1.43,,,0.18,0.06
2020-05-27,,1.43,,,0.25,0.06
2020-05-28,,1.43,,,0.46,0.06
2020-05-29,,1.43,,,0.57,0.06
2020-05-30,,1.43,,,0.67,0.06
2020-05-31,,3.71,,,0.67,0.06
2020-06-01,,3.71,,,1.25,0.06
2020-06-02,,3.71,,,1.43,0.06
2020-06-03,,3.71,,,1.86,0.06
2020-06-04,,3.71,,,1.86,0.06
2020-06-05,,3.71,,,1.71,0.06
2020-06-06,,3.71,,,2.43,0.06
2020-06-07,,3.71,,,2.63,0.06
2020-06-08,,3.71,,,3.43,0.06
2020-06-09,,3.71,,,4.0,0.06
2020-06-10,,3.71,,,4.0,0.06
2020-06-11,,3.71,,,4.71,0.06
2020-06-12,,3.71,,,6.14,0.06
2020-06-13,,3.71,,,6.43,0.06
2020-06-14,,2.29,,,7.43,0.06
2020-06-15,,2.29,,,10.14,0.06
2020-06-16,,2.29,,,10.57,0.06
2020-06-17,,2.29,,,11.14,0.06
2020-06-18,,2.29,,,11.57,0.06
2020-06-19,,2.29,,,11.86,0.06
2020-06-20,,2.29,,,13.0,0.06
2020-06-21,,2.29,,,14.0,0.06
2020-06-22,,2.29,,,13.14,0.06
2020-06-23,,2.29,,,14.14,0.06
2020-06-24,,2.29,,,14.14,0.06
2020-06-25,,2.29,,,17.71,0.06
2020-06-26,,2.29,,,19.71,0.06
2020-06-27,,2.29,,,21.71,0.06
2020-06-28,,3.14,,,24.14,0.03
2020-06-29,,3.14,,,23.86,0.03
2020-06-30,,3.14,,,28.71,0.03
2020-07-01,,3.14,,,30.14,0.09
2020-07-02,,3.14,,,29.57,0.09
2020-07-03,,3.14,,,29.29,0.11
2020-07-04,,3.14,,,27.57,0.14
2020-07-05,,3.86,,,26.14,0.14
2020-07-06,,3.86,,,26.57,0.14
2020-07-07,,3.86,,,22.14,0.14
2020-07-08,,3.86,,,22.14,0.2
2020-07-09,,3.86,,,20.86,0.22
2020-07-10,,3.86,,,20.86,0.24
2020-07-11,,3.86,,,24.0,0.24
2020-07-12,,3.86,,,23.71,0.24
2020-07-13,,3.86,,,22.43,0.24
2020-07-14,,3.86,,,23.29,0.24
2020-07-15,,3.86,,,25.14,0.24
2020-07-16,,3.86,,,24.14,0.24
2020-07-17,,3.86,,,27.43,0.24
2020-07-18,,3.86,,,24.43,0.22
2020-07-19,,3.29,,,23.43,0.22
2020-07-20,,3.29,,,24.86,0.22
2020-07-21,,3.29,,,24.57,0.25
2020-07-22,,3.29,,,26.14,0.35
2020-07-23,,3.29,,,28.29,0.36
2020-07-24,,3.29,,,27.57,0.39
2020-07-25,,3.29,,,27.14,0.42
2020-07-26,,2.14,,,27.14,0.45
2020-07-27,,2.14,,,26.29,0.45
2020-07-28,,2.14,,,24.86,0.45
2020-07-29,,2.14,,,21.71,0.84
2020-07-30,,2.14,,,20.29,0.88
2020-07-31,,2.14,,,16.0,0.9
2020-08-01,,2.14,,,16.0,0.9
2020-08-02,,2.43,,,16.0,0.9
2020-08-03,,2.43,,,16.14,0.9
2020-08-04,,2.43,,,15.57,0.9
2020-08-05,,2.43,,,14.29,1.0
2020-08-06,,2.43,,,14.14,1.0
2020-08-07,,2.43,,,14.71,1.03
2020-08-08,,2.43,,,15.0,1.03
2020-08-09,,2.0,,,15.43,1.07
2020-08-10,,2.0,,,14.86,1.07
2020-08-11,,2.0,,,15.0,1.07
2020-08-12,,2.0,,,14.0,1.07
2020-08-13,,2.0,,,11.29,0.97
2020-08-14,,2.0,,,11.0,0.97
2020-08-15,,2.0,,,8.86,0.97
2020-08-16,,1.86,,,6.71,0.97
2020-08-17,,1.86,,,5.57,0.97
2020-08-18,,1.86,,,5.29,1.16
2020-08-19,,1.86,,,5.86,1.16
2020-08-20,,1.86,,,5.86,1.16
2020-08-21,,1.86,,,5.29,0.97
2020-08-22,,1.86,,,5.71,0.97
2020-08-23,,2.71,,,6.14,0.97
2020-08-24,,2.71,,,6.43,0.87
2020-08-25,,2.71,,,9.0,0.87
2020-08-26,,2.71,,,8.14,0.87
2020-08-27,,2.71,,,7.75,0.87
2020-08-28,,2.71,,,9.29,0.87
2020-08-29,,2.71,,,9.0,0.87
2020-08-30,,2.57,,,9.0,0.87
2020-08-31,,2.57,,,9.71,0.87
2020-09-01,,2.57,,,7.14,0.87
2020-09-02,,2.57,,,7.86,0.87
2020-09-03,,2.57,,,8.29,0.87
2020-09-04,,2.57,,,6.71,0.87
2020-09-05,,2.57,,,7.86,0.87
2020-09-06,,2.29,,,7.43,0.87
2020-09-07,,2.29,,,7.57,0.87
2020-09-08,,2.29,,,7.57,0.87
2020-09-09,,2.29,,,6.71,0.87
2020-09-10,,2.29,,,6.71,0.87
2020-09-11,,2.29,,,7.0,0.87
2020-09-12,,2.29,,,7.29,0.87
2020-09-13,,2.29,,,7.57,0.87
2020-09-14,,2.29,,,5.86,0.87
2020-09-15,,2.29,,,6.14,0.87
2020-09-16,,2.29,,,5.14,0.87
2020-09-17,,2.29,,,7.0,0.87
2020-09-18,,2.29,,,8.14,0.87
2020-09-19,,2.29,,,7.14,0.87
2020-09-20,,1.71,,,7.0,0.87
2020-09-21,,1.71,,,7.29,0.87
2020-09-22,,1.71,,,7.29,0.1
2020-09-23,,1.71,,,7.86,0.1
2020-09-24,,1.71,,,8.57,0.1
2020-09-25,,1.71,,,7.71,0.1
2020-09-26,,1.71,,,6.43,0.1
2020-09-27,,1.43,,,9.71,0.1
2020-09-28,,1.43,,,9.43,0.1
2020-09-29,,1.43,,,9.86,0.1
2020-09-30,,1.43,,,8.86,0.1
2020-10-01,,1.43,,,8.14,0.1
2020-10-02,,1.43,,,8.86,0.1
2020-10-03,,1.43,,,10.71,0.08
2020-10-04,,2.29,,,7.71,0.08
2020-10-05,,2.29,,,7.57,0.08
2020-10-06,,2.29,,,8.71,0.08
2020-10-07,,2.29,,,8.57,0.08
2020-10-08,,2.29,,,8.86,0.09
2020-10-09,,2.29,,,7.86,0.09
2020-10-10,,2.29,,,6.0,0.09
2020-10-11,,1.71,,,6.29,0.09
2020-10-12,,1.71,,,8.14,0.09
2020-10-13,,1.71,,,6.86,0.09
2020-10-14,,1.71,,,7.0,0.09
2020-10-15,,1.71,,,9.0,0.09
2020-10-16,,1.71,,,9.86,0.09
2020-10-17,,1.71,,,10.43,0.09
2020-10-18,,2.29,,,10.43,0.09
2020-10-19,,2.29,,,10.43,0.09
2020-10-20,,2.29,,,8.57,0.09
2020-10-21,,2.29,,,8.57,0.09
2020-10-22,,2.29,,,9.57,0.13
2020-10-23,,2.29,,,7.71,0.13
2020-10-24,,2.29,,,8.14,0.13
2020-10-25,,2.14,,,8.0,0.15
2020-10-26,,2.14,,,8.29,0.15
2020-10-27,,2.14,,,9.38,0.15
2020-10-28,,2.14,,,10.43,0.15
2020-10-29,,2.14,,,11.86,0.15
2020-10-30,,2.14,,,13.14,0.16
2020-10-31,,2.14,,,12.14,0.16
2020-11-01,,1.86,,,12.43,0.16
2020-11-02,,1.86,,,11.71,0.16
2020-11-03,,1.86,,,10.0,0.16
2020-11-04,,1.86,,,11.0,0.16
2020-11-05,,1.86,,,10.86,0.16
2020-11-06,,1.86,,,10.86,0.18
2020-11-07,,1.86,,,14.43,0.18
2020-11-08,,2.43,,,14.29,0.18
2020-11-09,,2.43,,,15.43,0.18
2020-11-10,,2.43,,,16.71,0.18
2020-11-11,,2.43,,,17.43,0.18
2020-11-12,,2.43,,,18.14,0.23
2020-11-13,,2.43,,,19.29,0.25
2020-11-14,,2.43,,,18.71,0.25
2020-11-15,,2.29,,,19.71,0.25
2020-11-16,,2.29,,,20.29,0.25
2020-11-17,,2.29,,,19.14,0.25
2020-11-18,,2.29,,,19.71,0.25
2020-11-19,,2.29,,,21.57,0.25
2020-11-20,,2.29,,,22.86,0.25
2020-11-21,,2.29,,,23.14,0.25
2020-11-22,,1.86,,,21.14,0.25
2020-11-23,,1.86,,,20.71,0.25
2020-11-24,,1.86,,,24.71,0.25
2020-11-25,,1.86,,,24.14,0.25
2020-11-26,,1.86,,,24.14,0.25
2020-11-27,,1.86,,,18.71,0.25
2020-11-28,,1.86,,,18.29,0.25
2020-11-29,,2.57,,,18.57,0.25
2020-11-30,,2.57,,,18.57,0.25
2020-12-01,,2.57,,,15.14,0.25
2020-12-02,,2.57,,,14.86,0.25
2020-12-03,,2.57,,,19.0,0.25
2020-12-04,,2.57,,,22.43,0.17
2020-12-05,,2.57,,,22.57,0.17
2020-12-06,,2.86,,,26.71,0.2
2020-12-07,,2.86,,,29.86,0.2
2020-12-08,,2.86,,,30.57,0.2
2020-12-09,,2.86,,,31.86,0.24
2020-12-10,,2.86,,,26.29,0.26
2020-12-11,,2.86,,,29.86,0.26
2020-12-12,,2.86,,,31.14,0.26
2020-12-13,,2.43,,,30.43,0.23
2020-12-14,,2.43,,,30.43,0.23
2020-12-15,,2.43,,,31.29,0.23
2020-12-16,,2.43,,,30.57,0.23
2020-12-17,,2.43,,,35.86,0.23
2020-12-18,,2.43,,,35.0,0.23
2020-12-19,,2.43,,,33.43,0.23
2020-12-20,,2.86,,,35.0,0.19
2020-12-21,,2.86,,,32.86,0.19
2020-12-22,,2.86,,,32.71,0.21
2020-12-23,,2.86,,,37.0,0.28
2020-12-24,,2.86,,,36.14,0.28
2020-12-25,,2.86,,,36.14,0.28
2020-12-26,,2.86,,,34.86,0.29
2020-12-27,,2.43,,,47.86,0.29
2020-12-28,,2.43,,,48.29,0.29
2020-12-29,,2.43,,,50.71,0.33
2020-12-30,,2.43,,,48.57,0.33
2020-12-31,,2.43,,,49.43,0.33
2021-01-01,,2.43,,,49.43,0.33
2021-01-02,,2.43,,,45.86,0.35
2021-01-03,,3.43,,,41.0,0.38
2021-01-04,,3.43,,,46.0,0.38
2021-01-05,,3.43,,,47.71,0.38
2021-01-06,,3.43,,,51.0,0.63
2021-01-07,,3.43,,,49.14,0.77
2021-01-08,,3.43,,,53.0,0.77
2021-01-09,,3.43,,,70.0,0.83
2021-01-10,,3.86,,,65.14,0.83
2021-01-11,,3.86,,,63.29,0.83
2021-01-12,,3.86,,,61.0,0.83
2021-01-13,,3.86,,,67.86,0.83
2021-01-14,,3.86,,,71.57,0.83
2021-01-15,,3.86,,,70.29,0.76
2021-01-16,,3.86,,,72.29,0.85
2021-01-17,,4.14,,,71.57,0.97
2021-01-18,,4.14,,,71.0,0.97
2021-01-19,,4.14,,,75.57,0.97
2021-01-20,,4.14,,,66.71,1.1
2021-01-21,,4.14,,,74.29,1.13
2021-01-22,,4.14,,,71.29,1.13
2021-01-23,,4.14,,,61.43,1.06
2021-01-24,,3.43,,,61.0,1.06
2021-01-25,,3.43,,,62.43,1.06
2021-01-26,,3.43,,,56.71,1.06
2021-01-27,,3.43,,,56.14,1.09
2021-01-28,,3.43,,,45.14,1.33
2021-01-29,,3.43,,,46.43,1.32
2021-01-30,,3.43,,,49.86,1.32
2021-01-31,,3.14,,,49.57,1.27
2021-02-01,,3.14,,,47.43,1.7
2021-02-02,,3.14,,,47.29,1.7
2021-02-03,,3.14,,,46.57,1.65
2021-02-04,,3.14,,,47.43,1.69
2021-02-05,,3.14,,,47.43,1.69
2021-02-06,,3.14,,,38.86,1.6
2021-02-07,,2.43,,,39.14,1.61
2021-02-08,,2.43,,,37.0,1.61
2021-02-09,,2.43,,,38.71,1.61
2021-02-10,,2.43,,,40.29,1.65
2021-02-11,,2.43,,,42.86,1.63
2021-02-12,,2.43,,,38.71,1.63
2021-02-13,,2.43,,,39.57,1.63
2021-02-14,,1.71,,,37.43,1.73
