date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-18,,0.0,,,0.14,0.0
2020-03-19,,0.0,,,0.14,0.0
2020-03-20,,0.0,,,0.14,0.0
2020-03-21,,0.0,,,0.14,0.0
2020-03-22,,0.0,,,0.14,0.0
2020-03-23,,0.0,,,0.29,0.0
2020-03-24,,0.0,,,0.29,0.0
2020-03-25,,0.0,,,0.29,0.0
2020-03-26,,0.0,,,0.29,0.0
2020-03-27,,0.0,,,0.29,0.0
2020-03-28,,0.0,,,0.4,0.0
2020-03-29,,0.0,,,0.4,0.0
2020-03-30,,0.0,,,0.4,0.0
2020-03-31,,0.0,,,0.4,0.0
2020-04-01,,0.0,,,0.4,0.03
2020-04-02,,0.0,,,0.6,0.03
2020-04-03,,0.0,,,1.0,0.03
2020-04-04,,0.0,,,1.57,0.03
2020-04-05,,1.43,,,1.5,0.07
2020-04-06,,1.43,,,1.44,0.07
2020-04-07,,1.43,,,1.4,0.07
2020-04-08,,1.43,,,1.55,0.07
2020-04-09,,1.43,,,2.29,0.1
2020-04-10,,1.43,,,2.0,0.1
2020-04-11,,1.43,,,2.0,0.1
2020-04-12,,1.43,,,1.71,0.1
2020-04-13,,1.43,,,1.86,0.1
2020-04-14,,1.43,,,2.0,0.1
2020-04-15,,1.43,,,1.71,0.1
2020-04-16,,1.43,,,1.57,0.13
2020-04-17,,1.43,,,1.86,0.16
2020-04-18,,1.43,,,1.86,0.16
2020-04-19,,1.43,,,1.86,0.16
2020-04-20,,1.43,,,1.86,0.16
2020-04-21,,1.43,,,1.86,0.16
2020-04-22,,1.43,,,1.43,0.16
2020-04-23,,1.43,,,1.71,0.16
2020-04-24,,1.43,,,2.0,0.16
2020-04-25,,1.43,,,1.71,0.15
2020-04-26,,1.43,,,1.71,0.15
2020-04-27,,1.43,,,2.0,0.15
2020-04-28,,1.43,,,2.13,0.17
2020-04-29,,1.43,,,2.13,0.17
2020-04-30,,1.43,,,2.57,0.17
2020-05-01,,1.43,,,2.43,0.17
2020-05-02,,1.43,,,2.43,0.23
2020-05-03,,1.43,,,2.43,0.23
2020-05-04,,1.43,,,2.43,0.23
2020-05-05,,1.43,,,1.57,0.23
2020-05-06,,1.43,,,1.5,0.23
2020-05-07,,1.43,,,2.43,0.23
2020-05-08,,1.43,,,3.86,0.23
2020-05-09,,1.43,,,4.43,0.23
2020-05-10,,1.43,,,4.75,0.23
2020-05-11,,1.43,,,5.22,0.23
2020-05-12,,1.43,,,6.86,0.23
2020-05-13,,1.43,,,7.43,0.21
2020-05-14,,1.43,,,6.14,0.21
2020-05-15,,1.43,,,5.0,0.21
2020-05-16,,1.43,,,8.43,0.23
2020-05-17,,1.43,,,8.29,0.23
2020-05-18,,1.43,,,7.86,0.23
2020-05-19,,1.43,,,8.14,0.23
2020-05-20,,1.43,,,7.57,0.23
2020-05-21,,1.43,,,7.86,0.24
2020-05-22,,1.43,,,7.71,0.24
2020-05-23,,1.43,,,4.14,0.24
2020-05-24,,1.43,,,3.86,0.24
2020-05-25,,1.43,,,4.0,0.24
2020-05-26,,1.43,,,4.71,0.24
2020-05-27,,1.43,,,4.71,0.28
2020-05-28,,1.43,,,4.43,0.28
2020-05-29,,1.43,,,4.43,0.29
2020-05-30,,1.43,,,4.29,0.29
2020-05-31,,1.43,,,3.86,0.29
2020-06-01,,1.43,,,3.86,0.29
2020-06-02,,1.43,,,2.0,0.29
2020-06-03,,1.43,,,2.0,0.28
2020-06-04,,1.43,,,2.29,0.28
2020-06-05,,1.43,,,2.14,0.28
2020-06-06,,1.43,,,2.14,0.28
2020-06-07,,0.0,,,1.57,0.28
2020-06-08,,0.0,,,1.57,0.28
2020-06-09,,0.0,,,1.43,0.29
2020-06-10,,0.0,,,1.57,0.29
2020-06-11,,0.0,,,1.57,0.29
2020-06-12,,0.0,,,1.29,0.29
2020-06-13,,0.0,,,1.29,0.29
2020-06-14,,0.0,,,1.25,0.29
2020-06-15,,0.0,,,1.25,0.29
2020-06-16,,0.0,,,1.25,0.29
2020-06-17,,0.0,,,1.25,0.29
2020-06-18,,0.0,,,1.86,0.29
2020-06-19,,0.0,,,1.86,0.29
2020-06-20,,0.0,,,2.25,0.23
2020-06-21,,0.0,,,2.57,0.23
2020-06-22,,0.0,,,2.5,0.23
2020-06-23,,0.0,,,3.86,0.24
2020-06-24,,0.0,,,3.86,0.24
2020-06-25,,0.0,,,3.86,0.26
2020-06-26,,0.0,,,4.0,0.26
2020-06-27,,0.0,,,4.43,0.26
2020-06-28,,0.0,,,4.71,0.26
2020-06-29,,0.0,,,4.57,0.26
2020-06-30,,0.0,,,4.86,0.26
2020-07-01,,0.0,,,4.14,0.26
2020-07-02,,0.0,,,3.88,0.26
2020-07-03,,0.0,,,4.14,0.26
2020-07-04,,0.0,,,4.43,0.26
2020-07-05,,0.0,,,3.57,0.26
2020-07-06,,0.0,,,3.57,0.26
2020-07-07,,0.0,,,5.86,0.26
2020-07-08,,0.0,,,5.43,0.26
2020-07-09,,0.0,,,5.43,0.26
