date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-14,,9.43,,,0.14,0.0
2020-03-15,,10.29,,,0.14,0.0
2020-03-16,,10.29,,,0.29,0.03
2020-03-17,,10.29,,,0.43,0.03
2020-03-18,,10.29,,,0.57,0.03
2020-03-19,,10.29,,,0.71,0.03
2020-03-20,,10.29,,,1.14,0.03
2020-03-21,,10.29,,,1.57,0.03
2020-03-22,,7.0,,,1.57,0.03
2020-03-23,,7.0,,,2.14,0.03
2020-03-24,,7.0,,,2.29,0.03
2020-03-25,,7.0,,,2.29,0.03
2020-03-26,,7.0,,,2.43,0.03
2020-03-27,,7.0,,,3.0,0.03
2020-03-28,,7.0,,,3.29,0.03
2020-03-29,,6.86,,,3.43,0.03
2020-03-30,,6.86,,,3.75,0.03
2020-03-31,,6.86,,,5.43,0.03
2020-04-01,,6.86,,,6.14,0.03
2020-04-02,,6.86,,,7.14,0.03
2020-04-03,,6.86,,,7.57,0.03
2020-04-04,,6.86,,,9.29,0.1
2020-04-05,,10.43,,,11.71,0.1
2020-04-06,,10.43,,,11.86,0.1
2020-04-07,,10.43,,,10.86,0.17
2020-04-08,,10.43,,,10.86,0.17
2020-04-09,,10.43,,,14.57,0.2
2020-04-10,,10.43,,,16.57,0.2
2020-04-11,,10.43,,,18.0,0.2
2020-04-12,,7.43,,,17.0,0.2
2020-04-13,,7.43,,,17.0,0.2
2020-04-14,,7.43,,,14.14,0.25
2020-04-15,,7.43,,,14.57,0.25
2020-04-16,,7.43,,,20.71,0.25
2020-04-17,,7.43,,,20.71,0.25
2020-04-18,,7.43,,,18.43,0.25
2020-04-19,,7.14,,,15.43,0.25
2020-04-20,,7.14,,,13.0,0.25
2020-04-21,,7.14,,,12.86,0.25
2020-04-22,,7.14,,,13.0,0.25
2020-04-23,,7.14,,,12.71,0.26
2020-04-24,,7.14,,,6.86,0.28
2020-04-25,,7.14,,,6.57,0.28
2020-04-26,,7.71,,,8.0,0.28
2020-04-27,,7.71,,,8.57,0.28
2020-04-28,,7.71,,,9.14,0.28
2020-04-29,,7.71,,,10.29,0.3
2020-04-30,,7.71,,,9.57,0.31
2020-05-01,,7.71,,,9.71,0.31
2020-05-02,,7.71,,,13.86,0.32
2020-05-03,,8.57,,,13.0,0.33
2020-05-04,,8.57,,,14.0,0.33
2020-05-05,,8.57,,,13.29,0.33
2020-05-06,,8.57,,,12.0,0.47
2020-05-07,,8.57,,,13.86,0.47
2020-05-08,,8.57,,,13.57,0.47
2020-05-09,,8.57,,,8.29,0.5
2020-05-10,,10.71,,,8.29,0.5
2020-05-11,,10.71,,,7.43,0.56
2020-05-12,,10.71,,,7.43,0.56
2020-05-13,,10.71,,,7.71,0.56
2020-05-14,,10.71,,,9.0,0.6
2020-05-15,,10.71,,,8.0,0.6
2020-05-16,,10.71,,,8.0,0.6
2020-05-17,,7.71,,,8.0,0.6
2020-05-18,,7.71,,,7.29,0.58
2020-05-19,,7.71,,,7.29,0.59
2020-05-20,,7.71,,,6.86,0.61
2020-05-21,,7.71,,,6.86,0.61
2020-05-22,,7.71,,,7.14,0.61
2020-05-23,,7.71,,,7.14,0.61
2020-05-24,,8.57,,,6.57,0.63
2020-05-25,,8.57,,,6.29,0.65
2020-05-26,,8.57,,,8.0,0.66
2020-05-27,,8.57,,,8.86,0.66
2020-05-28,,8.57,,,9.14,0.66
2020-05-29,,8.57,,,8.57,0.66
2020-05-30,,8.57,,,11.0,0.66
2020-05-31,,8.43,,,13.14,0.66
2020-06-01,,8.43,,,14.14,0.6
2020-06-02,,8.43,,,15.0,0.6
2020-06-03,,8.43,,,16.57,0.6
2020-06-04,,8.43,,,19.14,0.59
2020-06-05,,8.43,,,24.14,0.59
2020-06-06,,8.43,,,26.0,0.6
2020-06-07,,8.43,,,27.29,0.6
2020-06-08,,8.43,,,31.71,0.6
2020-06-09,,8.43,,,33.71,0.6
2020-06-10,,8.43,,,34.86,0.6
2020-06-11,,8.43,,,38.43,0.45
2020-06-12,,8.43,,,40.43,0.47
2020-06-13,,8.43,,,41.57,0.47
2020-06-14,,7.0,,,45.57,0.47
2020-06-15,,7.0,,,43.71,0.44
2020-06-16,,7.0,,,43.43,0.44
2020-06-17,,7.0,,,44.86,0.5
2020-06-18,,7.0,,,44.0,0.5
2020-06-19,,7.0,,,47.43,0.5
2020-06-20,,7.0,,,51.14,0.5
2020-06-21,,8.86,,,48.71,0.5
2020-06-22,,8.86,,,47.57,0.5
2020-06-23,,8.86,,,49.0,0.4
2020-06-24,,8.86,,,52.86,0.4
2020-06-25,,8.86,,,52.29,0.4
2020-06-26,,8.86,,,56.29,0.4
2020-06-27,,8.86,,,55.71,0.44
2020-06-28,,9.29,,,57.86,0.45
2020-06-29,,9.29,,,64.71,0.45
2020-06-30,,9.29,,,73.0,0.46
2020-07-01,,9.29,,,76.57,0.53
2020-07-02,,9.29,,,81.43,0.61
2020-07-03,,9.29,,,72.29,0.61
2020-07-04,,9.29,,,68.0,0.67
2020-07-05,,10.0,,,70.71,0.68
2020-07-06,,10.0,,,70.14,0.68
2020-07-07,,10.0,,,64.43,0.68
