date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-23,,2.0,,,0.29,0.0
2020-03-24,,2.0,,,0.29,0.0
2020-03-25,,2.0,,,0.29,0.0
2020-03-26,,2.0,,,0.29,0.0
2020-03-27,,2.0,,,0.43,0.0
2020-03-28,,2.0,,,0.43,0.0
2020-03-29,,2.14,,,0.57,0.0
2020-03-30,,2.14,,,0.57,0.0
2020-03-31,,2.14,,,0.38,0.0
2020-04-01,,2.14,,,0.38,0.0
2020-04-02,,2.14,,,0.38,0.0
2020-04-03,,2.14,,,0.38,0.0
2020-04-04,,2.14,,,0.63,0.0
2020-04-05,,2.14,,,0.63,0.0
2020-04-06,,2.14,,,0.63,0.0
2020-04-07,,2.14,,,0.57,0.0
2020-04-08,,2.14,,,0.75,0.0
2020-04-09,,2.14,,,0.78,0.0
2020-04-10,,2.14,,,0.78,0.0
2020-04-11,,2.14,,,0.71,0.0
2020-04-12,,2.14,,,0.75,0.0
2020-04-13,,2.14,,,0.75,0.0
2020-04-14,,2.14,,,0.75,0.0
2020-04-15,,2.14,,,0.75,0.0
2020-04-16,,2.14,,,0.75,0.0
2020-04-17,,2.14,,,0.75,0.0
2020-04-18,,2.14,,,0.43,0.0
2020-04-19,,1.86,,,0.43,0.0
2020-04-20,,1.86,,,0.43,0.0
2020-04-21,,1.86,,,0.56,0.0
2020-04-22,,1.86,,,0.56,0.0
2020-04-23,,1.86,,,0.55,0.0
2020-04-24,,1.86,,,0.55,0.0
2020-04-25,,1.86,,,0.55,0.0
2020-04-26,,2.14,,,0.71,0.0
2020-04-27,,2.14,,,0.88,0.0
2020-04-28,,2.14,,,0.88,0.0
2020-04-29,,2.14,,,0.88,0.0
2020-04-30,,2.14,,,0.88,0.0
2020-05-01,,2.14,,,0.88,0.0
2020-05-02,,2.14,,,0.56,0.0
2020-05-03,,2.29,,,0.57,0.0
2020-05-04,,2.29,,,0.43,0.0
2020-05-05,,2.29,,,0.63,0.0
2020-05-06,,2.29,,,0.78,0.0
2020-05-07,,2.29,,,0.8,0.0
2020-05-08,,2.29,,,1.09,0.0
2020-05-09,,2.29,,,1.71,0.0
2020-05-10,,2.29,,,1.71,0.0
2020-05-11,,2.29,,,1.71,0.0
2020-05-12,,2.29,,,1.43,0.0
2020-05-13,,2.29,,,1.43,0.0
2020-05-14,,2.29,,,1.29,0.0
2020-05-15,,2.29,,,0.86,0.0
2020-05-16,,2.29,,,0.86,0.0
2020-05-17,,2.43,,,0.86,0.0
2020-05-18,,2.43,,,0.86,0.0
2020-05-19,,2.43,,,0.86,0.0
2020-05-20,,2.43,,,0.86,0.0
2020-05-21,,2.43,,,0.86,0.0
2020-05-22,,2.43,,,0.29,0.0
2020-05-23,,2.43,,,0.29,0.0
2020-05-24,,2.57,,,0.75,0.0
2020-05-25,,2.57,,,0.75,0.0
2020-05-26,,2.57,,,0.75,0.0
2020-05-27,,2.57,,,0.64,0.0
2020-05-28,,2.57,,,0.67,0.0
2020-05-29,,2.57,,,1.14,0.0
2020-05-30,,2.57,,,1.14,0.0
2020-05-31,,2.14,,,1.14,0.0
2020-06-01,,2.14,,,0.88,0.0
2020-06-02,,2.14,,,0.89,0.0
2020-06-03,,2.14,,,0.89,0.0
2020-06-04,,2.14,,,0.89,0.0
2020-06-05,,2.14,,,1.0,0.0
2020-06-06,,2.14,,,1.14,0.0
2020-06-07,,2.71,,,1.13,0.0
2020-06-08,,2.71,,,1.33,0.0
2020-06-09,,2.71,,,1.33,0.0
2020-06-10,,2.71,,,1.57,0.0
2020-06-11,,2.71,,,2.0,0.0
2020-06-12,,2.71,,,2.57,0.0
2020-06-13,,2.71,,,2.71,0.0
2020-06-14,,3.0,,,3.29,0.0
2020-06-15,,3.0,,,3.71,0.0
2020-06-16,,3.0,,,4.13,0.0
2020-06-17,,3.0,,,4.29,0.0
2020-06-18,,3.0,,,4.29,0.0
2020-06-19,,3.0,,,4.57,0.0
2020-06-20,,3.0,,,4.86,0.03
2020-06-21,,2.29,,,7.86,0.03
2020-06-22,,2.29,,,9.57,0.03
2020-06-23,,2.29,,,9.57,0.03
2020-06-24,,2.29,,,10.71,0.03
2020-06-25,,2.29,,,12.86,0.03
2020-06-26,,2.29,,,14.86,0.03
2020-06-27,,2.29,,,18.71,0.03
2020-06-28,,2.43,,,20.86,0.03
2020-06-29,,2.43,,,18.29,0.03
2020-06-30,,2.43,,,16.86,0.03
2020-07-01,,2.43,,,16.29,0.03
2020-07-02,,2.43,,,16.71,0.03
2020-07-03,,2.43,,,16.0,0.03
2020-07-04,,2.43,,,13.43,0.03
2020-07-05,,2.71,,,12.29,0.03
2020-07-06,,2.71,,,11.71,0.03
2020-07-07,,2.71,,,12.86,0.03
2020-07-08,,2.71,,,12.43,0.03
2020-07-09,,2.71,,,11.86,0.03
2020-07-10,,2.71,,,15.29,0.03
2020-07-11,,2.71,,,15.71,0.03
2020-07-12,,2.0,,,16.14,0.03
2020-07-13,,2.0,,,16.29,0.03
2020-07-14,,2.0,,,15.71,0.03
2020-07-15,,2.0,,,16.71,0.04
2020-07-16,,2.0,,,17.0,0.04
2020-07-17,,2.0,,,14.29,0.04
2020-07-18,,2.0,,,16.71,0.04
2020-07-19,,2.71,,,16.86,0.04
2020-07-20,,2.71,,,17.43,0.04
2020-07-21,,2.71,,,16.71,0.04
2020-07-22,,2.71,,,15.71,0.04
2020-07-23,,2.71,,,17.57,0.04
2020-07-24,,2.71,,,17.29,0.04
2020-07-25,,2.71,,,12.57,0.06
2020-07-26,,2.71,,,12.29,0.06
2020-07-27,,2.71,,,13.14,0.06
2020-07-28,,2.71,,,13.43,0.11
2020-07-29,,2.71,,,13.0,0.11
2020-07-30,,2.71,,,12.0,0.13
2020-07-31,,2.71,,,12.0,0.13
2020-08-01,,2.71,,,15.0,0.14
2020-08-02,,3.57,,,14.14,0.14
2020-08-03,,3.57,,,13.29,0.14
2020-08-04,,3.57,,,12.86,0.14
2020-08-05,,3.57,,,13.57,0.14
2020-08-06,,3.57,,,12.57,0.15
2020-08-07,,3.57,,,12.29,0.17
