date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,1.71,,,0.29,0.0
2020-03-21,,1.71,,,0.43,0.0
2020-03-22,,1.57,,,0.43,0.0
2020-03-23,,1.57,,,1.14,0.0
2020-03-24,,1.57,,,1.14,0.0
2020-03-25,,1.57,,,1.29,0.0
2020-03-26,,1.57,,,1.57,0.0
2020-03-27,,1.57,,,1.43,0.0
2020-03-28,,1.57,,,1.57,0.0
2020-03-29,,1.57,,,1.63,0.0
2020-03-30,,1.57,,,1.86,0.0
2020-03-31,,1.57,,,1.75,0.0
2020-04-01,,1.57,,,2.14,0.0
2020-04-02,,1.57,,,2.14,0.0
2020-04-03,,1.57,,,1.86,0.0
2020-04-04,,1.57,,,1.71,0.0
2020-04-05,,3.86,,,1.57,0.0
2020-04-06,,3.86,,,1.0,0.0
2020-04-07,,3.86,,,1.14,0.0
2020-04-08,,3.86,,,1.0,0.0
2020-04-09,,3.86,,,1.38,0.0
2020-04-10,,3.86,,,1.71,0.0
2020-04-11,,3.86,,,1.71,0.0
2020-04-12,,3.71,,,1.71,0.0
2020-04-13,,3.71,,,1.71,0.0
2020-04-14,,3.71,,,1.14,0.0
2020-04-15,,3.71,,,1.14,0.0
2020-04-16,,3.71,,,0.71,0.0
2020-04-17,,3.71,,,0.57,0.0
2020-04-18,,3.71,,,0.57,0.0
2020-04-19,,3.29,,,0.67,0.0
2020-04-20,,3.29,,,0.7,0.0
2020-04-21,,3.29,,,1.57,0.0
2020-04-22,,3.29,,,1.63,0.0
2020-04-23,,3.29,,,1.71,0.0
2020-04-24,,3.29,,,1.71,0.0
2020-04-25,,3.29,,,1.88,0.03
2020-04-26,,3.43,,,2.57,0.03
2020-04-27,,3.43,,,2.57,0.03
2020-04-28,,3.43,,,2.86,0.03
2020-04-29,,3.43,,,2.86,0.03
2020-04-30,,3.43,,,3.14,0.03
2020-05-01,,3.43,,,3.71,0.05
2020-05-02,,3.43,,,4.14,0.05
2020-05-03,,3.14,,,4.57,0.05
2020-05-04,,3.14,,,4.57,0.05
2020-05-05,,3.14,,,4.43,0.05
2020-05-06,,3.14,,,3.86,0.05
2020-05-07,,3.14,,,3.86,0.05
2020-05-08,,3.14,,,3.14,0.05
2020-05-09,,3.14,,,3.14,0.05
2020-05-10,,3.86,,,2.0,0.05
2020-05-11,,3.86,,,2.0,0.05
2020-05-12,,3.86,,,1.43,0.05
2020-05-13,,3.86,,,1.57,0.05
2020-05-14,,3.86,,,1.63,0.05
2020-05-15,,3.86,,,1.63,0.05
2020-05-16,,3.86,,,1.63,0.05
2020-05-17,,2.29,,,1.63,0.05
2020-05-18,,2.29,,,1.5,0.05
2020-05-19,,2.29,,,1.57,0.05
2020-05-20,,2.29,,,1.57,0.05
2020-05-21,,2.29,,,1.57,0.05
2020-05-22,,2.29,,,1.75,0.05
2020-05-23,,2.29,,,3.29,0.05
2020-05-24,,3.86,,,3.38,0.05
2020-05-25,,3.86,,,4.29,0.05
2020-05-26,,3.86,,,5.29,0.05
2020-05-27,,3.86,,,6.14,0.06
2020-05-28,,3.86,,,6.0,0.06
2020-05-29,,3.86,,,6.57,0.06
2020-05-30,,3.86,,,6.29,0.06
2020-05-31,,3.43,,,7.14,0.06
2020-06-01,,3.43,,,8.29,0.06
2020-06-02,,3.43,,,8.29,0.06
2020-06-03,,3.43,,,7.57,0.06
2020-06-04,,3.43,,,9.43,0.06
2020-06-05,,3.43,,,10.57,0.06
2020-06-06,,3.43,,,10.14,0.06
2020-06-07,,3.43,,,9.43,0.06
2020-06-08,,3.43,,,10.29,0.08
2020-06-09,,3.43,,,10.43,0.08
2020-06-10,,3.43,,,10.57,0.08
2020-06-11,,3.43,,,10.57,0.08
2020-06-12,,3.43,,,9.57,0.1
2020-06-13,,3.43,,,11.43,0.1
2020-06-14,,3.86,,,14.86,0.1
2020-06-15,,3.86,,,17.29,0.1
2020-06-16,,3.86,,,18.86,0.1
2020-06-17,,3.86,,,18.57,0.1
2020-06-18,,3.86,,,18.43,0.1
2020-06-19,,3.86,,,21.14,0.12
2020-06-20,,3.86,,,20.14,0.12
2020-06-21,,4.14,,,21.0,0.12
2020-06-22,,4.14,,,18.57,0.12
2020-06-23,,4.14,,,17.71,0.12
2020-06-24,,4.14,,,21.43,0.13
2020-06-25,,4.14,,,23.43,0.13
2020-06-26,,4.14,,,23.43,0.13
2020-06-27,,4.14,,,24.57,0.23
2020-06-28,,4.0,,,23.43,0.23
2020-06-29,,4.0,,,24.29,0.23
2020-06-30,,4.0,,,29.71,0.24
2020-07-01,,4.0,,,30.0,0.31
2020-07-02,,4.0,,,31.29,0.31
2020-07-03,,4.0,,,33.14,0.31
2020-07-04,,4.0,,,34.14,0.32
2020-07-05,,3.57,,,35.29,0.4
2020-07-06,,3.57,,,34.57,0.4
2020-07-07,,3.57,,,29.57,0.4
2020-07-08,,3.57,,,29.43,0.43
2020-07-09,,3.57,,,30.71,0.45
2020-07-10,,3.57,,,30.43,0.47
2020-07-11,,3.57,,,36.86,0.48
2020-07-12,,5.43,,,36.71,0.48
2020-07-13,,5.43,,,41.43,0.61
2020-07-14,,5.43,,,45.29,0.63
2020-07-15,,5.43,,,45.43,0.63
2020-07-16,,5.43,,,50.71,0.71
