date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,2.43,,,0.14,0.0
2020-03-21,,2.43,,,0.14,0.0
2020-03-22,,3.14,,,0.14,0.0
2020-03-23,,3.14,,,0.14,0.0
2020-03-24,,3.14,,,0.14,0.0
2020-03-25,,3.14,,,0.86,0.0
2020-03-26,,3.14,,,0.86,0.0
2020-03-27,,3.14,,,0.86,0.0
2020-03-28,,3.14,,,1.13,0.0
2020-03-29,,1.86,,,1.11,0.0
2020-03-30,,1.86,,,1.2,0.0
2020-03-31,,1.86,,,1.18,0.0
2020-04-01,,1.86,,,1.18,0.0
2020-04-02,,1.86,,,1.13,0.0
2020-04-03,,1.86,,,1.43,0.0
2020-04-04,,1.86,,,1.43,0.0
2020-04-05,,2.86,,,1.0,0.0
2020-04-06,,2.86,,,1.0,0.0
2020-04-07,,2.86,,,1.0,0.0
2020-04-08,,2.86,,,1.0,0.0
2020-04-09,,2.86,,,1.0,0.0
2020-04-10,,2.86,,,1.43,0.0
2020-04-11,,2.86,,,1.38,0.0
2020-04-12,,3.29,,,1.38,0.0
2020-04-13,,3.29,,,1.57,0.0
2020-04-14,,3.29,,,1.86,0.0
2020-04-15,,3.29,,,1.86,0.0
2020-04-16,,3.29,,,2.14,0.0
2020-04-17,,3.29,,,2.14,0.0
2020-04-18,,3.29,,,1.71,0.0
2020-04-19,,2.14,,,1.71,0.0
2020-04-20,,2.14,,,1.71,0.0
2020-04-21,,2.14,,,1.88,0.0
2020-04-22,,2.14,,,1.88,0.0
2020-04-23,,2.14,,,1.71,0.0
2020-04-24,,2.14,,,1.71,0.0
2020-04-25,,2.14,,,1.71,0.0
2020-04-26,,2.14,,,1.71,0.0
2020-04-27,,2.14,,,2.14,0.0
2020-04-28,,2.14,,,1.86,0.0
2020-04-29,,2.14,,,1.86,0.02
2020-04-30,,2.14,,,1.75,0.02
2020-05-01,,2.14,,,2.0,0.02
2020-05-02,,2.14,,,1.88,0.02
2020-05-03,,2.14,,,1.88,0.02
2020-05-04,,2.14,,,1.57,0.02
2020-05-05,,2.14,,,1.29,0.02
2020-05-06,,2.14,,,1.29,0.02
2020-05-07,,2.14,,,1.14,0.02
2020-05-08,,2.14,,,0.86,0.02
2020-05-09,,2.14,,,1.43,0.02
2020-05-10,,2.14,,,1.88,0.02
2020-05-11,,2.14,,,1.88,0.02
2020-05-12,,2.14,,,2.29,0.02
2020-05-13,,2.14,,,3.0,0.02
2020-05-14,,2.14,,,3.57,0.04
2020-05-15,,2.14,,,3.71,0.05
2020-05-16,,2.14,,,3.29,0.05
2020-05-17,,3.0,,,2.86,0.05
2020-05-18,,3.0,,,2.86,0.05
2020-05-19,,3.0,,,2.43,0.05
2020-05-20,,3.0,,,1.71,0.05
2020-05-21,,3.0,,,2.43,0.05
2020-05-22,,3.0,,,3.0,0.05
2020-05-23,,3.0,,,3.29,0.05
2020-05-24,,3.14,,,3.86,0.05
2020-05-25,,3.14,,,3.88,0.05
2020-05-26,,3.14,,,4.71,0.05
2020-05-27,,3.14,,,4.43,0.05
2020-05-28,,3.14,,,3.57,0.05
2020-05-29,,3.14,,,4.0,0.05
2020-05-30,,3.14,,,3.71,0.05
2020-05-31,,2.43,,,5.43,0.05
2020-06-01,,2.43,,,5.71,0.05
2020-06-02,,2.43,,,6.71,0.05
2020-06-03,,2.43,,,7.29,0.09
2020-06-04,,2.43,,,7.29,0.09
2020-06-05,,2.43,,,6.86,0.09
2020-06-06,,2.43,,,7.14,0.09
2020-06-07,,1.57,,,5.57,0.09
2020-06-08,,1.57,,,6.14,0.09
2020-06-09,,1.57,,,5.43,0.09
2020-06-10,,1.57,,,6.71,0.09
2020-06-11,,1.57,,,8.86,0.09
2020-06-12,,1.57,,,10.86,0.09
2020-06-13,,1.57,,,13.0,0.09
2020-06-14,,2.29,,,14.14,0.09
2020-06-15,,2.29,,,13.71,0.09
