date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-17,,11.0,,,0.14,0.0
2020-03-18,,11.0,,,0.57,0.0
2020-03-19,,11.0,,,1.14,0.0
2020-03-20,,11.0,,,3.14,0.0
2020-03-21,,11.0,,,4.0,0.0
2020-03-22,,12.14,,,4.43,0.0
2020-03-23,,12.14,,,6.14,0.0
2020-03-24,,12.14,,,6.29,0.0
2020-03-25,,12.14,,,7.86,0.0
2020-03-26,,12.14,,,7.43,0.0
2020-03-27,,12.14,,,6.14,0.03
2020-03-28,,12.14,,,7.57,0.07
2020-03-29,,11.71,,,9.57,0.07
2020-03-30,,11.71,,,13.14,0.07
2020-03-31,,11.71,,,14.71,0.07
2020-04-01,,11.71,,,16.71,0.1
2020-04-02,,11.71,,,20.0,0.1
2020-04-03,,11.71,,,22.71,0.17
2020-04-04,,11.71,,,23.0,0.2
2020-04-05,,12.57,,,28.57,0.2
2020-04-06,,12.57,,,25.14,0.23
2020-04-07,,12.57,,,27.43,0.23
2020-04-08,,12.57,,,28.0,0.33
2020-04-09,,12.57,,,31.0,0.33
2020-04-10,,12.57,,,32.57,0.33
2020-04-11,,12.57,,,33.86,0.33
2020-04-12,,11.86,,,28.0,0.33
2020-04-13,,11.86,,,30.43,0.33
2020-04-14,,11.86,,,27.86,0.37
2020-04-15,,11.86,,,25.14,0.4
2020-04-16,,11.86,,,23.14,0.42
2020-04-17,,11.86,,,22.86,0.44
2020-04-18,,11.86,,,21.0,0.44
2020-04-19,,12.57,,,22.57,0.44
2020-04-20,,12.57,,,19.0,0.44
2020-04-21,,12.57,,,22.0,0.44
2020-04-22,,12.57,,,25.29,0.41
2020-04-23,,12.57,,,22.43,0.45
2020-04-24,,12.57,,,22.0,0.45
2020-04-25,,12.57,,,23.0,0.45
2020-04-26,,12.29,,,26.43,0.6
2020-04-27,,12.29,,,26.14,0.6
2020-04-28,,12.29,,,25.0,0.61
2020-04-29,,12.29,,,22.71,0.88
2020-04-30,,12.29,,,23.29,0.94
2020-05-01,,12.29,,,21.0,1.03
2020-05-02,,12.29,,,22.71,1.13
2020-05-03,,12.71,,,18.14,1.17
2020-05-04,,12.71,,,19.57,1.2
2020-05-05,,12.71,,,18.0,1.32
2020-05-06,,12.71,,,18.57,1.4
2020-05-07,,12.71,,,20.57,1.45
2020-05-08,,12.71,,,20.57,1.45
2020-05-09,,12.71,,,19.43,1.42
2020-05-10,,14.57,,,19.43,1.42
2020-05-11,,14.57,,,20.29,1.42
2020-05-12,,14.57,,,22.14,1.44
2020-05-13,,14.57,,,21.86,1.44
2020-05-14,,14.57,,,19.57,1.63
2020-05-15,,14.57,,,19.86,1.63
2020-05-16,,14.57,,,20.0,1.63
2020-05-17,,12.29,,,19.71,1.57
2020-05-18,,12.29,,,18.71,1.57
2020-05-19,,12.29,,,17.43,1.57
2020-05-20,,12.29,,,17.14,1.45
2020-05-21,,12.29,,,17.43,1.45
2020-05-22,,12.29,,,19.57,1.45
2020-05-23,,12.29,,,18.14,1.53
2020-05-24,,12.29,,,17.57,1.53
2020-05-25,,12.29,,,16.57,1.53
2020-05-26,,12.29,,,17.0,1.53
2020-05-27,,12.29,,,16.86,1.52
2020-05-28,,12.29,,,18.57,1.52
2020-05-29,,12.29,,,18.29,1.52
2020-05-30,,12.29,,,19.43,1.52
2020-05-31,,10.86,,,22.43,1.52
2020-06-01,,10.86,,,23.43,1.52
2020-06-02,,10.86,,,22.29,1.52
2020-06-03,,10.86,,,23.86,1.52
2020-06-04,,10.86,,,25.29,0.67
2020-06-05,,10.86,,,29.29,0.63
2020-06-06,,10.86,,,33.29,0.63
2020-06-07,,12.86,,,32.86,0.63
2020-06-08,,12.86,,,37.71,0.53
2020-06-09,,12.86,,,47.29,0.53
2020-06-10,,12.86,,,52.29,0.53
2020-06-11,,12.86,,,56.71,0.53
2020-06-12,,12.86,,,58.57,0.39
2020-06-13,,12.86,,,60.29,0.4
2020-06-14,,12.0,,,66.71,0.4
2020-06-15,,12.0,,,66.29,0.4
2020-06-16,,12.0,,,63.71,0.43
2020-06-17,,12.0,,,61.86,0.43
2020-06-18,,12.0,,,63.71,0.43
2020-06-19,,12.0,,,66.43,0.43
2020-06-20,,12.0,,,71.57,0.45
2020-06-21,,11.43,,,65.71,0.53
2020-06-22,,11.43,,,65.71,0.57
