date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-08,,10.29,,,0.14,0.0
2020-03-09,,10.29,,,0.14,0.0
2020-03-10,,10.29,,,0.14,0.0
2020-03-11,,10.29,,,0.14,0.0
2020-03-12,,10.29,,,0.14,0.0
2020-03-13,,10.29,,,0.14,0.0
2020-03-14,,10.29,,,0.14,0.0
2020-03-15,,11.14,,,0.14,0.0
2020-03-16,,11.14,,,0.14,0.0
2020-03-17,,11.14,,,0.14,0.0
2020-03-18,,11.14,,,0.14,0.0
2020-03-19,,11.14,,,0.14,0.0
2020-03-20,,11.14,,,0.14,0.0
2020-03-21,,11.14,,,0.08,0.0
2020-03-22,,11.43,,,0.08,0.0
2020-03-23,,11.43,,,0.13,0.0
2020-03-24,,11.43,,,0.19,0.0
2020-03-25,,11.43,,,0.47,0.0
2020-03-26,,11.43,,,0.47,0.0
2020-03-27,,11.43,,,0.79,0.0
2020-03-28,,11.43,,,2.71,0.0
2020-03-29,,12.0,,,2.88,0.0
2020-03-30,,12.0,,,3.86,0.0
2020-03-31,,12.0,,,4.71,0.0
2020-04-01,,12.0,,,5.14,0.0
2020-04-02,,12.0,,,5.13,0.0
2020-04-03,,12.0,,,6.29,0.0
2020-04-04,,12.0,,,7.29,0.0
2020-04-05,,11.57,,,7.14,0.0
2020-04-06,,11.57,,,8.29,0.03
2020-04-07,,11.57,,,11.86,0.03
2020-04-08,,11.57,,,11.57,0.13
2020-04-09,,11.57,,,12.71,0.13
2020-04-10,,11.57,,,12.86,0.13
2020-04-11,,11.57,,,14.0,0.13
2020-04-12,,8.86,,,14.14,0.13
2020-04-13,,8.86,,,14.29,0.13
2020-04-14,,8.86,,,10.0,0.13
2020-04-15,,8.86,,,9.29,0.13
2020-04-16,,8.86,,,8.57,0.13
2020-04-17,,8.86,,,7.71,0.13
2020-04-18,,8.86,,,5.86,0.13
2020-04-19,,9.71,,,5.57,0.13
2020-04-20,,9.71,,,4.43,0.13
2020-04-21,,9.71,,,5.0,0.13
2020-04-22,,9.71,,,5.14,0.15
2020-04-23,,9.71,,,5.43,0.17
2020-04-24,,9.71,,,4.86,0.17
2020-04-25,,9.71,,,4.57,0.17
2020-04-26,,10.29,,,5.14,0.17
2020-04-27,,10.29,,,5.14,0.17
2020-04-28,,10.29,,,4.71,0.17
2020-04-29,,10.29,,,5.0,0.17
2020-04-30,,10.29,,,7.14,0.17
2020-05-01,,10.29,,,8.14,0.2
2020-05-02,,10.29,,,8.43,0.2
2020-05-03,,10.71,,,8.43,0.21
2020-05-04,,10.71,,,8.57,0.21
2020-05-05,,10.71,,,8.43,0.21
2020-05-06,,10.71,,,8.0,0.21
2020-05-07,,10.71,,,5.43,0.21
2020-05-08,,10.71,,,5.43,0.21
2020-05-09,,10.71,,,4.86,0.21
2020-05-10,,12.14,,,5.0,0.21
2020-05-11,,12.14,,,4.43,0.21
2020-05-12,,12.14,,,4.86,0.26
2020-05-13,,12.14,,,5.14,0.26
2020-05-14,,12.14,,,4.71,0.26
2020-05-15,,12.14,,,6.14,0.26
2020-05-16,,12.14,,,6.71,0.26
2020-05-17,,10.71,,,8.0,0.26
2020-05-18,,10.71,,,8.71,0.26
2020-05-19,,10.71,,,8.57,0.26
2020-05-20,,10.71,,,8.71,0.26
2020-05-21,,10.71,,,9.0,0.27
2020-05-22,,10.71,,,9.0,0.3
2020-05-23,,10.71,,,9.57,0.3
2020-05-24,,12.14,,,10.29,0.29
2020-05-25,,12.14,,,9.86,0.29
2020-05-26,,12.14,,,14.43,0.3
2020-05-27,,12.14,,,16.29,0.32
2020-05-28,,12.14,,,16.14,0.32
2020-05-29,,12.14,,,16.57,0.37
2020-05-30,,12.14,,,15.14,0.37
2020-05-31,,10.57,,,20.86,0.37
2020-06-01,,10.57,,,23.0,0.37
