date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-20,,3.86,,,0.14,0.0
2020-03-21,,3.86,,,0.43,0.0
2020-03-22,,3.29,,,0.43,0.0
2020-03-23,,3.29,,,0.57,0.0
2020-03-24,,3.29,,,1.14,0.03
2020-03-25,,3.29,,,1.43,0.03
2020-03-26,,3.29,,,1.43,0.07
2020-03-27,,3.29,,,1.43,0.07
2020-03-28,,3.29,,,3.0,0.07
2020-03-29,,2.57,,,3.38,0.07
2020-03-30,,2.57,,,4.29,0.07
2020-03-31,,2.57,,,4.43,0.07
2020-04-01,,2.57,,,5.43,0.07
2020-04-02,,2.57,,,7.0,0.1
2020-04-03,,2.57,,,7.22,0.1
2020-04-04,,2.57,,,7.86,0.1
2020-04-05,,4.29,,,7.14,0.1
2020-04-06,,4.29,,,8.0,0.1
2020-04-07,,4.29,,,9.43,0.1
2020-04-08,,4.29,,,9.86,0.1
2020-04-09,,4.29,,,8.57,0.1
2020-04-10,,4.29,,,9.57,0.1
2020-04-11,,4.29,,,9.57,0.13
2020-04-12,,3.86,,,9.71,0.13
2020-04-13,,3.86,,,8.86,0.13
2020-04-14,,3.86,,,7.29,0.13
2020-04-15,,3.86,,,6.29,0.17
2020-04-16,,3.86,,,6.0,0.17
2020-04-17,,3.86,,,4.86,0.2
2020-04-18,,3.86,,,5.0,0.2
2020-04-19,,2.71,,,5.0,0.2
2020-04-20,,2.71,,,4.71,0.2
2020-04-21,,2.71,,,6.14,0.2
2020-04-22,,2.71,,,6.43,0.2
2020-04-23,,2.71,,,5.57,0.2
2020-04-24,,2.71,,,4.71,0.2
2020-04-25,,2.71,,,4.57,0.2
2020-04-26,,3.57,,,4.13,0.2
2020-04-27,,3.57,,,4.29,0.2
2020-04-28,,3.57,,,3.0,0.15
2020-04-29,,3.57,,,2.43,0.26
2020-04-30,,3.57,,,3.0,0.26
2020-05-01,,3.57,,,3.0,0.26
2020-05-02,,3.57,,,5.0,0.3
2020-05-03,,3.29,,,5.29,0.3
