date,percent_test_results_reported_positive_last_7_days,Total Deaths 7-day averange,percent covid_inpatient_bed_utilization 7-day average,covid_hospital_admissions_per_100k 7-day averange,cases 7-day averange,deaths 7-day averange
2020-03-17,,5.0,,,0.14,0.0
2020-03-18,,5.0,,,0.14,0.0
2020-03-19,,5.0,,,0.14,0.0
2020-03-20,,5.0,,,0.14,0.0
2020-03-21,,5.0,,,0.29,0.0
2020-03-22,,6.43,,,0.57,0.0
2020-03-23,,6.43,,,1.0,0.0
2020-03-24,,6.43,,,1.43,0.0
2020-03-25,,6.43,,,2.13,0.0
2020-03-26,,6.43,,,2.0,0.0
2020-03-27,,6.43,,,2.0,0.0
2020-03-28,,6.43,,,4.14,0.0
2020-03-29,,8.29,,,4.57,0.0
2020-03-30,,8.29,,,5.14,0.0
2020-03-31,,8.29,,,6.43,0.03
2020-04-01,,8.29,,,6.86,0.03
2020-04-02,,8.29,,,6.86,0.03
2020-04-03,,8.29,,,6.75,0.03
2020-04-04,,8.29,,,7.14,0.07
2020-04-05,,5.71,,,7.0,0.07
2020-04-06,,5.71,,,7.43,0.07
2020-04-07,,5.71,,,7.43,0.07
2020-04-08,,5.71,,,7.0,0.07
2020-04-09,,5.71,,,6.75,0.07
2020-04-10,,5.71,,,7.43,0.07
2020-04-11,,5.71,,,6.57,0.1
2020-04-12,,6.71,,,7.0,0.1
2020-04-13,,6.71,,,5.86,0.1
2020-04-14,,6.71,,,4.29,0.1
2020-04-15,,6.71,,,4.29,0.1
2020-04-16,,6.71,,,4.14,0.1
2020-04-17,,6.71,,,3.71,0.1
2020-04-18,,6.71,,,4.14,0.1
2020-04-19,,5.43,,,4.14,0.1
2020-04-20,,5.43,,,3.29,0.1
2020-04-21,,5.43,,,3.43,0.1
2020-04-22,,5.43,,,3.5,0.1
2020-04-23,,5.43,,,3.14,0.1
2020-04-24,,5.43,,,3.0,0.1
2020-04-25,,5.43,,,3.0,0.1
2020-04-26,,7.0,,,3.13,0.1
2020-04-27,,7.0,,,3.86,0.1
2020-04-28,,7.0,,,3.71,0.1
2020-04-29,,7.0,,,4.43,0.1
2020-04-30,,7.0,,,5.57,0.1
2020-05-01,,7.0,,,6.14,0.1
2020-05-02,,7.0,,,6.0,0.1
2020-05-03,,6.43,,,5.71,0.1
2020-05-04,,6.43,,,5.14,0.1
2020-05-05,,6.43,,,5.14,0.06
2020-05-06,,6.43,,,5.29,0.09
2020-05-07,,6.43,,,4.43,0.09
2020-05-08,,6.43,,,3.71,0.09
2020-05-09,,6.43,,,3.57,0.09
2020-05-10,,6.43,,,3.14,0.09
2020-05-11,,6.43,,,3.43,0.09
2020-05-12,,6.43,,,5.57,0.09
2020-05-13,,6.43,,,6.14,0.09
2020-05-14,,6.43,,,6.71,0.09
2020-05-15,,6.43,,,6.71,0.09
2020-05-16,,6.43,,,7.57,0.09
2020-05-17,,7.86,,,7.86,0.09
2020-05-18,,7.86,,,8.86,0.09
2020-05-19,,7.86,,,7.14,0.09
2020-05-20,,7.86,,,7.43,0.09
2020-05-21,,7.86,,,7.43,0.09
2020-05-22,,7.86,,,7.0,0.09
2020-05-23,,7.86,,,7.0,0.07
2020-05-24,,7.14,,,6.71,0.07
2020-05-25,,7.14,,,6.0,0.07
2020-05-26,,7.14,,,6.29,0.07
2020-05-27,,7.14,,,6.57,0.07
2020-05-28,,7.14,,,6.71,0.09
2020-05-29,,7.14,,,8.0,0.09
2020-05-30,,7.14,,,8.43,0.09
2020-05-31,,5.0,,,9.57,0.1
2020-06-01,,5.0,,,10.14,0.1
2020-06-02,,5.0,,,9.86,0.1
2020-06-03,,5.0,,,9.0,0.13
2020-06-04,,5.0,,,8.86,0.13
2020-06-05,,5.0,,,8.71,0.13
2020-06-06,,5.0,,,8.57,0.13
2020-06-07,,6.14,,,8.29,0.13
2020-06-08,,6.14,,,9.86,0.13
2020-06-09,,6.14,,,12.71,0.13
2020-06-10,,6.14,,,15.71,0.13
2020-06-11,,6.14,,,17.71,0.13
2020-06-12,,6.14,,,19.14,0.13
2020-06-13,,6.14,,,22.14,0.13
2020-06-14,,6.14,,,24.43,0.13
2020-06-15,,6.14,,,23.71,0.13
2020-06-16,,6.14,,,25.14,0.13
2020-06-17,,6.14,,,23.43,0.14
2020-06-18,,6.14,,,24.57,0.14
2020-06-19,,6.14,,,23.0,0.14
2020-06-20,,6.14,,,24.29,0.14
2020-06-21,,6.14,,,25.43,0.14
2020-06-22,,6.14,,,29.71,0.14
2020-06-23,,6.14,,,28.57,0.14
2020-06-24,,6.14,,,30.57,0.14
2020-06-25,,6.14,,,31.14,0.18
2020-06-26,,6.14,,,35.43,0.18
2020-06-27,,6.14,,,37.71,0.18
2020-06-28,,5.0,,,40.14,0.18
2020-06-29,,5.0,,,42.29,0.18
2020-06-30,,5.0,,,45.43,0.18
2020-07-01,,5.0,,,49.0,0.18
2020-07-02,,5.0,,,50.57,0.18
2020-07-03,,5.0,,,59.57,0.18
2020-07-04,,5.0,,,58.43,0.18
