Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.31181721714573
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.426007367032238
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.93395019121501
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.276230801135428
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.176453843432831
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.2429826028718
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.860380480678118
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.9246927332871
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.993397493293046
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.201539722879792
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.442121959444383
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.51598445404769
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.412539808816785
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.837019639355119
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.991335935305563
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.46923900893373
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.0420011284052
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.133875829263984
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.175648469687962
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.497584971619203
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.88311073570597
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.71510535908362
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.00312891113892766
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.14638227394932
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.39909836758217
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.692206408656095
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.1752909092404
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.75154842651724
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.762137664197041
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.00273731829347
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.703905641117455
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.84422255256232
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.12896711408085
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.12792431423236
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.44639338013252
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.58424710709784
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.42405130729193
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,0.576385402023249
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.19888054809676
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.67474521186478
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,-0.154526619486703
Chad,TCD,Population growth (annual %),SP.POP.GROW,2.98593746093303
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.02697265622261
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.18298043072933
China,CHN,Population growth (annual %),SP.POP.GROW,0.357291063115687
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.38170201436676
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.20587743735692
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.18708630238904
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.5629008034182
